GradeID,MaterialID,Product,Headline,Strength,Precision,Centre,Likely,Plausible,Unit,Own
G001-01,M001,ECOMAX PLA,density,this-grade,good,1240,1230-1250,1230-1250,kg/m³,1
G001-01,M001,ECOMAX PLA,tensileModulusXY,this-grade,good,2.87,2.86-2.87,2.86-2.87,GPa,1
G001-01,M001,ECOMAX PLA,tensileStrengthXY,this-grade,good,72.2,70.9-74.5,70.9-76.8,MPa,0.9
G001-01,M001,ECOMAX PLA,elongationXY,this-grade,good,10,10-10,10-10,%,1
G001-02,M001,PolySonic PLA EN V5 3,density,this-grade,good,1230,1220-1240,1220-1240,kg/m³,1
G001-02,M001,PolySonic PLA EN V5 3,tensileModulusXY,this-grade,good,2.77,2.66-2.89,2.58-2.98,GPa,0.99
G001-02,M001,PolySonic PLA EN V5 3,tensileStrengthXY,this-grade,good,44.9,44.2-45.6,43.8-46.1,MPa,1
G001-02,M001,PolySonic PLA EN V5 3,elongationXY,this-grade,good,14.8,10.6-20.6,8.18-26.7,%,0.9
G001-03,M001,PLA,density,this-grade,good,1240,1230-1250,1230-1250,kg/m³,1
G001-03,M001,PLA,tensileModulusXY,this-material,fair,2.4,1.52-3.79,1.05-5.46,GPa,0
G001-03,M001,PLA,tensileStrengthXY,this-material,fair,38.5,27.3-54.3,22.1-67,MPa,0
G001-03,M001,PLA,elongationXY,this-material,poor,10.7,3.75-30.8,1.64-70.1,%,0
G001-04,M001,PLA Tough,density,this-grade,good,1200,1190-1210,1190-1210,kg/m³,1
G001-04,M001,PLA Tough,tensileModulusXY,this-grade,fair,2.49,1.73-3.58,1.3-4.77,GPa,0.33
G001-04,M001,PLA Tough,tensileStrengthXY,this-grade,fair,45.8,35.8-58.5,30.8-67.9,MPa,0.47
G001-04,M001,PLA Tough,elongationXY,this-grade,fair,12.2,6.96-21.6,4.47-33.5,%,0.7
G001-05,M001,PLA High Speed,density,this-grade,good,1240,1230-1250,1230-1250,kg/m³,1
G001-05,M001,PLA High Speed,tensileModulusXY,this-grade,fair,3.32,2.55-4.32,2.07-5.33,GPa,0.65
