MaterialID,Material,Headline,Kind,Value,Unit,Likely,Plausible,Screens,Strength,Measurement,LoadStated
M001,PLA,density,value,1240,kg/m³,,,,,V000001,
M001,PLA,tensileModulusXY,value,2.865,GPa,,,,,V000003,
M001,PLA,tensileStrengthXY,estimate,73.4,MPa,71.3-77.3,70.9-79.6,open-79.6,this-grade,,
M001,PLA,elongationXY,value,8,%,,,,,V000004,
M001,PLA,hdt045,estimate,62,°C,58.3-68.2,57.6-74.2,no,this-grade,,
M001,PLA,priceCADkg,none,,CAD/kg,,,,,,
M002,PLA Basic,density,value,1240,kg/m³,,,,,V000042,
M002,PLA Basic,tensileModulusXY,value,2.58,GPa,,,,,V000050,
M002,PLA Basic,tensileStrengthXY,value,35,MPa,,,,,V000052,
M002,PLA Basic,elongationXY,value,12.2,%,,,,,V000054,
M002,PLA Basic,hdt045,value,57,°C,,,,,V000048,
M002,PLA Basic,priceCADkg,value,27.99,CAD/kg,,,,,,
M003,PLA Matte,density,value,1310,kg/m³,,,,,V000063,
M003,PLA Matte,tensileModulusXY,value,1.96,GPa,,,,,V000071,
M003,PLA Matte,tensileStrengthXY,value,30,MPa,,,,,V000073,
M003,PLA Matte,elongationXY,value,14.8,%,,,,,V000075,
M003,PLA Matte,hdt045,value,58,°C,,,,,V000069,
M003,PLA Matte,priceCADkg,value,27.99,CAD/kg,,,,,,
M004,PLA Lite,density,value,1230,kg/m³,,,,,V001900,
M004,PLA Lite,tensileModulusXY,estimate,3.04,GPa,2.42-3.82,2.09-4.42,2.09-4.42,this-grade,,
M004,PLA Lite,tensileStrengthXY,value,53.05,MPa,,,,,V001903,
M004,PLA Lite,elongationXY,value,3.89,%,,,,,V001905,
M004,PLA Lite,hdt045,value,53,°C,,,bracket 53-68.1,,V001902,no
M004,PLA Lite,priceCADkg,none,,CAD/kg,,,,,,
M005,PLA Basic Gradient,density,value,1240,kg/m³,,,,,V000083,
M005,PLA Basic Gradient,tensileModulusXY,value,2.58,GPa,,,,,V000091,
M005,PLA Basic Gradient,tensileStrengthXY,value,36,MPa,,,,,V000093,
M005,PLA Basic Gradient,elongationXY,value,15.2,%,,,,,V000095,
M005,PLA Basic Gradient,hdt045,value,57,°C,,,,,V000089,
M005,PLA Basic Gradient,priceCADkg,none,,CAD/kg,,,,,,
M006,PLA Tough+,density,value,1210,kg/m³,,,,,V000104,
M006,PLA Tough+,tensileModulusXY,value,1.86,GPa,,,,,V000111,
M006,PLA Tough+,tensileStrengthXY,value,34.9,MPa,,,,,V000113,
M006,PLA Tough+,elongationXY,value,9.4,%,,,,,V000115,
M006,PLA Tough+,hdt045,value,61,°C,,,,,V000109,
M006,PLA Tough+,priceCADkg,value,26.99,CAD/kg,,,,,,
M007,PLA Translucent,density,value,1220,kg/m³,,,,,V000124,
M007,PLA Translucent,tensileModulusXY,value,2.88,GPa,,,,,V000131,
M007,PLA Translucent,tensileStrengthXY,value,55.4,MPa,,,,,V000133,
M007,PLA Translucent,elongationXY,value,11,%,,,,,V000135,
M007,PLA Translucent,hdt045,value,60,°C,,,,,V000129,
M007,PLA Translucent,priceCADkg,value,29.99,CAD/kg,,,,,,
M008,PLA Silk,density,value,1240,kg/m³,,,,,V001913,
M008,PLA Silk,tensileModulusXY,value,2.403,GPa,,,,,V001915,
M008,PLA Silk,tensileStrengthXY,value,41.1,MPa,,,,,V001916,
M008,PLA Silk,elongationXY,estimate,15,%,12.2-23.9,11.7-55.2,open-55.2,this-material,,
M008,PLA Silk,hdt045,estimate,56.4,°C,48.5-64.2,43.4-69.1,43.4-69.1,this-grade,,
M008,PLA Silk,priceCADkg,none,,CAD/kg,,,,,,
M009,PLA Silk+,density,value,1270,kg/m³,,,,,V000144,
M009,PLA Silk+,tensileModulusXY,value,2.13,GPa,,,,,V000151,
M009,PLA Silk+,tensileStrengthXY,value,33,MPa,,,,,V000153,
M009,PLA Silk+,elongationXY,value,2.8,%,,,,,V000155,
M009,PLA Silk+,hdt045,value,60,°C,,,,,V000149,
M009,PLA Silk+,priceCADkg,value,30.99,CAD/kg,,,,,,
M010,PLA Silk Dual Color,density,value,1320,kg/m³,,,,,V000164,
M010,PLA Silk Dual Color,tensileModulusXY,value,1.83,GPa,,,,,V000172,
M010,PLA Silk Dual Color,tensileStrengthXY,value,27,MPa,,,,,V000174,
M010,PLA Silk Dual Color,elongationXY,value,3.5,%,,,,,V000176,
M010,PLA Silk Dual Color,hdt045,value,53,°C,,,,,V000170,
M010,PLA Silk Dual Color,priceCADkg,value,31.99,CAD/kg,,,,,,
