Headline,Class,End,Held,BeyondPlausible,Rank,Quantile,Screens
density,this-grade,top,0,0,,,no
density,this-grade,bottom,0,0,,,no
density,this-material,top,66,1,4,0.975,yes
density,this-material,bottom,66,2,4,0.025,yes
density,family,top,105,2,7,0.975,yes
density,family,bottom,105,0,7,0.025,yes
tensileModulusXY,this-grade,top,72,2,4,0.975,yes
tensileModulusXY,this-grade,bottom,72,0,4,0.025,yes
tensileModulusXY,this-material,top,50,0,2,0.975,yes
tensileModulusXY,this-material,bottom,50,0,2,0.025,yes
tensileModulusXY,family,top,77,0,4,0.975,yes
tensileModulusXY,family,bottom,77,1,4,0.025,yes
tensileStrengthXY,this-grade,top,54,1,3,0.975,yes
tensileStrengthXY,this-grade,bottom,54,1,3,0.025,yes
tensileStrengthXY,this-material,top,36,0,1,0.975,yes
tensileStrengthXY,this-material,bottom,36,0,1,0.025,yes
tensileStrengthXY,family,top,56,0,3,0.975,yes
tensileStrengthXY,family,bottom,56,0,3,0.025,yes
elongationXY,this-grade,top,51,0,2,0.975,yes
elongationXY,this-grade,bottom,51,0,2,0.025,yes
elongationXY,this-material,top,50,1,2,0.975,yes
elongationXY,this-material,bottom,50,3,2,0.017349,yes
elongationXY,family,top,77,0,4,0.975,yes
elongationXY,family,bottom,77,2,4,0.025,yes
hdt045,this-grade,top,54,1,3,0.975,yes
hdt045,this-grade,bottom,54,0,3,0.025,yes
hdt045,this-material,top,43,3,2,0.978341,yes
hdt045,this-material,bottom,43,0,2,0.025,yes
hdt045,family,top,67,4,4,0.976478,yes
hdt045,family,bottom,67,1,4,0.025,yes
hdt045 unstated-load bracket,amorphous,top,86,,5,gap 15.8,yes
hdt045 unstated-load bracket,semi-unfilled,top,4,,,,no
hdt045 unstated-load bracket,semi-filled,top,24,,1,gap 120,yes
hdt045 unstated-load bracket,elastomer,top,0,,,,no
