Template,Mode,MaterialID,Material,Verdict,Candidate,ScreenedBy
Outdoor structural part,Strict,M033,ASA-CF,PASS,yes,
Outdoor structural part,Strict,M037,PC-CF,PASS,yes,
Outdoor structural part,Strict,M048,PAHT-CF,PASS,yes,
Outdoor structural part,Strict,M050,PA6-CF,PASS,yes,
Outdoor structural part,Strict,M053,PA12-CF,PASS,yes,
Outdoor structural part,Strict,M054,PA12-GF,PASS,yes,
Outdoor structural part,Strict,M059,PA612-CF,PASS,yes,
Outdoor structural part,Strict,M065,PA612-ESD,PASS,yes,
Outdoor structural part,Strict,M067,PET-CF,PASS,yes,
Outdoor structural part,Strict,M070,PPA-CF,PASS,yes,
Outdoor structural part,Strict,M071,PPA-GF,PASS,yes,
Outdoor structural part,Strict,M073,PPS-CF,PASS,yes,
Outdoor structural part,Strict,M074,PPS-GF,PASS,yes,
Outdoor structural part,Strict,M083,PP-CF,PASS,yes,
Outdoor structural part,Strict,M084,PP-GF,PASS,yes,
Outdoor structural part,Strict,M128,PC-ABS-CF,PASS,yes,
Outdoor structural part,Strict,M132,PBT-GF,PASS,yes,
Outdoor structural part,Explore,M004,PLA Lite,UNKNOWN,yes,
Outdoor structural part,Explore,M033,ASA-CF,PASS,yes,
Outdoor structural part,Explore,M037,PC-CF,PASS,yes,
Outdoor structural part,Explore,M040,TPU for AMS,UNKNOWN,yes,
Outdoor structural part,Explore,M045,PEBA,UNKNOWN,yes,
Outdoor structural part,Explore,M046,TPC / TPEE,UNKNOWN,yes,
Outdoor structural part,Explore,M048,PAHT-CF,PASS,yes,
Outdoor structural part,Explore,M049,PA6,UNKNOWN,yes,
Outdoor structural part,Explore,M050,PA6-CF,PASS,yes,
Outdoor structural part,Explore,M052,PA12,UNKNOWN,yes,
Outdoor structural part,Explore,M053,PA12-CF,PASS,yes,
Outdoor structural part,Explore,M054,PA12-GF,PASS,yes,
Outdoor structural part,Explore,M055,PA66,UNKNOWN,yes,
Outdoor structural part,Explore,M056,PA66-CF,UNKNOWN,yes,
Outdoor structural part,Explore,M058,PA612,UNKNOWN,yes,
Outdoor structural part,Explore,M059,PA612-CF,PASS,yes,
Outdoor structural part,Explore,M060,PA612-GF,UNKNOWN,yes,
Outdoor structural part,Explore,M064,PA-ESD,UNKNOWN,yes,
Outdoor structural part,Explore,M065,PA612-ESD,PASS,yes,
Outdoor structural part,Explore,M066,PET,UNKNOWN,yes,
Outdoor structural part,Explore,M067,PET-CF,PASS,yes,
Outdoor structural part,Explore,M070,PPA-CF,PASS,yes,
Outdoor structural part,Explore,M071,PPA-GF,PASS,yes,
Outdoor structural part,Explore,M073,PPS-CF,PASS,yes,
Outdoor structural part,Explore,M074,PPS-GF,PASS,yes,
Outdoor structural part,Explore,M082,PP,UNKNOWN,yes,
Outdoor structural part,Explore,M083,PP-CF,PASS,yes,
Outdoor structural part,Explore,M084,PP-GF,PASS,yes,
Outdoor structural part,Explore,M086,OBC,UNKNOWN,yes,
Outdoor structural part,Explore,M090,CPE-CF,UNKNOWN,yes,
Outdoor structural part,Explore,M104,PA6-CE,UNKNOWN,yes,
Outdoor structural part,Explore,M105,ASA-EC,UNKNOWN,yes,
Outdoor structural part,Explore,M106,ABS-AF,UNKNOWN,yes,
Outdoor structural part,Explore,M107,PLA-ESD,UNKNOWN,yes,
Outdoor structural part,Explore,M108,PA6-GS,UNKNOWN,yes,
Outdoor structural part,Explore,M109,PETG-PTFE,UNKNOWN,yes,
Outdoor structural part,Explore,M110,PCTG-GF,UNKNOWN,yes,
Outdoor structural part,Explore,M111,PLA-EC,UNKNOWN,yes,
Outdoor structural part,Explore,M112,PC-PTFE,UNKNOWN,yes,
