Code,Record
IMPACT-UNITS,V001486
IMPACT-UNITS,V001673
IMPACT-UNITS,V001729
IMPACT-UNITS,V001730
IMPACT-UNITS,V001731
IMPACT-UNITS,V001732
IMPACT-UNITS,V001733
IMPACT-UNITS,V001734
IMPACT-UNITS,V001963
IMPACT-UNITS,V002084
HDT-LOAD-UNSTATED,M004 hdt045
HDT-LOAD-UNSTATED,M082 hdt045
HDT-LOAD-UNSTATED,M097 hdt045
HDT-LOAD-UNSTATED,M098 hdt045
HDT-LOAD-UNSTATED,M099 hdt045
HDT-LOAD-UNSTATED,M100 hdt045
HDT-LOAD-UNSTATED,M102 hdt045
EST-SUMMARY,materials
EST-OUTLIER,M070 tensileModulusXY
EST-OUTLIER,M094 elongationXY
EST-WIDE,M008 elongationXY
EST-WIDE,M040 tensileModulusXY
EST-WIDE,M045 tensileModulusXY
EST-WIDE,M046 tensileModulusXY
EST-WIDE,M046 tensileStrengthXY
EST-WIDE,M046 elongationXY
EST-WIDE,M049 tensileModulusXY
EST-WIDE,M049 elongationXY
EST-WIDE,M064 elongationXY
EST-WIDE,M076 elongationXY
EST-WIDE,M085 elongationXY
EST-WIDE,M085 hdt045
EST-WIDE,M086 tensileModulusXY
EST-WIDE,M087 hdt045
EST-WIDE,M091 elongationXY
EST-WIDE,M093 tensileModulusXY
EST-WIDE,M093 elongationXY
EST-FAMILY-ORDER,M018 tensileModulusXY
FAMILY-ENTRIES,M044
FAMILY-ENTRIES,M047
FAMILY-ENTRIES,M061
FAMILY-ENTRIES,M062
FAMILY-ENTRIES,M063
NO-MEASUREMENTS,M056
NO-MEASUREMENTS,M060
