Table,Record,Migration,Where
coverage,C00065,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00066,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00067,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00068,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00069,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00070,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00075,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00076,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00077,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00078,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00079,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00080,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00082,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00085,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00086,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00087,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00088,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00089,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00090,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00092,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00095,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00096,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00104,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00105,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00106,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00107,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00108,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00109,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00114,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00115,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00116,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00117,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00118,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00119,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00121,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00124,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00125,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00126,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00127,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00128,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
