EvidenceID,MaterialID,GradeID,Domain,Topic,Finding,Exposure / conditions,Rating 1–5,RubricID,Evidence type,SourceID,Locator
Q00001,M001,G001-02,Chemical exposure,Effect of weak acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,Effect of weak acids
Q00002,M001,G001-02,Chemical exposure,Effect of strong acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,Effect of strong acids
Q00003,M001,G001-02,Chemical exposure,Effect of weak alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,Effect of weak alkalis
Q00004,M001,G001-02,Chemical exposure,Effect of strong alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,Effect of strong alkalis
Q00005,M001,G001-02,Chemical exposure,Effect of organic solvent,No data available,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,Effect of organic solvent
Q00006,M001,G001-02,Chemical exposure,Effect of oils and grease,No data available,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,Effect of oils and grease
Q00007,M002,G002-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-filament-TDS,Solubility
Q00008,M002,G002-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-filament-TDS,Resistance to Acid
Q00009,M002,G002-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-filament-TDS,Resistance to Alkali
Q00010,M002,G002-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-filament-TDS,Resistance to Organic Solvent
Q00011,M002,G002-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-filament-TDS,Resistance to Oil and Grease
Q00012,M002,G002-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-filament-TDS,Flammability
Q00013,M002,G002-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-basic-filament-TDS,Test specimen preparation
Q00014,M003,G003-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-matte-TDS,Solubility
Q00015,M003,G003-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-matte-TDS,Resistance to Acid
Q00016,M003,G003-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-matte-TDS,Resistance to Alkali
Q00017,M003,G003-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-matte-TDS,Resistance to Organic Solvent
Q00018,M003,G003-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-matte-TDS,Resistance to Oil and Grease
Q00019,M003,G003-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-matte-TDS,Flammability
Q00020,M003,G003-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-matte-TDS,Test specimen preparation
Q00021,M005,G005-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-gradient-TDS,Solubility
Q00022,M005,G005-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-gradient-TDS,Resistance to Acid
Q00023,M005,G005-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-gradient-TDS,Resistance to Alkali
