MaterialID,HeadlineKey,MeasurementID,Use
M001,density,V000001,value
M001,tensileModulusXY,V000003,value
M001,elongationXY,V000004,value
M001,hdt045,V000008,context
M002,density,V000042,value
M002,tensileModulusXY,V000050,value
M002,tensileStrengthXY,V000052,value
M002,elongationXY,V000054,value
M002,hdt045,V000048,value
M003,density,V000063,value
M003,tensileModulusXY,V000071,value
M003,tensileStrengthXY,V000073,value
M003,elongationXY,V000075,value
M003,hdt045,V000069,value
M004,density,V001900,value
M004,tensileStrengthXY,V001903,value
M004,elongationXY,V001905,value
M004,hdt045,V001902,value
M005,density,V000083,value
M005,tensileModulusXY,V000091,value
M005,tensileStrengthXY,V000093,value
M005,elongationXY,V000095,value
M005,hdt045,V000089,value
M006,density,V000104,value
M006,tensileModulusXY,V000111,value
M006,tensileStrengthXY,V000113,value
M006,elongationXY,V000115,value
M006,hdt045,V000109,value
M007,density,V000124,value
M007,tensileModulusXY,V000131,value
M007,tensileStrengthXY,V000133,value
M007,elongationXY,V000135,value
M007,hdt045,V000129,value
M008,density,V001913,value
M008,tensileModulusXY,V001915,value
M008,tensileStrengthXY,V001916,value
M008,hdt045,V001914,context
M009,density,V000144,value
M009,tensileModulusXY,V000151,value
M009,tensileStrengthXY,V000153,value
M009,elongationXY,V000155,value
M009,hdt045,V000149,value
M010,density,V000164,value
M010,tensileModulusXY,V000172,value
M010,tensileStrengthXY,V000174,value
M010,elongationXY,V000176,value
M010,hdt045,V000170,value
M011,density,V000184,value
M011,tensileModulusXY,V000191,value
M011,tensileStrengthXY,V000193,value
M011,elongationXY,V000195,value
M011,hdt045,V000189,value
M012,density,V000204,value
M012,tensileModulusXY,V000211,value
M012,tensileStrengthXY,V000213,value
M012,elongationXY,V000215,value
M012,hdt045,V000209,value
M013,density,V000224,value
M013,tensileModulusXY,V000232,value
M013,tensileStrengthXY,V000234,value
M013,elongationXY,V000236,value
M013,hdt045,V000230,value
M014,density,V000244,value
M014,tensileModulusXY,V000251,value
M014,tensileStrengthXY,V000253,value
M014,elongationXY,V000255,value
M014,hdt045,V000249,value
M015,density,V000264,value
M015,tensileModulusXY,V000271,value
M015,tensileStrengthXY,V000273,value
M015,elongationXY,V000275,value
M015,hdt045,V000269,value
M016,density,V000283,value
M016,tensileModulusXY,V000290,value
M016,tensileStrengthXY,V000292,value
M016,elongationXY,V000294,value
M016,hdt045,V000288,value
M017,density,V000303,value
M017,tensileModulusXY,V000310,value
M017,tensileStrengthXY,V000312,value
M017,elongationXY,V000314,value
M017,hdt045,V000308,value
M018,density,V000323,value
M018,tensileModulusXY,V000331,value
M018,tensileStrengthXY,V000333,value
M018,elongationXY,V000335,value
M018,hdt045,V000329,value
M019,density,V000344,value
M019,tensileModulusXY,V000354,value
M019,tensileStrengthXY,V000356,value
M019,elongationXY,V000358,value
M019,hdt045,V000350,value
M020,density,V000382,value
M020,tensileModulusXY,V000384,value
M020,elongationXY,V000385,value
M020,hdt045,V000389,value
M021,density,V000423,value
M021,tensileModulusXY,V000431,value
M021,tensileStrengthXY,V000433,value
M021,elongationXY,V000435,value
M021,hdt045,V000429,value
M022,density,V000443,value
M022,tensileModulusXY,V000451,value
M022,tensileStrengthXY,V000453,value
M022,elongationXY,V000455,value
M022,hdt045,V000449,value
M023,density,V000463,value
M023,tensileModulusXY,V000471,value
M023,tensileStrengthXY,V000473,value
M023,elongationXY,V000475,value
M023,hdt045,V000469,value
M024,density,V000484,value
M024,tensileModulusXY,V000492,value
M024,tensileStrengthXY,V000494,value
M024,elongationXY,V000496,value
M024,hdt045,V000490,value
M025,density,V001967,value
M025,tensileModulusXY,V001971,value
