PriceID,MaterialID,GradeID,Retailer,Variant / SKU,Packaging,Net mass kg,List price CAD,Sale price CAD,Stock,Eligible for median,Headline sample,Displayed price CAD,Currency,Market,Tax / shipping,Regular price basis,URL,SourceID,Access date,Notes
CA0001,M002,G002-01,Bambu Lab Canada,PLA Basic - Jade White (10100) / Refill / 1kg,Refill,1,25.99,Not applicable,In stock,TRUE,TRUE,25.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,MSRP in current page matches variant offer,https://ca.store.bambulab.com/products/pla-basic-filament?id=43115681841392,B-pla-basic-filament,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0002,M002,G002-01,Bambu Lab Canada,PLA Basic - Jade White (10100) / Filament with spool / 1kg,Spool,1,Not published,Not applicable,In stock,FALSE,FALSE,29.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Current offer; variant-specific regular price not independently resolved,https://ca.store.bambulab.com/products/pla-basic-filament?id=43886297678064,B-pla-basic-filament,2026-09-10,"Mass is filament only, not shipping/spool weight. Bulk or unresolved regular price excluded."
CA0003,M003,G003-01,Bambu Lab Canada,PLA Matte - Ivory White (11100) / Refill / 1kg,Refill,1,25.99,Not applicable,In stock,TRUE,TRUE,25.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,MSRP in current page matches variant offer,https://ca.store.bambulab.com/products/pla-matte?id=43135539839216,B-pla-matte,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0004,M003,G003-01,Bambu Lab Canada,PLA Matte - Marine Blue (11600) / Filament with spool / 1kg,Spool,1,Not published,Not applicable,In stock,FALSE,FALSE,29.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Current offer; variant-specific regular price not independently resolved,https://ca.store.bambulab.com/products/pla-matte?id=43887138439408,B-pla-matte,2026-09-10,"Mass is filament only, not shipping/spool weight. Bulk or unresolved regular price excluded."
CA0005,M003,G003-01,Bambu Lab Canada,PLA Matte - Bone White (11103) / Refill / 1kg,Refill,1,25.99,Not applicable,Out of stock,FALSE,FALSE,25.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,MSRP in current page matches variant offer,https://ca.store.bambulab.com/products/pla-matte?id=563882858931896329,B-pla-matte,2026-09-10,"Mass is filament only, not shipping/spool weight. Bulk or unresolved regular price excluded."
CA0006,M005,G005-01,Bambu Lab Canada,PLA Basic Gradient - Arctic Whisper (10900) / Filament with spool / 1kg,Spool,1,31.99,Not applicable,Out of stock,FALSE,FALSE,31.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-basic-gradient?id=44159419810032,B-pla-basic-gradient,2026-09-10,"Mass is filament only, not shipping/spool weight. Bulk or unresolved regular price excluded."
CA0007,M006,G006-01,Bambu Lab Canada,PLA Tough+ - White (12107) / Filament with Spool / 1kg,Spool,1,Not published,Not applicable,In stock,FALSE,FALSE,30.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Current offer; variant-specific regular price not independently resolved,https://ca.store.bambulab.com/products/pla-tough-upgrade?id=624467991622688768,B-pla-tough-upgrade,2026-09-10,"Mass is filament only, not shipping/spool weight. Bulk or unresolved regular price excluded."
CA0008,M006,G006-01,Bambu Lab Canada,PLA Tough+ - White (12107) / Refill / 1kg,Refill,1,26.99,Not applicable,In stock,TRUE,TRUE,26.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-tough-upgrade?id=659539854443044866,B-pla-tough-upgrade,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0009,M007,G007-01,Bambu Lab Canada,PLA Translucent - Teal (13612) / Filament with spool / 1 kg,Spool,1,29.99,Not applicable,In stock,TRUE,TRUE,29.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,MSRP in current page matches variant offer,https://ca.store.bambulab.com/products/pla-translucent?id=594048155633315855,B-pla-translucent,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0010,M009,G009-01,Bambu Lab Canada,PLA Silk+ - Gold (13405) / Filament with spool / 1 kg,Spool,1,29.99,Not applicable,In stock,TRUE,TRUE,29.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,MSRP in current page matches variant offer,https://ca.store.bambulab.com/products/pla-silk-upgrade?id=542547831280766994,B-pla-silk-upgrade,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0011,M009,G009-01,Bambu Lab Canada,PLA Silk+ - Gold (13405) / Refill / 1 kg,Refill,1,Not published,Not applicable,In stock,FALSE,FALSE,25.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Current offer; variant-specific regular price not independently resolved,https://ca.store.bambulab.com/products/pla-silk-upgrade?id=669699832095612930,B-pla-silk-upgrade,2026-09-10,"Mass is filament only, not shipping/spool weight. Bulk or unresolved regular price excluded."
CA0012,M010,G010-01,Bambu Lab Canada,PLA Silk Multi-Color - Gilded Rose (13901) / Filament with spool / 1 kg,Spool,1,31.99,Not applicable,In stock,TRUE,TRUE,31.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-silk-multi-color?id=44852088176880,B-pla-silk-dual-color,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0013,M011,G011-01,Bambu Lab Canada,PLA Metal - Oxide Green Metallic (13500) / Filament with spool / 1 kg,Spool,1,31.99,Not applicable,In stock,TRUE,TRUE,31.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-metal?id=43809123172592,B-pla-metal,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0014,M011,G011-01,Bambu Lab Canada,PLA Metal - Iron Gray Metallic (13100) / Filament with spool / 1 kg,Spool,1,31.99,Not applicable,Out of stock,FALSE,FALSE,31.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-metal?id=44106847584496,B-pla-metal,2026-09-10,"Mass is filament only, not shipping/spool weight. Bulk or unresolved regular price excluded."
CA0015,M012,G012-01,Bambu Lab Canada,PLA Marble - White Marble (13103) / Filament with spool / 1 kg,Spool,1,31.99,Not applicable,In stock,TRUE,TRUE,31.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-marble?id=43867392868592,B-pla-marble,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0016,M013,G013-01,Bambu Lab Canada,PLA Sparkle - Alpine Green Sparkle (13501) / Filament with spool / 1 kg,Spool,1,31.99,Not applicable,In stock,TRUE,TRUE,31.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-sparkle?id=43809130086640,B-pla-sparkle,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0017,M013,G013-01,Bambu Lab Canada,PLA Sparkle - Crimson Red Sparkle (13200) / Filament with spool / 1 kg,Spool,1,31.99,Not applicable,Out of stock,FALSE,FALSE,31.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-sparkle?id=43809130119408,B-pla-sparkle,2026-09-10,"Mass is filament only, not shipping/spool weight. Bulk or unresolved regular price excluded."
CA0018,M014,G014-01,Bambu Lab Canada,PLA Wood - Black Walnut (13107) / Filament with spool / 1 kg,Spool,1,31.99,Not applicable,In stock,TRUE,TRUE,31.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-wood?id=46788372824304,B-pla-wood,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0019,M015,G015-01,Bambu Lab Canada,PLA Galaxy - Brown (13203) / Filament with spool / 1 kg,Spool,1,31.99,Not applicable,In stock,TRUE,TRUE,31.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-galaxy?id=45164872859888,B-pla-galaxy,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0020,M016,G016-01,Bambu Lab Canada,PLA Glow - Glow Orange (15300) / Filament with spool / 1 kg,Spool,1,31.99,Not applicable,In stock,TRUE,TRUE,31.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-glow?id=44604961161456,B-pla-glow,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0021,M017,G017-01,Bambu Lab Canada,PLA Aero - White (14102) / Filament with spool / 1kg,Spool,1,57.99,Not applicable,In stock,TRUE,TRUE,57.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-aero?id=44189333061872,B-pla-aero,2026-09-10,"Mass is filament only, not shipping/spool weight."
CA0022,M017,G017-01,Bambu Lab Canada,PLA Aero - Black (14103) / Filament with spool / 1kg,Spool,1,57.99,Not applicable,Out of stock,FALSE,FALSE,57.99,CAD,Canadian storefront,Excluded; shipping calculated at checkout,Official single-unit CAD price; no promotion in price block,https://ca.store.bambulab.com/products/pla-aero?id=44189333094640,B-pla-aero,2026-09-10,"Mass is filament only, not shipping/spool weight. Bulk or unresolved regular price excluded."
