ProfileID,Topic,Text
P0002,Adhesion / release,Glue when needed
P0002,Cooling,100%
P0002,Speed,Classic :50-100mm/s
P0003,Cooling,0- 100%
P0003,Speed,30-70 mm/s
P0004,Adhesion / release,Glue
P0004,Cooling,Turn on
P0004,Storage humidity,< 20% RH (Sealed with desiccant)
P0005,Adhesion / release,Glue
P0005,Cooling,Turn on
P0005,Storage humidity,< 20% RH (Sealed with desiccant)
P0006,Adhesion / release,Glue
P0006,Cooling,100%
P0006,Speed,< 300 mm/s
P0006,Storage humidity,< 20% RH (Sealed with desiccant)
P0006,Overhang,Angle 55°
P0007,Cooling,Turn on
P0007,Speed,< 300 mm/s
P0007,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0007,Bridging,Length 30 mm
P0007,Overhang,Angle 55 °
P0008,Adhesion / release,Glue
P0008,Cooling,Turn on
P0008,Speed,< 150 mm/s
P0008,Storage humidity,"<20% RH (Sealed, with desiccant)"
P0008,Bridging,Length 30 mm
P0008,Overhang,Angle 55 °
P0009,Cooling,Turn on
P0009,Speed,< 250 mm/s
P0009,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0009,Bridging,Length 30 mm
P0009,Overhang,Angle 55 °
P0010,Adhesion / release,Glue
P0010,Cooling,Turn on
P0010,Speed,< 250 mm/s
P0010,Storage humidity,"< 20% RH ( Sealed, with desiccant )"
P0010,Overhang,Angle 55 °
P0011,Adhesion / release,Glue
P0011,Cooling,Turn on
P0011,Speed,< 300 mm/s
P0011,Storage humidity,< 20% RH (Sealed with desiccant)
P0012,Adhesion / release,Glue
P0012,Cooling,Turn on
P0012,Speed,< 250 mm/s
P0012,Storage humidity,< 20% RH (Sealed with desiccant)
P0013,Adhesion / release,PVP Glue
P0013,Cooling,100%
P0013,Speed,< 250 mm/s
P0013,Storage humidity,< 20% RH (Sealed with desiccant)
P0014,Adhesion / release,Glue
P0014,Cooling,Turn on
P0014,Speed,< 250 mm/s
P0014,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0014,Overhang,Angle ~ 55 °
P0015,Adhesion / release,Glue
P0015,Cooling,Turn on
P0015,Speed,<250 mm/s
P0015,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0016,Adhesion / release,Glue
P0016,Cooling,Turn on
P0016,Speed,< 250 mm/s
P0016,Storage humidity,< 20% RH (Sealed with desiccant)
P0017,Adhesion / release,Glue
P0017,Cooling,Turn on
P0017,Speed,< 180 mm/s
P0017,Storage humidity,"<20% RH ( Sealed, with desiccant )"
P0017,Bridging,Length 30 mm
P0017,Overhang,Angle 55°
P0018,Adhesion / release,Glue
P0018,Cooling,Turn on
P0018,Speed,< 200 mm/s
P0018,Storage humidity,"< 20% RH ( Sealed, with desiccant )"
P0019,Adhesion / release,PC and Texture PEI (Glue when needed)
P0019,Cooling,ON
P0019,Speed,Up to 350 (mm/s)
P0022,Adhesion / release,Glue
P0022,Cooling,OFF-20%
