Property,Domain,Units,Applies to,Not applicable reason,Description,Replaced by
Density,physical,kg/m³,,,,
Tensile modulus,mechanical,GPa,,,,
Tensile strength (endpoint unspecified),mechanical,MPa,,,,
Tensile yield strength,mechanical,MPa,,,,
Tensile break strength,mechanical,MPa,,,,
Elongation at break,mechanical,%,,,,
Elongation at yield,mechanical,%,,,,
Tensile strain at strength,mechanical,%,,,,
Flexural modulus,mechanical,GPa,,,,
Flexural strength,mechanical,MPa,,,,
Flexural elongation at break,mechanical,%,,,,
Flexural stress at conventional deflection,mechanical,MPa,,,,
Charpy strength,mechanical,kJ/m²,,,,
Izod strength,mechanical,kJ/m²; J/m,,,,Izod impact strength
Izod impact strength,mechanical,kJ/m²; J/m,,,,
Impact strength,mechanical,kJ/m²,,,,
Hardness,mechanical,Shore A; Shore D; Rockwell M; Rockwell R; Shore (scale not specified by source),,,,
Compression strength,mechanical,MPa,,,,
Interlayer adhesion strength,mechanical,MPa,,,,
Fatigue life,mechanical,cycles,,,,
HDT,thermal,°C,,,,
Glass transition temperature,thermal,°C,,,,
Vicat softening temperature,thermal,°C,,,,
Melting temperature,thermal,°C,,,,
Crystallization temperature,thermal,°C,,,,
Continuous service temperature,thermal,°C,,,,
Thermal conductivity,thermal,W/(m·K),,,,
Coefficient of thermal expansion,thermal,µm/m/K,,,,
Water absorption,physical,%,,,,
Moisture content,physical,%,,,,
Melt mass-flow rate,physical,g/10 min,,,,
Melt volume-flow rate,physical,cm³/10 min,,,,
Mould shrinkage,physical,%,,,"How much a moulded or printed part shrinks as it cools, to ISO 294-4 or ASTM D955. A sheet that prints it parallel and normal to the flow publishes two rows.",
Volume resistivity,physical,Ω·cm,,,"Resistance through the body of the material, to IEC 60093 or ASTM D257. It is what separates a conductive or ESD grade from an insulating one.",
Surface resistivity,physical,Ω,,,"Resistance across the surface, to IEC 60093 or ASTM D257.",
Dielectric strength,physical,kV/mm,,,"The field a material holds before it breaks down, to IEC 60243 or ASTM D149.",
Relative permittivity,physical,Dimensionless,,,"The dielectric constant, to IEC 60250 or ASTM D150. A sheet states the frequency it was measured at, which the row keeps as its test condition.",
Comparative tracking index,physical,V,,,"The voltage at which a wetted, contaminated surface begins to track, to IEC 60112. A sheet may print it as a stage rather than a voltage; only a voltage is a value here.",
Oxygen index,physical,%,,,"The least oxygen concentration that sustains burning, to ISO 4589 or ASTM D2863. A flammability class (UL 94 V-0, HB) is a certification claim, not this.",
Tear strength,mechanical,kN/m,,,"The force per thickness that tears a specimen, to ISO 34 or ASTM D624. Published for elastomers and films.",
Abrasion loss,mechanical,mm³,,,"The volume a standard abrasive removes, to ISO 4649 or DIN 53516. A smaller number wears less.",
Compression set,mechanical,%,,,"How much of a compression an elastomer keeps after the load is taken off, to ISO 815 or ASTM D395. A sheet states the time and temperature, which the row keeps as its test conditions.",
Poisson's ratio,mechanical,Dimensionless,,,How much a specimen narrows as it is stretched.,
Decomposition temperature,thermal,°C,,,"Where the material begins to break down rather than melt, by thermogravimetry (ISO 11358). A sheet states the mass loss it is quoted at, commonly 5 %, which the row keeps as its test condition.",
