Category,Name
Composite,Aluminum/silicon carbide
Composite,Aluminum-polyethylene sandwich
Composite,"CFRP, epoxy matrix (isotropic)"
Composite,"DMC or BMC, dough (bulk) molding compound"
Composite,"GFRP, epoxy matrix (isotropic)"
Composite,"SMC, sheet molding compound"
"Concrete, Stone, Ceramic, Brick, Glass",Ceramic tile
"Concrete, Stone, Ceramic, Brick, Glass",Common brick
"Concrete, Stone, Ceramic, Brick, Glass",Engineering brick
"Concrete, Stone, Ceramic, Brick, Glass",Facing brick
"Concrete, Stone, Ceramic, Brick, Glass",Refractory brick (low density)
"Concrete, Stone, Ceramic, Brick, Glass",Terracotta
"Concrete, Stone, Ceramic, Brick, Glass",Cement (ordinary Portland)
"Concrete, Stone, Ceramic, Brick, Glass",Asphalt concrete
"Concrete, Stone, Ceramic, Brick, Glass",Autoclaved aerated concrete (AAC)
"Concrete, Stone, Ceramic, Brick, Glass",Concrete (structural lightweight)
"Concrete, Stone, Ceramic, Brick, Glass",Dense concrete
"Concrete, Stone, Ceramic, Brick, Glass",High performance concrete
"Concrete, Stone, Ceramic, Brick, Glass",High volume fly ash concrete
"Concrete, Stone, Ceramic, Brick, Glass",Reactive powder concrete
"Concrete, Stone, Ceramic, Brick, Glass",Plaster of Paris
"Concrete, Stone, Ceramic, Brick, Glass",Granite
"Concrete, Stone, Ceramic, Brick, Glass",Limestone
"Concrete, Stone, Ceramic, Brick, Glass",Marble
"Concrete, Stone, Ceramic, Brick, Glass",Standstone
"Concrete, Stone, Ceramic, Brick, Glass",Slate
"Concrete, Stone, Ceramic, Brick, Glass",Borosilicate glass (Pyrex)
"Concrete, Stone, Ceramic, Brick, Glass",Laminated glass
"Concrete, Stone, Ceramic, Brick, Glass",Low-e glass
"Concrete, Stone, Ceramic, Brick, Glass",Silica glass (Vycor)
"Concrete, Stone, Ceramic, Brick, Glass",Soda-Lime glass (float glass)
"Concrete, Stone, Ceramic, Brick, Glass",Alumina
"Concrete, Stone, Ceramic, Brick, Glass",Aluminum nitride
"Concrete, Stone, Ceramic, Brick, Glass",Boron carbide
"Concrete, Stone, Ceramic, Brick, Glass",Glass ceramic
"Concrete, Stone, Ceramic, Brick, Glass",Slilicon
"Concrete, Stone, Ceramic, Brick, Glass",Silicon carbide
"Concrete, Stone, Ceramic, Brick, Glass",Silicon nitride
"Concrete, Stone, Ceramic, Brick, Glass",Tungsten carbide
"Concrete, Stone, Ceramic, Brick, Glass",Zirconia
Foam,Ceramic foam
Foam,Elastomeric polyurethane foam
Foam,Fireproof phenolic foam
Foam,Metal foam
Foam,Rigid polystyrene foam
Metals,"Cast iron, gray (flake graphite)"
Metals,"Cast iron, nodular (spheroidal, ductile)"
Metals,"Cast iron, white"
Metals,Galvanized steel
Metals,Terne coated stainless steel
Metals,Terne coated steel
Metals,High carbon steel
Metals,Low alloy steel
Metals,low carbon steel
Metals,medium carbon steel
Metals,structural steel
Metals,stainless steel
Metals,Wrought iron
Metals,"Aluminum alloy, wrought (6061, T4)"
Metals,"Aluminum, pure (1200, H4)"
Metals,Brass
Metals,Bronze
Metals,Copper
Metals,Lead alloys
Metals,Lead coated copper
Metals,Magnesium alloys
Metals,Nickel alloys
Metals,Tin
Metals,Titanium alloys
Metals,Tungsten alloys
Metals,Zinc alloys
"Polymers, Elastomers",Butyl rubber
"Polymers, Elastomers",Ethylene propylene terpolymer (EPDM)
"Polymers, Elastomers",Ethylene vinyl acetate (EVA)
"Polymers, Elastomers",Isoprene (IR)
"Polymers, Elastomers",Natural rubber (NR)
"Polymers, Elastomers","Polychloroprene (neoprene, CR)"
"Polymers, Elastomers",Polyurethane (eIPU)
"Polymers, Elastomers",Silicone elastomers
"Polymers, Elastomers",Acrylonitrile butadiene styrene (ABS)
"Polymers, Elastomers",Cellulose polymers (CA)
"Polymers, Elastomers",Ethylene tetrafluoroethylene (ETFE)
"Polymers, Elastomers",Ionomer (I)
"Polymers, Elastomers","Polyamides (nylons, PA)"
"Polymers, Elastomers",Polycarbonate (PC)
"Polymers, Elastomers",Polyetheretherketone (PEEK)
"Polymers, Elastomers",Polyethylene (PE)
"Polymers, Elastomers","Polyethylene terephthalate (PET, PETE)"
"Polymers, Elastomers","Polymethyl methacrylate (acrylic, PMMA)"
"Polymers, Elastomers","Polyoxymethylene (acetal, POM)"
"Polymers, Elastomers",Polypropylene (PP)
"Polymers, Elastomers",Polystyrene (PS)
"Polymers, Elastomers",Polytetrafluoroethylene (PTFE)
"Polymers, Elastomers",Polyurethane (tpPUR)
"Polymers, Elastomers",Polyvinylchloride (tpPVC)
"Polymers, Elastomers",Epoxies
"Polymers, Elastomers",Phenolics
"Polymers, Elastomers",Polyester
Wood,Bamboo
Wood,Cork
Wood,Glulam
Wood,Hardboard parallel to board
Wood,Hardboard perpendicular to board
Wood,Hardwood (oak) parallel to the grain
Wood,Hardwood (oak) transverse to the grain
Wood,Softwood (pine) parallel to the grain
Wood,Softwood (pine) transverse to the grain
Wood,Straw bale
Wood,Medium density fiberboard parallel to board
Wood,Medium density fiberboard perpendicular to board
Wood,Particleboard parallel to board
Wood,Particleboard perpendicular to board
Wood,Polywood parallel to board
Wood,Polywood perpendicular to board
