Name,Property,Min,Max
Aluminum/silicon carbide,density,2660,2900
Aluminum/silicon carbide,tensileModulus,81,100
Aluminum/silicon carbide,yieldStrength,280,324
Aluminum/silicon carbide,tensileStrength,290,365
Aluminum/silicon carbide,compressiveStrength,280,325
Aluminum/silicon carbide,elongation,1,5
Aluminum/silicon carbide,fractureToughness,15,24
Aluminum/silicon carbide,thermalExpansion,15,23
Aluminum-polyethylene sandwich,density,1370,1400
Aluminum-polyethylene sandwich,tensileModulus,17,20
Aluminum-polyethylene sandwich,yieldStrength,50,70
Aluminum-polyethylene sandwich,tensileStrength,70,90
Aluminum-polyethylene sandwich,compressiveStrength,30,40
Aluminum-polyethylene sandwich,elongation,1.9,5
Aluminum-polyethylene sandwich,fractureToughness,30,35
Aluminum-polyethylene sandwich,thermalExpansion,21,24
"CFRP, epoxy matrix (isotropic)",density,1500,1600
"CFRP, epoxy matrix (isotropic)",tensileModulus,69,150
"CFRP, epoxy matrix (isotropic)",yieldStrength,550,1050
"CFRP, epoxy matrix (isotropic)",tensileStrength,550,1050
"CFRP, epoxy matrix (isotropic)",compressiveStrength,440,700
"CFRP, epoxy matrix (isotropic)",elongation,0.32,0.35
"CFRP, epoxy matrix (isotropic)",fractureToughness,6.12,20
"CFRP, epoxy matrix (isotropic)",thermalExpansion,1,4
"DMC or BMC, dough (bulk) molding compound",density,1800,2100
"DMC or BMC, dough (bulk) molding compound",tensileModulus,12,14
"DMC or BMC, dough (bulk) molding compound",yieldStrength,25,55
"DMC or BMC, dough (bulk) molding compound",tensileStrength,34,70
"DMC or BMC, dough (bulk) molding compound",compressiveStrength,140,180
"DMC or BMC, dough (bulk) molding compound",elongation,1.4,1.9
"DMC or BMC, dough (bulk) molding compound",fractureToughness,3,6
"DMC or BMC, dough (bulk) molding compound",thermalExpansion,24,34
"GFRP, epoxy matrix (isotropic)",density,1750,1970
"GFRP, epoxy matrix (isotropic)",tensileModulus,15,28
"GFRP, epoxy matrix (isotropic)",yieldStrength,110,192
"GFRP, epoxy matrix (isotropic)",tensileStrength,138,241
