# H2C Material Selector export
# database snapshot 2026-09-10, application build 2026-09-12
MaterialID,Material,Family,H2C status,State,Density kg/m3,Stiffness GPa,Strength MPa,Stretch %,Heat resistance C,Price CAD/kg,Nozzle C,Bed C,Chamber C,Hardened nozzle,Needs drying,Where to buy,HDT load stated,Estimated fields,Ruled out by estimate,Held by
M001,PLA,PLA,Officially listed family,FAIL,1240,2.865,not-published,8,80,not-available-in-market,190-220,0-60,0-40,,yes,,false,"tensileStrengthXY ~26-55.4 (PLA, unreinforced grades, n=13)",,
M002,PLA Basic,PLA,Official Bambu product,FAIL,1240,2.58,35,12.2,57,27.99,190-230,35-45,,,yes,https://ca.store.bambulab.com/products/pla-basic-filament?id=43115681841392,true,,,
M003,PLA Matte,PLA,Official Bambu product,FAIL,1310,1.96,30,14.8,58,27.99,190-230,35-45,,,yes,https://ca.store.bambulab.com/products/pla-matte?id=43135539839216,true,,,
M004,PLA Lite,PLA,Theoretical,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,,,,,,,,"density ~1190-1320 (PLA, unreinforced grades, n=14) | tensileModulusXY ~1.54-2.88 (PLA, unreinforced grades, n=14) | tensileStrengthXY ~26-55.4 (PLA, unreinforced grades, n=13) | elongationXY ~2.8-15.3 (PLA, unreinforced grades, n=14) | hdt045 ~53-80 (PLA, unreinforced grades, n=14)",,density < 0
M005,PLA Basic Gradient,PLA,Official Bambu product,FAIL,1240,2.58,36,15.2,57,not-available-in-market,190-230,35-45,25-45,,yes,https://ca.store.bambulab.com/products/pla-basic-gradient?id=44159419810032,true,,,
M006,PLA Tough+,PLA,Official Bambu product,FAIL,1210,1.86,34.9,9.4,61,26.99,220-250,35-65,25-45,,yes,https://ca.store.bambulab.com/products/pla-tough-upgrade?id=659539854443044866,true,,,
M007,PLA Translucent,PLA,Official Bambu product,FAIL,1220,2.88,55.4,11,60,29.99,200-240,35-65,25-45,,yes,https://ca.store.bambulab.com/products/pla-translucent?id=594048155633315855,true,,,
M008,PLA Silk,PLA,Theoretical,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,,,,,,,,"density ~1190-1320 (PLA, unreinforced grades, n=14) | tensileModulusXY ~1.54-2.88 (PLA, unreinforced grades, n=14) | tensileStrengthXY ~26-55.4 (PLA, unreinforced grades, n=13) | elongationXY ~2.8-15.3 (PLA, unreinforced grades, n=14) | hdt045 ~53-80 (PLA, unreinforced grades, n=14)",,density < 0
M009,PLA Silk+,PLA,Official Bambu product,FAIL,1270,2.13,33,2.8,60,30.99,210-240,35-45,25-45,,yes,https://ca.store.bambulab.com/products/pla-silk-upgrade?id=542547831280766994,true,,,
M010,PLA Silk Dual Color,PLA,Official Bambu product,FAIL,1320,1.83,27,3.5,53,31.99,210-240,35-45,25-45,,yes,https://ca.store.bambulab.com/products/pla-silk-multi-color?id=44852088176880,true,,,
M011,PLA Metal,PLA,Official Bambu product,FAIL,1250,2.01,34,14.7,62,31.99,190-230,35-45,,,yes,https://ca.store.bambulab.com/products/pla-metal?id=43809123172592,true,,,
M012,PLA Marble,PLA,Official Bambu product,FAIL,1220,2.33,33,6.7,56,31.99,190-230,35-45,,,yes,https://ca.store.bambulab.com/products/pla-marble?id=43867392868592,true,,,
M013,PLA Sparkle,PLA,Official Bambu product,FAIL,1260,1.94,39,11.7,55,31.99,190-230,35-45,,,yes,https://ca.store.bambulab.com/products/pla-sparkle?id=43809130086640,true,,,
M014,PLA Wood,PLA,Official Bambu product,FAIL,1210,2.36,26,15.3,60,31.99,190-240,35-45,25-45,,yes,https://ca.store.bambulab.com/products/pla-wood?id=46788372824304,true,,,
M015,PLA Galaxy,PLA,Official Bambu product,FAIL,1190,1.54,26,9.3,55,31.99,190-230,35-45,,,yes,https://ca.store.bambulab.com/products/pla-galaxy?id=45164872859888,true,,,
M016,PLA Glow,PLA,Official Bambu product,FAIL,1260,2.03,32,8.6,55,31.99,190-230,35-45,25-45,,yes,https://ca.store.bambulab.com/products/pla-glow?id=44604961161456,true,,,
M017,PLA Aero,PLA,Official Bambu product,FAIL,1210,1.35,24,2.6,53,57.99,210-260,35-45,25-45,,yes,https://ca.store.bambulab.com/products/pla-aero?id=44189333061872,true,,,
M018,PLA-CF,PLA,Official Bambu product,FAIL,1220,2.79,38,8.4,55,40.99,210-240,35-45,25-45,yes,yes,https://ca.store.bambulab.com/products/pla-cf?id=46474926129392,true,,,
M019,PLA-GF,PLA,Officially listed family,FAIL,1337,3.79385,50.09,2.77,75.5,not-available-in-market,210-230,25-60,,yes,,,true,,,
M020,PETG,PETG,Officially listed family,FAIL,1280,1.4,not-published,8,70,not-available-in-market,210-240,50-80,50-70,,,,false,"tensileStrengthXY ~33-51 (PETG, unreinforced grades, n=3)",,
M021,PETG Basic,PETG,Official Bambu product,FAIL,1250,2.78,51,9.5,71,24.99,230-260,65-75,,,yes,https://ca.store.bambulab.com/products/petg-basic?id=703075596700733453,true,,,
M022,PETG HF,PETG,Official Bambu product,FAIL,1280,1.81,34,8.6,69,not-available-in-market,230-260,65-75,,,yes,https://ca.store.bambulab.com/products/petg-hf?id=46336541032688,true,,,
M023,PETG Translucent,PETG,Official Bambu product,FAIL,1250,1.42,33,8.2,74,25.99,230-270,65-75,35-50,,yes,https://ca.store.bambulab.com/products/petg-translucent?id=46081462337776,true,,,
M024,PETG-CF,PETG,Official Bambu product,FAIL,1250,2.46,35,10.4,74,40.99,240-270,65-75,,yes,yes,https://ca.store.bambulab.com/products/petg-cf?id=46475013193968,true,,,
M025,PETG-GF,PETG,Officially listed family,FAIL,1260,not-published,not-published,not-published,not-published,not-available-in-market,,,,yes,,,,"tensileModulusXY ~1.4-2.78 (PETG, all grades including reinforced ones, n=6) | tensileStrengthXY ~33-51 (PETG, all grades including reinforced ones, n=4) | elongationXY ~8-13 (PETG, all grades including reinforced ones, n=6) | hdt045 ~69-75 (PETG, all grades including reinforced ones, n=6)",,
M026,PETG-ESD,PETG,Theoretical,FAIL,1280,1.8,not-published,13,75,not-available-in-market,230-290,60-90,25-50,,yes,,false,"tensileStrengthXY ~33-51 (PETG, all grades including reinforced ones, n=4)",,
M027,ABS,ABS,Official Bambu product,FAIL,1050,2.2,33,10.5,87,29.99,240-270,80-100,45-60,,yes,https://ca.store.bambulab.com/products/abs-filament?id=43115678859504,true,,,
M028,ABS-GF,ABS,Official Bambu product,FAIL,1080,3.16,36,1.2,99,38.99,240-280,80-100,45-60,yes,yes,https://ca.store.bambulab.com/products/abs-gf?id=45758386438384,true,,,
