sheet,record,cell,action,field,before,after
Grades,G047-01,H63,Edited,Availability,Not published,Retired mapping; audit trail only
Grades,G047-01,J63,Edited,Selected-grade rationale,Documented commercial formulation; traceable manufacturer evidence,"Retired 2026-09-13: duplicate of G057-01, the same data sheet filed under another material. Every measurement and evidence record has an identical twin under G057-01"
Properties,V000854,P857,Edited,Data status,Published value,Retired duplicate record
Properties,V000854,AA857,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000855,P858,Edited,Data status,Published value,Retired duplicate record
Properties,V000855,AA858,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000856,P859,Edited,Data status,Published value,Retired duplicate record
Properties,V000856,AA859,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000857,P860,Edited,Data status,Published value,Retired duplicate record
Properties,V000857,AA860,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000858,P861,Edited,Data status,Published value,Retired duplicate record
Properties,V000858,AA861,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000859,P862,Edited,Data status,Published value,Retired duplicate record
Properties,V000859,AA862,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000860,P863,Edited,Data status,Published value,Retired duplicate record
Properties,V000860,AA863,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000861,P864,Edited,Data status,Not published,Retired duplicate record
Properties,V000861,AA864,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000862,P865,Edited,Data status,Published value,Retired duplicate record
Properties,V000862,AA865,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000863,P866,Edited,Data status,Published value,Retired duplicate record
Properties,V000863,AA866,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000864,P867,Edited,Data status,Published value,Retired duplicate record
Properties,V000864,AA867,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000865,P868,Edited,Data status,Published value,Retired duplicate record
Properties,V000865,AA868,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000866,P869,Edited,Data status,Published value,Retired duplicate record
Properties,V000866,AA869,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000867,P870,Edited,Data status,Published value,Retired duplicate record
Properties,V000867,AA870,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000868,P871,Edited,Data status,Published value,Retired duplicate record
Properties,V000868,AA871,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000869,P872,Edited,Data status,Not published,Retired duplicate record
Properties,V000869,AA872,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000870,P873,Edited,Data status,Published value,Retired duplicate record
Properties,V000870,AA873,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000871,P874,Edited,Data status,Not published,Retired duplicate record
Properties,V000871,AA874,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000872,P875,Edited,Data status,Published value,Retired duplicate record
Properties,V000872,AA875,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000873,P876,Edited,Data status,Not published,Retired duplicate record
Properties,V000873,AA876,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000874,P877,Edited,Data status,Published value,Retired duplicate record
Properties,V000874,AA877,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000875,P878,Edited,Data status,Published value,Retired duplicate record
Properties,V000875,AA878,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000876,P879,Edited,Data status,Published value,Retired duplicate record
Properties,V000876,AA879,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000877,P880,Edited,Data status,Published value,Retired duplicate record
Properties,V000877,AA880,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000878,P881,Edited,Data status,Published value,Retired duplicate record
Properties,V000878,AA881,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000879,P882,Edited,Data status,Published value,Retired duplicate record
Properties,V000879,AA882,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000880,P883,Edited,Data status,Published value,Retired duplicate record
Properties,V000880,AA883,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000881,P884,Edited,Data status,Published value,Retired duplicate record
Properties,V000881,AA884,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V000882,P885,Edited,Data status,Published value,Retired duplicate record
Properties,V000882,AA885,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Use & durability,Q00171,J174,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00172,J175,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00173,J176,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00174,J177,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00175,J178,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00176,J179,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00177,J180,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Grades,G047-02,H64,Edited,Availability,Current official product listing retrieved,Retired mapping; audit trail only
Grades,G047-02,J64,Edited,Selected-grade rationale,Documented commercial formulation; traceable manufacturer evidence,"Retired 2026-09-13: duplicate of G057-02, the same data sheet filed under another material. Every measurement and evidence record has an identical twin under G057-02"
Properties,V000883,P886,Edited,Data status,Published value,Retired duplicate record
Properties,V000883,AA886,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V000884,P887,Edited,Data status,Published value,Retired duplicate record
Properties,V000884,AA887,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V000885,P888,Edited,Data status,Published value,Retired duplicate record
Properties,V000885,AA888,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V000886,P889,Edited,Data status,Published value,Retired duplicate record
Properties,V000886,AA889,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V000887,P890,Edited,Data status,Published value,Retired duplicate record
Properties,V000887,AA890,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V000888,P891,Edited,Data status,Published value,Retired duplicate record
Properties,V000888,AA891,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V000889,P892,Edited,Data status,Published value,Retired duplicate record
Properties,V000889,AA892,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V000890,P893,Edited,Data status,Published value,Retired duplicate record
Properties,V000890,AA893,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Grades,G047-03,H65,Edited,Availability,Not published,Retired mapping; audit trail only
Grades,G047-03,J65,Edited,Selected-grade rationale,Documented commercial formulation; traceable manufacturer evidence,"Retired 2026-09-13: duplicate of G049-01, the same data sheet filed under another material. Every measurement and evidence record has an identical twin under G049-01"
Properties,V000891,P894,Edited,Data status,Published value,Retired duplicate record
Properties,V000891,AA894,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G049-01
Properties,V000892,P895,Edited,Data status,Published value,Retired duplicate record
Properties,V000892,AA895,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G049-01
Properties,V000893,P896,Edited,Data status,Published value,Retired duplicate record
Properties,V000893,AA896,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G049-01
Properties,V000894,P897,Edited,Data status,Published value (transcription corrected),Retired duplicate record
Properties,V000894,AA897,Edited,Notes,"Source says elongation at maximum force, not at break; 4,40% = 4.4%. Dry, 50 mm/min; table heading 23 C / 50% RH. Source SHA256 matched 2026-09-13. SD-01 / SD-02.",Retired 2026-09-13: duplicate of the same record under G049-01
Properties,V000895,P898,Edited,Data status,Published value,Retired duplicate record
Properties,V000895,AA898,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G049-01
Prices CA,CA0098,R101,Edited,Regular price basis,Retailer compare-at price,Quarantined 2026-09-13: duplicate listing of the product under G049-01
Prices CA,CA0098,M101,Edited,Headline sample,1,0
Grades,G061-01,H78,Edited,Availability,Not published,Retired mapping; audit trail only
Grades,G061-01,J78,Edited,Selected-grade rationale,Documented commercial formulation; traceable manufacturer evidence,"Retired 2026-09-13: duplicate of G057-01, the same data sheet filed under another material. Every measurement and evidence record has an identical twin under G057-01"
Properties,V001081,P1084,Edited,Data status,Published value,Retired duplicate record
Properties,V001081,AA1084,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001082,P1085,Edited,Data status,Published value,Retired duplicate record
Properties,V001082,AA1085,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001083,P1086,Edited,Data status,Published value,Retired duplicate record
Properties,V001083,AA1086,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001084,P1087,Edited,Data status,Published value,Retired duplicate record
Properties,V001084,AA1087,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001085,P1088,Edited,Data status,Published value,Retired duplicate record
Properties,V001085,AA1088,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001086,P1089,Edited,Data status,Published value,Retired duplicate record
Properties,V001086,AA1089,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001087,P1090,Edited,Data status,Published value,Retired duplicate record
Properties,V001087,AA1090,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001088,P1091,Edited,Data status,Not published,Retired duplicate record
Properties,V001088,AA1091,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001089,P1092,Edited,Data status,Published value,Retired duplicate record
Properties,V001089,AA1092,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001090,P1093,Edited,Data status,Published value,Retired duplicate record
Properties,V001090,AA1093,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001091,P1094,Edited,Data status,Published value,Retired duplicate record
Properties,V001091,AA1094,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001092,P1095,Edited,Data status,Published value,Retired duplicate record
Properties,V001092,AA1095,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001093,P1096,Edited,Data status,Published value,Retired duplicate record
Properties,V001093,AA1096,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001094,P1097,Edited,Data status,Published value,Retired duplicate record
Properties,V001094,AA1097,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001095,P1098,Edited,Data status,Published value,Retired duplicate record
Properties,V001095,AA1098,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001096,P1099,Edited,Data status,Not published,Retired duplicate record
Properties,V001096,AA1099,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001097,P1100,Edited,Data status,Published value,Retired duplicate record
Properties,V001097,AA1100,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001098,P1101,Edited,Data status,Not published,Retired duplicate record
Properties,V001098,AA1101,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001099,P1102,Edited,Data status,Published value,Retired duplicate record
Properties,V001099,AA1102,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001100,P1103,Edited,Data status,Not published,Retired duplicate record
Properties,V001100,AA1103,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001101,P1104,Edited,Data status,Published value,Retired duplicate record
Properties,V001101,AA1104,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001102,P1105,Edited,Data status,Published value,Retired duplicate record
Properties,V001102,AA1105,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001103,P1106,Edited,Data status,Published value,Retired duplicate record
Properties,V001103,AA1106,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001104,P1107,Edited,Data status,Published value,Retired duplicate record
Properties,V001104,AA1107,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001105,P1108,Edited,Data status,Published value,Retired duplicate record
Properties,V001105,AA1108,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001106,P1109,Edited,Data status,Published value,Retired duplicate record
Properties,V001106,AA1109,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001107,P1110,Edited,Data status,Published value,Retired duplicate record
