sheet,record,cell,action,field,before,after
Sources,R-ESUN-PLA-LITE-PAGE,A228:L228,Added,,,
Sources,R-POLYMAKER-SILK-PLA-PAGE,A229:L229,Added,,,
Sources,R-POLYMAKER-PANCHROMA-TDS-V2-1,A230:L230,Added,,,
Sources,R-POLYMAKER-WIKI-PANCHROMA-COPE,A231:L231,Added,,,
Sources,R-POLYMAKER-COPE-TDS-V5-4,A232:L232,Added,,,
Sources,R-FIBERON-PETGF15-TDS,A233:L233,Added,,,
Sources,R-FIBERON-PETGF15-PAGE,A234:L234,Added,,,
Sources,R-FILLAMENTUM-CPE-HG100-TDS,A235:L235,Added,,,
Sources,R-FILLAMENTUM-CPE-HG100-GUIDE,A236:L236,Added,,,
Sources,R-FILLAMENTUM-CPE-CF112-GUIDE,A237:L237,Added,,,
Sources,R-COLORFABB-NGEN-TDS-V2,A238:L238,Added,,,
Grades,G004-01,A144:M144,Added,,,
Grades,G008-01,A145:M145,Added,,,
Grades,G068-02,A146:M146,Added,,,
Grades,G091-02,A147:M147,Added,,,
Grades,G091-01,J118,Edited,Selected-grade rationale,Documented commercial formulation; traceable manufacturer evidence,"Superseded 2026-09-13. This row duplicates Fillamentum CPE HG100, the CPE grade G089-01, and is not a CoPE identity. Retained as an audit trail; G091-02 is the representative CoPE grade"
Print setup,P0161,A164:AL164,Added,,,
Print setup,P0162,A165:AL165,Added,,,
Print setup,P0163,A166:AL166,Added,,,
Print setup,P0164,A167:AL167,Added,,,
Print setup,P0165,A168:AL168,Added,,,
Print setup,P0166,A169:AL169,Added,,,
Print setup,P0167,A170:AL170,Added,,,
Print setup,P0004,G7,Edited,Chamber °C,Not published,25 - 45 °C
Print setup,P0005,G8,Edited,Chamber °C,Not published,25 - 45 °C
Print setup,P0011,G14,Edited,Chamber °C,Not published,25 - 45 °C
Print setup,P0012,G15,Edited,Chamber °C,Not published,25 - 45 °C
Print setup,P0013,G16,Edited,Chamber °C,Not published,25-45 °C
Print setup,P0015,G18,Edited,Chamber °C,Not published,25 - 45 °C
Print setup,P0024,G27,Edited,Chamber °C,Not published,35 - 50 °C
Print setup,P0025,G28,Edited,Chamber °C,Not published,35 - 50 °C
Print setup,P0027,G30,Edited,Chamber °C,Not published,35 - 50 °C
Print setup,P0044,G47,Edited,Chamber °C,Not published,45 - 60 °C
Print setup,P0063,G66,Edited,Chamber °C,Not published,45 - 60 °C
Print setup,P0089,G92,Edited,Chamber °C,Not published,50 - 80 °C
Print setup,P0093,G96,Edited,Chamber °C,Not published,60 - 90 °C
Print setup,P0100,G103,Edited,Chamber °C,Not published,45-60 °C
Print setup,P0002,G5,Edited,Chamber °C,Not published,Not required (Closure Chamber: No needed)
Print setup,P0055,G58,Edited,Chamber °C,Not published,No setpoint published ('-' in TDS)
Print setup,P0059,G62,Edited,Chamber °C,Not published,No setpoint published ('-' in TDS)
Print setup,P0092,G95,Edited,Chamber °C,Not published,Active heated 60-80 °C (Closed chamber row)
Properties,V001900,A1903:AG1903,Added,,,
Properties,V001901,A1904:AG1904,Added,,,
Properties,V001902,A1905:AG1905,Added,,,
Properties,V001903,A1906:AG1906,Added,,,
Properties,V001904,A1907:AG1907,Added,,,
Properties,V001905,A1908:AG1908,Added,,,
Properties,V001906,A1909:AG1909,Added,,,
Properties,V001907,A1910:AG1910,Added,,,
Properties,V001908,A1911:AG1911,Added,,,
Properties,V001909,A1912:AG1912,Added,,,
Properties,V001910,A1913:AG1913,Added,,,
Properties,V001911,A1914:AG1914,Added,,,
Properties,V001912,A1915:AG1915,Added,,,
Properties,V001913,A1916:AG1916,Added,,,
Properties,V001914,A1917:AG1917,Added,,,
Properties,V001915,A1918:AG1918,Added,,,
Properties,V001916,A1919:AG1919,Added,,,
Properties,V001917,A1920:AG1920,Added,,,
Properties,V001918,A1921:AG1921,Added,,,
Properties,V001919,A1922:AG1922,Added,,,
Properties,V001920,A1923:AG1923,Added,,,
Properties,V001921,A1924:AG1924,Added,,,
Properties,V001922,A1925:AG1925,Added,,,
Properties,V001923,A1926:AG1926,Added,,,
Properties,V001924,A1927:AG1927,Added,,,
Properties,V001925,A1928:AG1928,Added,,,
Properties,V001926,A1929:AG1929,Added,,,
Properties,V001927,A1930:AG1930,Added,,,
Properties,V001928,A1931:AG1931,Added,,,
Properties,V001929,A1932:AG1932,Added,,,
Properties,V001930,A1933:AG1933,Added,,,
