sheet,row,record,column,class,workbook,displayed,now,note
Materials,23,M017,Measurement conditions,text cleanup (m07),Dried before testing (see preparation) / All the specimens were annealed and dried at 55 °C for8 h before testing,Dried before testing (see preparation) / All the specimens were annealed and dried at 55 °C for8 h before testing,Dried before testing (see preparation) / All the specimens were annealed and dried at 55 °C for 8 h before testing,
Materials,45,M039,Environmental evidence,"derived: own environmental records, table order (m05, listed)",Q00149; Q00150; Q00151; Q00152; Q00153; Q00154; Q00297; Q00165; Q00166; Q00167; Q00168; Q00169; Q00170,Q00149; Q00150; Q00151; Q00152; Q00153; Q00154; Q00297; Q00165; Q00166; Q00167; Q00168; Q00169; Q00170,Q00149; Q00150; Q00151; Q00152; Q00153; Q00154; Q00165; Q00166; Q00167; Q00168; Q00169; Q00170; Q00297,
Materials,54,M048,Price CAD/kg,"derived: median rounded to the cent (m03, listed)",124.485,124.48,124.49,
Materials,55,M049,Price CAD/kg,"derived: median rounded to the cent (m03, listed)",162.65333333333334,162.65,162.65,
Materials,57,M051,Environmental evidence,"derived: own environmental records, table order (m05, listed)",Q00447; Q00448; Q00449; Q00450; Q00451; Q00216; Q00217; Q00218; Q00219; Q00220; Q00221,Q00447; Q00448; Q00449; Q00450; Q00451; Q00216; Q00217; Q00218; Q00219; Q00220; Q00221,Q00216; Q00217; Q00218; Q00219; Q00220; Q00221; Q00447; Q00448; Q00449; Q00450; Q00451,
Materials,76,M070,Price CAD/kg,"derived: median rounded to the cent (m03, listed)",254.65333333333334,254.65,254.65,
Materials,79,M073,Price CAD/kg,"derived: median rounded to the cent (m03, listed)",221.32000000000002,221.32,221.32,
Grades,89,G067-01,Composition / filler,text cleanup (m07),Polyethylene terephthalate，carbon fiber,Polyethylene terephthalate，carbon fiber,"Polyethylene terephthalate, carbon fiber",
Grades,136,G031-R1,Source locator,text cleanup (m07),Table 2; §§2.2–2.3,Table 2; §§2.2–2.3,Table 2; §§2.2-2.3,
Grades,137,G035-R1,Source locator,text cleanup (m07),Table 2; §§2.2–2.3,Table 2; §§2.2–2.3,Table 2; §§2.2-2.3,
Grades,138,G052-R1,Source locator,text cleanup (m07),Table 2; §§2.2–2.3,Table 2; §§2.2–2.3,Table 2; §§2.2-2.3,
Grades,139,G094-R1,Source locator,text cleanup (m07),Table 2; §§2.2–2.3,Table 2; §§2.2–2.3,Table 2; §§2.2-2.3,
Print setup,7,P0004,Drying,text cleanup (m07),Blast Drying Oven: 50 °C， 8 h,Blast Drying Oven: 50 °C， 8 h,"Blast Drying Oven: 50 °C, 8 h",
Print setup,8,P0005,Drying,text cleanup (m07),Blast Drying Oven: 50 °C， 8 h,Blast Drying Oven: 50 °C， 8 h,"Blast Drying Oven: 50 °C, 8 h",
Print setup,10,P0007,Chamber °C,text cleanup (m07),25 – 45 °C,25 – 45 °C,25 - 45 °C,
Print setup,10,P0007,Speed,text cleanup (m07),＜ 300 mm/s,＜ 300 mm/s,< 300 mm/s,
Print setup,10,P0007,Support pairing,text cleanup (m07),Support forPLA,Support forPLA,Support for PLA,
Print setup,11,P0008,Speed,text cleanup (m07),＜ 150 mm/s,＜ 150 mm/s,< 150 mm/s,
Print setup,11,P0008,Drying,text cleanup (m07),BlastDrying Oven: 50 °C，8 h,BlastDrying Oven: 50 °C，8 h,"Blast Drying Oven: 50 °C, 8 h",
Print setup,12,P0009,Drying,text cleanup (m07),Blast Drying Oven: 55 °C，8 h,Blast Drying Oven: 55 °C，8 h,"Blast Drying Oven: 55 °C, 8 h",
Print setup,13,P0010,Drying,text cleanup (m07),Blast Drying Oven: 55 °C，8 h,Blast Drying Oven: 55 °C，8 h,"Blast Drying Oven: 55 °C, 8 h",
Print setup,13,P0010,Storage humidity,text cleanup (m07),< 20% RH ( Sealed，with desiccant ),< 20% RH ( Sealed，with desiccant ),"< 20% RH ( Sealed, with desiccant )",
Print setup,14,P0011,Drying,text cleanup (m07),Blast Drying Oven: 55 °C，8 h,Blast Drying Oven: 55 °C，8 h,"Blast Drying Oven: 55 °C, 8 h",
Print setup,18,P0015,Drying,text cleanup (m07),Blast Drying Oven: 55 °C，8 h,Blast Drying Oven: 55 °C，8 h,"Blast Drying Oven: 55 °C, 8 h",
Print setup,20,P0017,Drying,text cleanup (m07),Blast Drying Oven: 55 °C，8 h,Blast Drying Oven: 55 °C，8 h,"Blast Drying Oven: 55 °C, 8 h",
Print setup,21,P0018,Drying,text cleanup (m07),Blast Drying Oven: 55 °C，8 h,Blast Drying Oven: 55 °C，8 h,"Blast Drying Oven: 55 °C, 8 h",
Print setup,25,P0022,Nozzle °C,text cleanup (m07),230 – 240 (℃),230 – 240 (℃),230 - 240 (℃),
Print setup,27,P0024,Speed,text cleanup (m07),＜ 200 mm/s,＜ 200 mm/s,< 200 mm/s,
Print setup,28,P0025,Drying,text cleanup (m07),Blast Drying Oven: 65 °C，8 h,Blast Drying Oven: 65 °C，8 h,"Blast Drying Oven: 65 °C, 8 h",
Print setup,36,P0033,Drying,text cleanup (m07),Blast Drying Oven: 80 °C，8 h,Blast Drying Oven: 80 °C，8 h,"Blast Drying Oven: 80 °C, 8 h",
Print setup,42,P0039,Drying,text cleanup (m07),Blast Drying Oven: 80 °C， 8 h,Blast Drying Oven: 80 °C， 8 h,"Blast Drying Oven: 80 °C, 8 h",
Print setup,43,P0040,Drying,text cleanup (m07),Blast Drying Oven: 80 °C， 8 h,Blast Drying Oven: 80 °C， 8 h,"Blast Drying Oven: 80 °C, 8 h",
Print setup,46,P0043,Speed,text cleanup (m07),＜300 mm/s,＜300 mm/s,<300 mm/s,
Print setup,52,P0049,Nozzle °C,text cleanup (m07),210 – 230 (℃),210 – 230 (℃),210 - 230 (℃),
Print setup,54,P0051,Speed,text cleanup (m07),＜ 250 mm/s,＜ 250 mm/s,< 250 mm/s,
Print setup,58,P0055,Nozzle °C,text cleanup (m07),220–240°C,220–240°C,220-240°C,
Print setup,58,P0055,Bed °C,text cleanup (m07),20–60°C,20–60°C,20-60°C,
Print setup,58,P0055,Speed,text cleanup (m07),20–50 mm/s,20–50 mm/s,20-50 mm/s,
Print setup,58,P0055,Drying,text cleanup (m07),60°C for4–16h hot-air dryer or vacuum oven,60°C for4–16h hot-air dryer or vacuum oven,60°C for4-16h hot-air dryer or vacuum oven,
Print setup,58,P0055,Storage humidity,text cleanup (m07),Keep dry; sealed15–25°C; RH not specified,Keep dry; sealed15–25°C; RH not specified,Keep dry; sealed15-25°C; RH not specified,
Print setup,59,P0056,Nozzle °C,text cleanup (m07),210 – 230 (℃),210 – 230 (℃),210 - 230 (℃),
Print setup,60,P0057,Nozzle °C,text cleanup (m07),230~260 ℃（recommended: 240℃）,230~260 ℃（recommended: 240℃）,230~260 ℃ (recommended: 240℃),
