SourceID,Page,Value,Uncertainty,Unit,Line
S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,3,370,,°C,"D ecomposition temperature TGA, 20°C/min 370 °C"
S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,4,55,,˚C,D rying setting 55˚C for 6h
I-PLA-TDS,1,7,,MPa,"T D 144 ,7 MPa"
I-PLA-TDS,2,2.10,,%, §  2.10%
I-PLA-TDS,2,20,,ºC,20 º C  §  90
B-pla-basic-filament-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 °C)
B-pla-basic-filament-TDS,1,70,,°C,"X1 Series Printer Heatbed: 60 - 70 °C, 12 h"
B-pla-matte-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 °C)
B-pla-matte-TDS,1,70,,°C,"X1 Series Printer Heatbed: 60 - 70 °C, 12 h"
B-pla-basic-gradient-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 ° C )
B-pla-basic-gradient-TDS,2,401980,100,MPa,"Young's Modulus ( Z )  §  7 ,  §  401980 ± 100 MPa"
B-pla-basic-gradient-TDS,2,320.3,1.2,kJ/m,"Impact Strength ( X - Y )  §  ,  §  320.3 ± 1.2 kJ/m²"
B-pla-translucent-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 ° C)
B-pla-translucent-TDS,1,70,,°C,"X1 Series Printer Heatbed: 60 - 70 ° C, 12 h"
B-pla-silk-upgrade-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 ° C )
B-pla-silk-dual-color-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 ° C )
B-pla-metal-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 ° C )
B-pla-marble-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 ° C )
B-pla-marble-TDS,2,12920,180,MPa,"Bending Modulus ( X - Y )  §  ,  §  12920 ± 180 MPa"
B-pla-sparkle-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 °C)
B-pla-wood-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 ° C )
B-pla-galaxy-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 ° C )
B-pla-galaxy-TDS,3,60,,°C,"annealing temperature of models printed with Bambu PLA Galaxy is 50 to 60 ° C, and"
B-pla-glow-TDS,1,90,,°C,Spool Material PC + ABS (Temperature resistance 90 ° C )
B-pla-aero-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 ° C )
B-pla-cf-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 ° C )
B-pla-cf-TDS,3,60,,°C,"annealing temperature of models printed with Bambu PLA - CF is 55 to 60 °C, and the"
S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,3,348.15,,°C,"Decomposition temperature TGA, 20°C/min 348.15°C"
S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,5,12,,%,HT-PLA-GF contains 12% glass fiber in the composition.
I-PLA-Glass-Fiber-Technical-Data-Sheet,1,220,,℃,"Melt Flow Index （ 220 ℃ , 10K g ） g/10min"
S-POLYCN-PolyLite-PETG-TDS-V5-3,2,90,,%,Light t ransmission  §  90%
I-PETG-TDS,1,78171,,MPa, §  78171 MPa
B-petg-basic-TDS,1,80,,°C,"Heatbed: 80 °C, 12 h"
B-petg-hf-TDS,1,85,,°C,"X1 Series Printer Heatbed: 75 - 85 ° C, 12 h"
B-petg-hf-TDS,3,80,,°C,"80 ° C, and the time is 4 to 8 hours. When drying the filament and annealing the prints,"
B-petg-translucent-TDS,1,85,,°C,"X1 Series Printer Heatbed: 75 - 85 °C, 12 h"
I-PETG-Glass-Fiber-Technical-Data-Sheet,1,210,,℃,"Melt Index （ 210 ℃ , 2160g ） g/10min ASTM D-12382-9"
S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,2,280,,°C,"Melt i ndex 280°C, 5 kg 14 g/10min"
S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,3,373,,°C,"D ecomposition temperature TGA, 20°C/min 373 °C"
S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,4,65,,˚C,Drying temperature 65 ( ˚C )
S-SPECTRUM-en-tds-spectrum-petg-esd,1,00,,%,"Elongation at Break 58,00%  § "
S-SPECTRUM-en-tds-spectrum-petg-esd,1,30,,%,"Elongation at Yield 4,30%  § "
I-CF-ABS-TDS,1,7,,MPa,"Te nsile Strength , Break  §  7 MP a 48"
I-CF-ABS-TDS,1,7,,MPa, §  7 MP a 5200
I-ESD-ABS-TDS,1,240,,°C,S urf a c e R esisti v it y Ω/sq 240°C 240°C 240°C 240°C
I-ESD-ABS-TDS,1,240,,°C,S urf a c e R esisti v it y Ω/sq 240°C 240°C 240°C 240°C
I-ESD-ABS-TDS,1,240,,°C,S urf a c e R esisti v it y Ω/sq 240°C 240°C 240°C 240°C
I-ESD-ABS-TDS,1,240,,°C,S urf a c e R esisti v it y Ω/sq 240°C 240°C 240°C 240°C
B-asa-aero-TDS,1,280,,°C,Nozzle Temperature 240 - 280 °C
S-SPECTRUM-en-tds-spectrum-pc-cf,1,10,,%,reinforcement with 10% carbon fiber. This unique
S-SPECTRUM-en-tds-spectrum-pc-cf,1,10,,%,• 10% CF
S-SPECTRUM-en-tds-spectrum-pc-cf,1,2140,,°C,0.45mn/m2140°C  § 
S-SPECTRUM-en-tds-spectrum-pc-cf,1,2129,,°C,1.81mn/m2129°C  § 
I-PC-CF-TDS,1,20,,%,"1. High strength, the strength is more than 20% higher than ordinary PC;"
S-PCGF-TDS-1,1,0.2,,%,Moisture content <0.2 %  § 
S-POLYCN-PolyFlex-TPU95-TDS-V5-1,3,9.4,0.3,MPa,"100% modulus (X - Y)  §  ,  §  9.4 ± 0.3 MPa"
B-tpu-for-ams-TDS,1,90,,°C,Spool Material PC + ABS (Temperature resistance 90 ° C)
B-tpu-for-ams-TDS,1,90,,°C,"X1 Series Printer Heatbed: 80 - 90 ° C, 12 h"
B-tpu-for-ams-TDS,2,1.8,,MPa,Heat Deflection Temperature  §  1.8 MPa N / A
B-tpu-for-ams-TDS,2,0.45,,MPa,Heat Deflection Temperature  §  0.45 MPa N / A
B-tpu-95a-hf-TDS,2,0.45,,MPa,Heat Deflection Temperature  §  0.45 MPa N / A
B-TPU-SOFT-TDS-4,2,1.8,,MPa,Heat Deflection Temperature  §  1.8 MPa N / A
B-TPU-SOFT-TDS-4,2,0.45,,MPa,Heat Deflection Temperature  §  0.45 MPa N / A
B-TPU-SOFT-TDS-5,2,1.8,,MPa,Heat Deflection Temperature  §  1.8 MPa N / A
B-TPU-SOFT-TDS-5,2,0.45,,MPa,Heat Deflection Temperature  §  0.45 MPa N / A
S-POLYCN-PolyFlex-TPU90-TDS-V5-1,2,185,,°C,"Melt i ndex 185 °C, 1.2 kg 6.1 g/10min"
S-POLYCN-PolyFlex-TPU90-TDS-V5-1,3,6.17,0.19,MPa,"100% modulus (X - Y)  §  ,  §  6.17 ± 0.19 MPa"
S-PEBA-PEBA90A-TDS-en,1,120,,℃,Vicat Softening Point （ 120 ℃ ， 10 N ）  §  110 ℃
S-PEBA-PEBA90A-TDS-en,1,407.5,,MPa,Tensile Strength (Z-axis)  §  407.5 MP a
S-PEBA-PEBA90A-TDS-en,1,40150,,%,Elongation at Break (Z-axis)  §  40150 %
S-PEBA-PEBA90A-TDS-en,2,70,,%,Maximum Resilience  §  70 %
S-PEBA-PEBA90A-TDS-en,3,100,,%,Infill Density 100%
S-POLYCN-PolyMide-CoPA-TDS-V5-2,2,260,,°C,"Melt i ndex 260°C, 1.2 kg 12 g/10min"
S-POLYCN-PolyMide-CoPA-TDS-V5-2,3,370,,°C,"D ecomposition temperature TGA, 20°C/min 370 °C"
S-POLYCN-PolyMide-CoPA-TDS-V5-2,5,20,,%,used under dry conditions (relative humidity below 20%).
S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,1,40,,%,"Elongation at max. force (dry, at 50 mm/min) 4,40%  § "
S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,1,160,,°C,Service temperature (max. 200h) 160°C
B-paht-cf-TDS,1,90,,°C,Spool Material PC + ABS ( Temperature resistance 90 °C )
B-paht-cf-TDS,2,411820,170,MPa,"Bending Modulus ( Z )  §  ,  §  411820 ± 170 MPa"
B-paht-cf-TDS,2,04313.3,0.8,kJ/m,Impact Strength (Z)  §  ，  §  04313.3 ± 0.8 kJ/m²
