check,level,severity,materialId,material,gradeId,measurementIds,property,value,expected,sourceId,locator,detail
A1-outside-envelope,measurement,high,M053,PA12-CF,G053-01,V000970,Glass transition temperature,158 °C,18-67,X-CarbonX-CF-PA12-TDS-v1,p. 1: Glass Transition Temperature,"PA12/carbon-fibre; specimen printed, direction unk, moisture not-stated"
A1-outside-envelope,measurement,high,M054,PA12-GF,G054-01,V001013,Glass transition temperature,158 °C,18-67,X-FIBREX-PA12-GF30-TDS-v1-0,p. 1: Glass Transition Temperature,"PA12/glass-fibre; specimen printed, direction unk, moisture not-stated"
A1-outside-envelope,measurement,high,M064,PA-ESD,G064-01,V001206,Glass transition temperature,158 °C,18-92,X-3DXSTAT-ESD-PA12-TDS-v1,p. 1: Glass Transition Temperature,"PA/unfilled+esd; specimen unknown, direction unk, moisture not-stated"
A1-outside-envelope,measurement,medium,M001,PLA,G001-01,V000008,HDT,80 °C,49-66,X-ECOMAX-PLA-TDS-v3,p. 1: Deflection Temperature at 0.45,"PLA/unfilled; specimen printed, direction unk, moisture not-stated"
A1-outside-envelope,measurement,medium,M040,TPU for AMS,G040-01,V000775,Tensile modulus,1.19 GPa,0.0027-0.72,B-tpu-for-ams-TDS,p. 2: Young's Modulus (X-Y),"TPU/unfilled; specimen unknown, direction XY, moisture not-stated; x1.65 beyond"
A1-outside-envelope,measurement,medium,M069,PPA,G069-01,V001287,Melting temperature,246 °C,270-340,S-PPA-TDS,p. 1: Melting Temperature,"PPA/unfilled; specimen unknown, direction unk, moisture not-stated"
A1-outside-envelope,measurement,medium,M071,PPA-GF,G071-01,V001324,Melting temperature,256 °C,270-340,D-IPCON-PPA,p. 1: Melting Temperature,"PPA/glass-fibre; specimen unknown, direction unk, moisture not-stated"
A1-outside-envelope,measurement,low,M021,PETG Basic,G021-01,V000431,Tensile modulus,2.78 GPa,1.1-2.6,B-petg-basic-TDS,p. 2: Young's Modulus (X-Y),"PETG/unfilled; specimen printed, direction XY, moisture not-stated; x1.07 beyond"
A1-outside-envelope,measurement,low,M025,PETG-GF,G025-01,V000505,Density,1260 kg/m³,1280-1550,I-PETG-Glass-Fiber-Technical-Data-Sheet,p. 1: Density,"PETG/glass-fibre; specimen unknown, direction unk, moisture not-stated; x1.02 beyond"
A1-outside-envelope,measurement,low,M026,PETG-ESD,G026-03,V000545,Density,1190 kg/m³,1200-1490,S-SPECTRUM-en-tds-spectrum-petg-esd,p. 1: Density,"PETG/unfilled+esd; specimen unknown, direction unk, moisture not-stated; x1 beyond"
