Column,RawText,Rows,ExampleIDs,MappedValue,Flag,Note
"Moisture condition","Not published",1374,"V000001 V000002 V000003","state=not-stated; estimates kind dry/as-is","inconsistent","Post-processing says dried on V002155 V002156 V002159 but Moisture condition is Not published (siblings use ""Dried before testing"")"
"Moisture condition","Dried before testing (see preparation)",555,"V000042 V000043 V000044","state=dry; estimates kind dry/as-is","ok",""
"Moisture condition","Dry",103,"V000685 V000686 V000687","state=dry; estimates kind dry/as-is","ok",""
"Moisture condition","Wet (conditioning specified in source)",52,"V001068 V001069 V001070","state=conditioned; estimates kind ' wet' (wet offset)","ok",""
"Moisture condition","Conditioned: 70% RH",36,"V000874 V000875 V000876","state=conditioned; estimates kind ' wet' (wet offset)","ok",""
"Moisture condition","Kept dry; TDS recommends drying before printing",33,"V001829 V001830 V001831","state=not-stated; estimates kind dry/as-is","ok","storage/drying guidance, not test state"
"Moisture condition","Keep vacuum sealed; dry at 120 °C for 3-8 h if >200 ppm",25,"V001862 V001863 V001864","state=not-stated; estimates kind dry/as-is","ok","storage/drying guidance, not test state"
"Moisture condition","<20% RH during printing/storage",21,"V001808 V001809 V001810","state=not-stated; estimates kind dry/as-is","ok","storage/drying guidance, not test state"
"Moisture condition","Dry as moulded",10,"V002034 V002035 V002036","state=dry; estimates kind dry/as-is","ok",""
"Moisture condition","Conditioned: water immersion",9,"V000992 V000993 V000994","state=conditioned; estimates kind ' wet' (wet offset)","ok",""
"Moisture condition","Dry (source row); table heading 50% RH",3,"V000894 V000920 V002078","state=dry; estimates kind dry/as-is","suspect","row says dry under a 50% RH heading; declared dry"
"Moisture condition","50% RH",1,"V000419","state=conditioned; estimates kind ' wet' (wet offset)","ok",""
"Direction","Not applicable",781,"V000001 V000007 V000008","compile=not-applicable; estimates class=unk","misuse","19 mechanical rows use Not applicable (evades MEAS-PRINTED-NO-DIRECTION), e.g. V002078 V002085 V002170 V002171 V002172 V002173"
"Direction","XY",696,"V000002 V000003 V000004","compile=XY; estimates class=XY","ok",""
"Direction","Z",391,"V000018 V000020 V000022","compile=Z; estimates class=Z","ok",""
"Direction","Not published",284,"V000016 V000039 V000040","compile=unknown; estimates class=unk","ok",""
"Direction","ZX",29,"V001719 V001722 V001725","compile=ZX; estimates class=Z","ok",""
"Direction","XZ",20,"V001718 V001721 V001724","compile=XZ; estimates class=XY","policy-divergence","compile keeps it apart from XY; estimates.js DIRECTION_CLASS merges it into XY with no conversion"
"Direction","Horizontal (source label)",7,"V001703 V001705 V001707","compile=horizontal-source-label; estimates class=XY","policy-divergence","compile keeps it apart from XY; estimates.js DIRECTION_CLASS merges it into XY with no conversion"
"Direction","Vertical XZ (source label)",7,"V001704 V001706 V001708","compile=vertical-xz-source-label; estimates class=Z","policy-divergence","estimates.js treats as Z while plain XZ is treated as XY"
"Direction","45/45",6,"V001863 V001866 V001869","compile=unknown; estimates class=unk","unmapped-fallthrough","in schema/vocab/directions.csv but missing from direction.js MAP; becomes unknown, drawer says ""direction not stated by the source"""
"Direction","Along flow",1,"V001748","compile=along-flow; estimates class=XY","policy-divergence","compile keeps it apart from XY; estimates.js DIRECTION_CLASS merges it into XY with no conversion"
"Specimen type","Printed specimen",1151,"V000002 V000003 V000004","estimates=printed/unspecified kind; related.printed=true; impliedBounds=used","ok",""
"Specimen type","Not published (do not assume printed)",776,"V000105 V000106 V000107","estimates=printed/unspecified kind; related.printed=false; impliedBounds=used","ok",""
"Specimen type","Not published (density specimen form not explicitly established)",141,"V000001 V000009 V000038","estimates=printed/unspecified kind; related.printed=false; impliedBounds=used","ok",""
"Specimen type","Not published",74,"V001696 V001697 V001698","estimates=printed/unspecified kind; related.printed=false; impliedBounds=used","ok",""
"Specimen type","Raw material value",56,"V000849 V000850 V000851","estimates=moulded kind; related.printed=false; impliedBounds=excluded","ok",""
"Specimen type","Printed specimen; TDS reports N/A",12,"V001817 V001818 V001819","estimates=printed/unspecified kind; related.printed=true; impliedBounds=used","ok","printed=true in related evidence"
"Specimen type","Film specimen (ASTM D882); not a printed or moulded bar",6,"V000039 V000040 V000041","estimates=excluded; related.printed=false; impliedBounds=used","partial","excluded from estimates, but compile impliedBounds/related.intervals still use it (V000039, V002179 bound PLA strength)"
"Specimen type","Printed part / TDS material-property section",4,"V001830 V001831 V001832","estimates=printed/unspecified kind; related.printed=false; impliedBounds=used","ok",""
"Specimen type","Filament",1,"V001700","estimates=printed/unspecified kind; related.printed=false; impliedBounds=used","suspect","filament tensile treated as a printed-part observation in estimates and impliedBounds (V001700)"
"Specimen type","Printed part",1,"V001829","estimates=printed/unspecified kind; related.printed=false; impliedBounds=used","ok",""
"Notch","Not applicable",1969,"V000001 V000002 V000003","passthrough (no mapper; no impact headline)","ok",""
"Notch","Not published",96,"V000027 V000028 V000037","passthrough (no mapper; no impact headline)","ok","notched and unnotched impact values share one property; nothing compares them"
"Notch","Notched",88,"V000061 V000102 V000122","passthrough (no mapper; no impact headline)","ok",""
"Notch","Unnotched",69,"V000060 V000101 V000121","passthrough (no mapper; no impact headline)","ok",""
"Operator","=",2041,"V000001 V000002 V000003","parseOperator==; interval=point/range/uncertainty","ok",""
"Operator","Not applicable",157,"V000016 V000024 V000026","parseOperator=null; interval=point/range/uncertainty","ok","non-numeric rows only"
"Operator",">",16,"V000729 V000779 V000795","parseOperator=>; interval=lo only","ok",""
"Operator","<",8,"V000381 V000509 V000739","parseOperator=<; interval=hi only","ok",""
"Data status","Published value",1898,"V000001 V000002 V000003","{""numeric"":true,""corrected"":false}","ok",""
"Data status","Not published",147,"V000016 V000024 V000026","{""numeric"":false,""missing"":""not-published""}","ok",""
"Data status","Retired duplicate record",147,"V000854 V000855 V000856","{""numeric"":false,""missing"":""quarantined"",""quarantined"":true,""retiredDuplicate"":true}","ok","dropped from db.json before compile"
"Data status","Published value (transcription corrected)",19,"V000039 V000375 V000376","{""numeric"":true,""corrected"":true}","ok",""
"Data status","Published qualitative result",7,"V000419 V001899 V001953","{""numeric"":false,""missing"":""insufficient-comparable"",""qualitative"":true}","ok",""
"Data status","Unresolved unit / layout",4,"V000420 V001540 V002188","{""numeric"":false,""missing"":""quarantined"",""quarantined"":true}","ok",""
"Post-processing","Not published",1367,"V000001 V000002 V000003","unknown","defect-downstream","no mapper: compile and estimates ignore Post-processing; HDT rows V000349 V000350 are averaged in estimates with differently post-processed HDT of the same formulation"
"Post-processing","All the specimens were annealed and dried at 55 °C for 8 h before testing",223,"V000042 V000043 V000044","annealed (text only)","not-mapped","Bambu Lab boilerplate (drying schedule worded as annealing); no as-printed alternative on the same sheet"
"Post-processing","All the specimens were annealed and dried at 80 °C for 12 h before testing",145,"V000546 V000547 V000548","annealed (text only)","not-mapped","Bambu Lab boilerplate (drying schedule worded as annealing); no as-printed alternative on the same sheet"
"Post-processing","All specimens were annealed at 80˚C for 30min and dried for 48h prior to testing",62,"V000854 V000855 V000856","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing"
"Post-processing","All specimens were annealed at 100 °C for 16 h",52,"V001055 V001056 V001057","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing"
"Post-processing","All the specimens were annealed and dried at 65 °C for 8 h before testing",42,"V000463 V000464 V000465","annealed (text only)","not-mapped","Bambu Lab boilerplate (drying schedule worded as annealing); no as-printed alternative on the same sheet"
"Post-processing","All the specimens were not annealed before testing",42,"V001302 V001303 V001304","as printed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing"
"Post-processing","All specimens were annealed at 80 °C for 30 min, and conditioned at 70% relative humidity and ambient temperature for 15 days prior to testing",27,"V000874 V000875 V000876","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing; conditioning also carried by Moisture condition"
"Post-processing","All specimens were annealed at 100 °C for 16 h, and immersed in water at 60 °C for 48 h prior to testing (average moisture content 2.57%)",26,"V001068 V001069 V001070","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing; conditioning also carried by Moisture condition"
"Post-processing","All specimens were annealed at 100 °C for 16 h, and immersed in water at 60 °C for 48 h prior to testing (average moisture content 4.64%)",26,"V001223 V001224 V001225","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing; conditioning also carried by Moisture condition"
"Post-processing","All the specimens were annealed and dried at 55 °C for 8 h ours before testing",21,"V000083 V000084 V000085","annealed (text only)","not-mapped","Bambu Lab boilerplate (drying schedule worded as annealing); no as-printed alternative on the same sheet"
"Post-processing","All the specimens were annealed and dried at 75 °C for 8 h before testing",21,"V000443 V000444 V000445","annealed (text only)","not-mapped","Bambu Lab boilerplate (drying schedule worded as annealing); no as-printed alternative on the same sheet"
"Post-processing","All the specimens were annealed and dried at 80 °C for 12 hours before testing",21,"V000677 V000678 V000679","annealed (text only)","not-mapped","Bambu Lab boilerplate (drying schedule worded as annealing); no as-printed alternative on the same sheet"
"Post-processing","All specimens were annealed at 80˚C for 24h and dried for 48h prior to testing",21,"V000972 V000973 V000974","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing"
"Post-processing","All specimens were annealed at 80˚C for 6h and dried for 48h prior to testing",21,"V001171 V001172 V001173","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing"
"Post-processing","All the specimens were annealed and dried at 70 °C for 12 h before testing",19,"V000784 V000785 V000786","annealed (text only)","not-mapped","Bambu Lab boilerplate (drying schedule worded as annealing); no as-printed alternative on the same sheet"
"Post-processing","As printed",16,"V001930 V001931 V002003","as printed (text only)","defect-downstream","no mapper: compile and estimates ignore Post-processing; HDT rows V001930 V001931 are averaged in estimates with differently post-processed HDT of the same formulation"
"Post-processing","Annealed (per TDS annealed block)",15,"V000351 V000352 V000353","annealed (text only)","defect-downstream","no mapper: compile and estimates ignore Post-processing; HDT rows V000352 V000353 are averaged in estimates with differently post-processed HDT of the same formulation"
"Post-processing","All specimens were annealed at 130 °C for 10 h",13,"V001393 V001394 V001395","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing"
"Post-processing","All specimens were annealed at 120 °C for 16 h (TDS note under the mechanical table)",13,"V001934 V001935 V001936","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing"
"Post-processing","All specimens were annealed at 80 °C for 24 h, and immersed in ambient-temperature water for 3 days prior to testing",9,"V000992 V000993 V000994","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing; conditioning also carried by Moisture condition"
"Post-processing","All specimens were annealed at 80 °C for 6 h, and conditioned at 70% relative humidity and ambient temperature for 15 days prior to testing",9,"V001191 V001192 V001193","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing; conditioning also carried by Moisture condition"
"Post-processing","Unannealed",3,"V001735 V001736 V001737","as printed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing"
"Post-processing","HDT specimens annealed at 130 °C",2,"V001392 V002071","annealed (text only)","defect-downstream","no mapper: compile and estimates ignore Post-processing; HDT rows V001392 V002071 are averaged in estimates with differently post-processed HDT of the same formulation"
"Post-processing","Annealed (schedule not stated beside the HDT row)",2,"V001932 V001933","annealed (text only)","defect-downstream","no mapper: compile and estimates ignore Post-processing; HDT rows V001932 V001933 are averaged in estimates with differently post-processed HDT of the same formulation"
"Post-processing","HDT specimens annealed at 230 °C (deeper coloration)",2,"V002072 V002073","annealed (text only)","defect-downstream","no mapper: compile and estimates ignore Post-processing; HDT rows V002072 V002073 are averaged in estimates with differently post-processed HDT of the same formulation"
"Post-processing","After annealing",2,"V002188 V002189","annealed (text only)","not-mapped","no mapper: compile and estimates ignore Post-processing"
"Standard / load (HDT rows)","ISO 75 1.8 MPa",37,"V000047 V000068 V000088","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75 0.45 MPa",35,"V000048 V000069 V000089","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ISO 75, 0.45 MPa (66 psi)",22,"V000008 V000389 V000517","standard=ISO 75; parser load=0.45; typed=0.45","ok","psi ignored by parser; MPa beside it decides (a psi-only text would read load not stated)"
"Standard / load (HDT rows)","ISO 75 0.45MPa",17,"V000015 V000350 V000353","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ISO 75 1.8MPa",16,"V000014 V000349 V000352","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75",8,"V001501 V001618 V001626","standard=ISO 75; parser load=unstated; typed=Not published","ok",""
"Standard / load (HDT rows)","Deflection",5,"V000773 V000808 V000824","standard=null; parser load=unstated; typed=Not published","ok","no standard recognised"
"Standard / load (HDT rows)","ISO 75, 0.45 MPa",5,"V001326 V001378 V001883","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ASTM D648; 1.82 MPa; 3.2 mm; unannealed",3,"V001735 V001736 V001737","standard=ASTM D648; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75-1/-2, 0.45 MPa",3,"V002029 V002038 V002046","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ISO 75-2, 1.8 MPa",2,"V001830 V002185","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ASTM D648, 0.455 MPa",2,"V001954 V001965","standard=ASTM D648; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ISO 75-1/-2, 1.8 MPa",2,"V002039 V002047","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","D 648",1,"V000544","standard=ASTM D648; parser load=unstated; typed=Not published","ok",""
"Standard / load (HDT rows)","Not published",1,"V000750","standard=null; parser load=unstated; typed=Not published","ok","no standard recognised"
"Standard / load (HDT rows)","ASTM D648, 0.455 MPa load",1,"V000765","standard=ASTM D648; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ASTM D648, 1.82 MPa load",1,"V000766","standard=ASTM D648; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75, 0.45 MPa 103 °C;",1,"V001289","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","Deflection Temperature",1,"V001463","standard=null; parser load=unstated; typed=Not published","ok","no standard recognised"
"Standard / load (HDT rows)","ISO 75-2 method B (0.45 MPa)",1,"V001489","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ASTM D648, 1.8 MPa, unannealed, 3.18 mm",1,"V001674","standard=ASTM D648; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75; 0.45 MPa",1,"V001698","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ISO 75; 1.80 MPa",1,"V001699","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75-f; 1.8 MPa",1,"V001749","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75-2, HDT A",1,"V001762","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75-2, 0.45 MPa",1,"V001831","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ISO 75, 1.8 MPa",1,"V001884","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","Not published (standard and load not stated)",1,"V001902","standard=null; parser load=unstated; typed=Not published","ok","no standard recognised"
"Standard / load (HDT rows)","ASTM D648, 1.82 MPa",1,"V001966","standard=ASTM D648; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ASTM D648 (the row lists both standard loads and one value; load ambiguous)",1,"V001968","standard=ASTM D648; parser load=unstated; typed=Not published","ok",""
