MeasurementID,SourceID,Page,SourceText,RecordedValue,Classification,CorrectValue,Notes
V000349,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,3,Heat deflection temperature ISO 75 1.8MPa 59.7°C (as printed),59.7 °C; 1.8 MPa; Post-processing Not published,mislabelled condition,"59.7 °C, 1.8 MPa, As printed",Value and load correct; state omitted (D-02)
V000350,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,3,Heat deflection temperature ISO 75 0.45MPa 75.5°C (as printed),75.5 °C; 0.45 MPa; Post-processing Not published,mislabelled condition,"75.5 °C, 0.45 MPa, As printed",M019 hdt045 headline; value correct (D-02)
V000352,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,3,Heat deflection temperature ISO 75 1.8MPa 84°C (annealed),84 °C; 1.8 MPa; Annealed (per TDS annealed block),correct,,"p5 recommends annealing 80-100 °C, 20-30 min; schedule of the tested bars not stated"
V000353,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,3,Heat deflection temperature ISO 75 0.45MPa 114.7°C (annealed),114.7 °C; 0.45 MPa; Annealed,correct,,Averaged with V000350 in the estimate model (D-01)
V001930,R-FIBERON-PETGF15-TDS,1,Heat deflection temp. ISO 75 1.8MPa 71.8 (as printed),71.8 °C; 1.8 MPa; As printed,correct,,Source omits the °C on the as-printed rows
V001931,R-FIBERON-PETGF15-TDS,1,Heat deflection temp. ISO 75 0.45MPa 81.6 (as printed),81.6 °C; 0.45 MPa; As printed,correct,,M068 hdt045 headline
V001932,R-FIBERON-PETGF15-TDS,1,ISO 75 1.8MPa 87.3°C (annealed),87.3 °C; 1.8 MPa; Annealed (schedule not stated beside the HDT row),correct,,The sheet's only schedules are '*All specimens were annealed at 120°C for 16h' under the mechanical table and 'Annealing temp. and time 120°C/16H' in print settings
V001933,R-FIBERON-PETGF15-TDS,1,ISO 75 0.45MPa 133.7°C (annealed),133.7 °C; 0.45 MPa; Annealed,correct,,Averaged with V001931 in the estimate model (D-01)
V001392,S-FIBER-PPSGF-TDS-2,1,Heat deflection temp. ISO 75 1.8MPa 125.8 °C / *The HDT test specimens were annealed by 130°C.,125.8 °C; 1.8 MPa; annealed at 130 °C,correct,,
V002071,S-FIBER-PPSGF-TDS-2,1,Heat deflection temp. ISO 75 0.45MPa 236.3 °C,236.3 °C; 0.45 MPa; annealed at 130 °C,correct,,
