MaterialID,Material,H2C status,Headline,MeasurementID,GradeID,Property,Value,Specimen type,Direction,Moisture condition,SourceID,Publisher,Source class,PDF cached by audit:sources,Locator,Already ruled on
M020,PETG,Officially listed family,tensileStrengthXY,V000414,G020-03,Tensile strength (endpoint unspecified),53 MPa,Not published (do not assume printed),unknown,Not published,I-PETG-TDS,iSANMATE,Manufacturer TDS,yes,p. 1: Tensile Strength,m33/D63: the sheet publishes no specimen preparation for its values; its Print Recommendation table is a printing guide
M020,PETG,Officially listed family,tensileStrengthXY,V002183,G020-03,Tensile break strength,19 MPa,Not published (do not assume printed),unknown,Not published,I-PETG-TDS,iSANMATE,Manufacturer TDS,yes,p. 1: Stress at Break,m33/D63: the sheet publishes no specimen preparation for its values; its Print Recommendation table is a printing guide
M026,PETG-ESD,Theoretical,tensileStrengthXY,V000536,G026-03,Tensile yield strength,26 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-petg-esd,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Stress at Yield,no
M026,PETG-ESD,Theoretical,tensileStrengthXY,V000537,G026-03,Tensile break strength,48 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-petg-esd,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Stress at Break,no
M029,ABS-CF,Officially listed family,tensileStrengthXY,V002170,G029-02,Tensile break strength,48 MPa,Not published (do not assume printed),unknown,Not published,I-CF-ABS-TDS,iSANMATE,Manufacturer TDS,yes,"p. 1: Tensile Strength, Break",m33/D63: the sheet publishes no specimen preparation for its values; its Print Recommendation table is a printing guide
M030,ABS-ESD,Theoretical,tensileStrengthXY,V000606,G030-02,Tensile strength (endpoint unspecified),19.38 MPa,Not published (do not assume printed),Z,Not published,I-ESD-ABS-TDS,iSANMATE,Manufacturer TDS,yes,p. 1: Tensile Strength(Z),re-read 2026-09-15 (rereads.csv)
M030,ABS-ESD,Theoretical,tensileStrengthXY,V002186,G030-02,Tensile break strength,34 MPa,Not published (do not assume printed),XY,Not published,I-ESD-ABS-TDS,iSANMATE,Manufacturer TDS,yes,p. 1: Tensile Breaking Strength (X-Y),re-read 2026-09-15 (rereads.csv)
M037,PC-CF,Officially listed family,tensileStrengthXY,V000728,G037-02,Tensile yield strength,76 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-pc-cf,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Strength at Yield*,re-read 2026-09-15 (rereads.csv)
M037,PC-CF,Officially listed family,tensileStrengthXY,V000736,G037-03,Tensile strength (endpoint unspecified),58 MPa,Not published (do not assume printed),unknown,Not published,I-PC-CF-TDS,iSANMATE,Manufacturer TDS,yes,p. 1: Tensile,no
M039,TPU,Officially listed family,tensileStrengthXY,V000756,G039-02,Tensile yield strength,8.6 MPa,Not published (do not assume printed),unknown,Not published,I-TPU-TDS,iSANMATE,Manufacturer TDS,yes,p. 1: Tensile Stress at Yield,m33/D63: the sheet publishes no specimen preparation for its values; its Print Recommendation table is a printing guide
M039,TPU,Officially listed family,tensileStrengthXY,V000757,G039-02,Tensile break strength,39 MPa,Not published (do not assume printed),unknown,Not published,I-TPU-TDS,iSANMATE,Manufacturer TDS,yes,p. 1: Tensile Stress at Break,m33/D63: the sheet publishes no specimen preparation for its values; its Print Recommendation table is a printing guide
M045,PEBA,Theoretical,tensileStrengthXY,V000839,G045-01,Tensile strength (endpoint unspecified),30 MPa,Not published (do not assume printed),unknown,Not published,S-PEBA-PEBA90A-TDS-en,eSUN,Manufacturer TDS,yes,p. 1: Tensile Strength,re-read 2026-09-15 (rereads.csv)
M045,PEBA,Theoretical,tensileStrengthXY,V001892,G045-03,Tensile strength (endpoint unspecified),32.8 MPa,Not published (do not assume printed),unknown,Not published,R-KIMYA-PEBA-S-TDS,Airtech Europe / Kimya,Manufacturer TDS indexed at authorized distributor,yes,Mechanical data: Tensile strength (endpoint unspecified),owner ruling D-07: ISO 37 die-cut dumbbells; direction and specimen stay unstated
M045,PEBA,Theoretical,tensileStrengthXY,V001894,G045-03,Tensile break strength,32.3 MPa,Not published (do not assume printed),unknown,Not published,R-KIMYA-PEBA-S-TDS,Airtech Europe / Kimya,Manufacturer TDS indexed at authorized distributor,yes,Mechanical data: Tensile break strength,owner ruling D-07: ISO 37 die-cut dumbbells; direction and specimen stay unstated
M045,PEBA,Theoretical,tensileStrengthXY,V002331,G045-04,Tensile break strength,36 MPa,Not published (do not assume printed),unknown,Not published,R-FILLAMENTUM-FLEXFILL-PEBA-90A-TDS,Fillamentum Manufacturing Czech,Manufacturer TDS,yes,"p. 1: Tensile strength, at break",no
M049,PA6,Theoretical,elongationXY,V000920,G049-01,Tensile strain at strength,4.4 %,Not published (do not assume printed),unknown,Dry (source row); table heading 50% RH,S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,Spectrum,Manufacturer TDS,yes,"p. 1: Elongation at max. force (dry, at 50 mm/min)",re-read 2026-09-15 (rereads.csv)
M049,PA6,Theoretical,elongationXY,V002342,G049-02,Elongation at break,1.9 %,Not published (do not assume printed),unknown,Not published,R-FORMFUTURA-STYX-PA6-TDS,FormFutura,Manufacturer TDS,no (fetch by hand),"p. 1: Elongation at break (23°C, 50mm/min)",no
M049,PA6,Theoretical,hdt045,V002079,G049-01,HDT,90 °C,Not published (do not assume printed),not-applicable,Not published,S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,Spectrum,Manufacturer TDS,yes,p. 1: Heat distortion temperature (HDT A),re-read 2026-09-15 (rereads.csv)
M049,PA6,Theoretical,tensileStrengthXY,V000919,G049-01,Tensile strength (endpoint unspecified),78 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,Spectrum,Manufacturer TDS,yes,"p. 1: Tensile strength (dry, at 50 mm/min)",re-read 2026-09-15 (rereads.csv)
M049,PA6,Theoretical,tensileStrengthXY,V002341,G049-02,Tensile strength (endpoint unspecified),50 MPa,Not published (do not assume printed),unknown,Not published,R-FORMFUTURA-STYX-PA6-TDS,FormFutura,Manufacturer TDS,no (fetch by hand),"p. 1: Tensile strength (23°C, 50mm/min)",no
M053,PA12-CF,Theoretical,tensileStrengthXY,V001002,G053-03,Tensile break strength,125 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-pa12-cf15,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Stress at Break,no
M064,PA-ESD,Theoretical,elongationXY,V001203,G064-01,Elongation at break,3.8 %,Not published (do not assume printed),unknown,Not published,X-3DXSTAT-ESD-PA12-TDS-v1,3DXTECH,Manufacturer TDS,yes,"p. 1: Tensile Elongation, Break",no
