MaterialID,Material,Publisher,Product,Title,Revision,SourceID to assign,Source exists,GradeID to create,Classes it feeds,Today,Ready,SHA-256 prefix (2026-09-15),URL,Expected reading (check a re-read against it; never enter it)
M027,ABS,Polymaker,PolyLite ABS,PolyLite ABS Technical Data Sheet,V5.3,S-POLYCN-PolyLite-ABS-TDS-V5-3,yes,Not applicable (the grade exists),hdt045; tensileStrengthXY,hdt045: already a case; tensileStrengthXY: already a case,yes,3471ec2c,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyLite_ABS_TDS_V5.3.pdf,"p3 HDT ISO 75 1.8 MPa 98.2 C, 0.45 MPa 99.6 C, Tg DSC 101.1 C; p4 Bending strength (X-Y) 56.2 +/- 0.3 MPa"
M031,ASA,Polymaker,PolyLite ASA,PolyLite ASA Technical Data Sheet,V5.3,S-POLYCN-PolyLite-ASA-TDS-V5-3,yes,Not applicable (the grade exists),hdt045; tensileStrengthXY,hdt045: already a case; tensileStrengthXY: already a case,yes,f51a4df9,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyLite_ASA_TDS_V5.3.pdf,"p3 HDT 1.8 MPa 100.2 C, 0.45 MPa 102.6 C, Tg 97.8 C; p4 Bending strength (X-Y) 60.9 +/- 0.9 MPa"
M035,PC,Polymaker,PolyLite PC,PolyLite PC Technical Data Sheet,V5.3,S-POLYCN-PolyLite-PC-TDS-V5-3,yes,Not applicable (the grade exists),hdt045; tensileStrengthXY,hdt045: would add a case; tensileStrengthXY: already a case,yes,89097c63,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyLite_PC_TDS_V5.3.pdf,"p3 HDT 1.8 MPa 106.6 C, 0.45 MPa 111.2 C, Tg 113.4 C; p4 Bending strength (X-Y) 106.1 +/- 1.6 MPa"
M035,PC,Polymaker,PolyMax PC,PolyMax PC Technical Data Sheet,V5.3,S-POLYCN-PolyMax-PC-TDS-V5-3,no,G035-03,hdt045; tensileStrengthXY,hdt045: would add a case; tensileStrengthXY: already a case,owner decision,8f62ebe0,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyMax_PC_TDS_V5.3.pdf,"p3 HDT 1.8 MPa 99.3 C, 0.45 MPa 114.1 C, Tg 113 C; p4 Bending strength (X-Y) 81.29 +/- 1.53 MPa. Its 14.8 C gap would be an amorphous load-bracket miss (limit about 12.3 C): an alternative to PolyLite PC, not a second PC grade beside it"
M036,PC FR,Polymaker,PolyMax PC-FR,PolyMax PC-FR Technical Data Sheet,V5.1,S-POLYCN-PolyMax-PC-FR-TDS-V5-1,yes,Not applicable (the grade exists),hdt045; tensileStrengthXY,hdt045: already a case; tensileStrengthXY: already a case,yes,2a0902b5,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyMax_PC_FR_TDS_V5.1.pdf,"p3 HDT 1.8 MPa 107 C, 0.45 MPa 110 C, Tg 115 C; p4 Bending strength (X-Y) 96.6 +/- 1.3 MPa"
M067,PET-CF,Polymaker (Fiberon),Fiberon PET-CF17,Fiberon PET-CF17 Technical Data Sheet,V1.0,R-FIBERON-PETCF17-TDS,yes,Not applicable (the grade exists),hdt045; tensileStrengthXY; semi-filled load bracket,hdt045: would add a case; tensileStrengthXY: already a case,yes,640a5ed4,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_FIBERON-PET-CF17_V1.0_EN.pdf,"p1 HDT ISO 75 1.8 MPa 105 C, 0.45 MPa 147.5 C, Tm 241.3 C, Tensile strength (X-Y) 65.9 +/- 1.0 MPa. Bracket gap 42.5 C, likely a miss above the semi-filled limit"
M024,PETG-CF,Polymaker (Fiberon),Fiberon PETG-rCF08,Fiberon PETG-rCF08 Technical Data Sheet,V1.0,R-FIBERON-PETGRCF08-TDS,yes,Not applicable (the grade exists),hdt045; tensileStrengthXY; amorphous load bracket,hdt045: already a case; tensileStrengthXY: already a case,yes,39068040,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_FIBERON-PETG-rCF08_V1.0_EN.pdf,"p1 HDT 1.8 MPa 65.7 C, 0.45 MPa 68.6 C, Tg 69.7 C, Tensile strength (X-Y) 59.8 +/- 0.3 MPa. Recycled carbon fibre: say so in Composition / filler and consider a declared Variant"
M048,PAHT-CF,BASF Forward AM,Ultrafuse PAHT CF15,Ultrafuse PAHT CF15 Technical Data Sheet,v3.5,R-FORWARDAM-PAHT-CF15-TDS-v3-5,no,G048-03,hdt045; tensileStrengthXY; semi-filled load bracket,hdt045: already a case; tensileStrengthXY: already a case,yes,29bce0ad,https://forward-am.com/wp-content/uploads/2024/10/Ultrafuse_PAHT_CF15_TDS_EN_v3.5-1.pdf,"p3 HDT at 1.8 MPa (dry) 92 C, at 0.45 MPa (dry) 145 C, conditioned 91 / 128 C; p4 Tensile strength ISO 527 103.2 MPa and 18.2 MPa, flexural 160.7 / 171.8 / 50.8 MPa. Open question: whether the p3 bars are printed. Dry bracket gap 53 C, likely a miss"
M068,PET-GF,Flashforge,"PET-GF (G068-01, already a grade)",Flashforge PET-GF Filament,Not published,D-FLASH-PETGF,yes,Not applicable (the grade exists),hdt045; tensileStrengthXY,hdt045: would add a case; tensileStrengthXY: would add a case,yes; no new grade,already in sources.csv,https://www.flashforge.com/products/pet-gf,"not re-read by that audit. G068-01 holds no HDT and no strength row; if the page publishes either, it is a case for that class with no new grade or source"
M053,PA12-CF,Stratasys,FDM Nylon-CF10,FDM Nylon-CF10 Material Data Sheet,0724a,R-STRATASYS-FDM-NYLON-CF10-MDS,no,G053-04,semi-filled load bracket,Not applicable,blocked,ccf8e468,https://www.stratasys.com/contentassets/c96fea7533204a7bbfa25e9ee19f9eb6/mds_fdm_nylon-cf10_0724a.pdf,"p4 HDT at 66 psi 58 / 77 C and at 264 psi 52 / 62 C in two orientations, moulded 109 / 105 C. Its base is ""a blended nylon"": whether it is M053 PA12-CF or M050 PA6-CF must be ruled before it can be filed (D57 identity)"
M019,PLA-GF,iSANMATE,"PLA Glass Fiber (G019-02, already a grade)",PLA Glass Fiber Technical Data Sheet,Not published,I-PLA-Glass-Fiber-Technical-Data-Sheet,yes,Not applicable (the grade exists),nothing for certification,Not applicable,no,already in sources.csv,https://www.isanmate.com/wp-content/uploads/2025/08/PLA-Glass-Fiber-Technical-Data-Sheet.pdf,"the untranscribed ""Tensile Streng MPa ISO 46-56"" (D-05). M019 is already a strength case, and the sheet has no thermal row, so this adds no case. Its value is the composition conflict C00003, not certification. Host is robots-disallowed to fetch tools"
