Priority,MaterialID,Material,H2C status,GradeID,Manufacturer,Product,Representative,Composition / filler today,Certification claims today,TDS source,TDS URL,Where the publisher keeps documents
1 - its composition is recorded as a conflict,M019,PLA-GF,Officially listed family,G019-02,iSANMATE,PLA Glass Fiber,no,"Conflict: GF heading, CF description",Not published,I-PLA-Glass-Fiber-Technical-Data-Sheet,https://www.isanmate.com/wp-content/uploads/2025/08/PLA-Glass-Fiber-Technical-Data-Sheet.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
2 - a declared variant whose filler is undisclosed; the estimate model gives it its own covariate,M049,PA6,Theoretical,G049-01,Spectrum,pa6 neat bk,yes,"Not published by the manufacturer. Its 1.25 g/cm³ and 3.4 GPa exceed neat PA6 (1.13-1.15 g/cm³, 2.5-3 GPa dry), so the formulation contains a filler (audit 2026-09-15, B-11).",Not published,S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_pa6_neat_bk.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
2 - a declared variant whose filler is undisclosed; the estimate model gives it its own covariate,M085,PE,Conditional,G085-01,Spectrum,hdpe,no,"Not published by the manufacturer (""Low Warp technology""). Its 1.1 g/cm³ exceeds fully crystalline polyethylene (about 1.00 g/cm³) and its 3.5 GPa modulus is about three times neat HDPE's, so the formulation contains a dense filler.",Not published,S-SPECTRUM-en-tds-spectrum-hdpe,https://spectrumfilaments.com/wp-content/uploads/2025/11/en_tds_spectrum_hdpe.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
2 - a declared variant whose filler is undisclosed; the estimate model gives it its own covariate,M103,PP Lightweight,Theoretical,G103-01,3DXTECH,Hyperlite PP,yes,"Specialty additive for ultra low density; the manufacturer states 0.75 g/cc (""HyperLite PP HGB1"", R-TRINITY3DS-HYPERLITE-PP). A lightweight variant, not unfilled PP.",Not published,X-Hyperlite-PP-TDS-v1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/Hyperlite_PP_TDS_v1.pdf?v=1723942768,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
"3 - representative grade of a material printable today, composition undisclosed",M001,PLA,Officially listed family,G001-01,3DXTECH,ECOMAX PLA,yes,Not published,Not published,X-ECOMAX-PLA-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/ECOMAX_PLA_TDS_v3.pdf?v=1723942765,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
"3 - representative grade of a material printable today, composition undisclosed",M019,PLA-GF,Officially listed family,G019-01,Polymaker,Polymaker HT PLA GF,yes,Not published,Not published,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/Polymaker-HT-PLA-GF_TDS_EN_V1.1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
"3 - representative grade of a material printable today, composition undisclosed",M020,PETG,Officially listed family,G020-01,3DXTECH,3DXPRO LG PETG,yes,Not published,Not published,X-3DXPRO-LG-PETG-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXPRO_LG_PETG_TDS_v3.pdf?v=1723942764,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
"3 - representative grade of a material printable today, composition undisclosed",M029,ABS-CF,Officially listed family,G029-01,3DXTECH,CarbonX CF ABS,yes,Not published,Not published,X-CarbonX-CF-ABS-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/CarbonX_CF_ABS_TDS_v3.pdf?v=1723942765,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
"3 - representative grade of a material printable today, composition undisclosed",M037,PC-CF,Officially listed family,G037-01,3DXTECH,CarbonX CF PC,yes,Not published,Not published,X-CarbonX-CF-PC-TDSv3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/CarbonX_CF_PC_TDSv3.pdf?v=1723942764,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
"3 - representative grade of a material printable today, composition undisclosed",M039,TPU,Officially listed family,G039-01,Polymaker,PolyFlex TPU95,yes,Not published,Not published,S-POLYCN-PolyFlex-TPU95-TDS-V5-1,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyFlex_TPU95_TDS_V5.1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
"3 - representative grade of a material printable today, composition undisclosed",M066,PET,Officially listed family,G066-01,FormFutura,High Precision PET,yes,Not published,Not published,S-PET-TDS,https://www.formfutura.com/web/content/256571?download=true,www.formfutura.com/web/content/<opaque id>?download=true - not constructible; take the link from the product page
"3 - representative grade of a material printable today, composition undisclosed",M071,PPA-GF,Officially listed family,G071-01,IPCON,PPA-GF,yes,Not published,Not published,D-IPCON-PPA,https://www.ipconpolymer.com/wp-content/uploads/2026/03/IPCON-PPA-GF_TDS-Technical-Data-Sheet.pdf,not recorded; start from the product page
"3 - representative grade of a material printable today, composition undisclosed",M072,PPS,Officially listed family,G072-01,3DXTECH,THERMAX PPS,yes,Not published,Not published,X-THERMAX-PPS-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/THERMAX_PPS_TDS_v3.pdf?v=1723942766,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
"3 - representative grade of a material printable today, composition undisclosed",M074,PPS-GF,Officially listed family,G074-01,IPCON,PPS-GF,yes,Not published,Not published,S-PPSGF-TDS-0,https://www.ipconpolymer.com/wp-content/uploads/2026/05/IPCON-PPS-GF_TDS-Technical-Data-Sheet-_V2.0.pdf,not recorded; start from the product page
"3 - representative grade of a material printable today, composition undisclosed",M076,BVOH,Officially listed family,G076-01,BigRep,BVOH,yes,Not published,Not published,S-BVOH,https://bigrep.com/wp-content/uploads/2023/06/TDS-BigRep-BVOH-web.pdf,not recorded; start from the product page
"4 - printable today, composition undisclosed",M001,PLA,Officially listed family,G001-02,Polymaker,PolySonic PLA EN V5 3,no,Not published,Not published,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolySonic-PLA-EN_V5.3-TDS.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
"4 - printable today, composition undisclosed",M001,PLA,Officially listed family,G001-03,iSANMATE,PLA,no,Not published,Not published,I-PLA-TDS,https://www.isanmate.com/wp-content/uploads/2022/09/PLA_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
"4 - printable today, composition undisclosed",M020,PETG,Officially listed family,G020-02,Polymaker,PolyLite PETG,no,Not published,Not published,S-POLYCN-PolyLite-PETG-TDS-V5-3,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyLite_PETG_TDS_V5.3.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
"4 - printable today, composition undisclosed",M020,PETG,Officially listed family,G020-03,iSANMATE,PETG,no,Not published,Not published,I-PETG-TDS,https://www.isanmate.com/wp-content/uploads/2025/08/PETG_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
"4 - printable today, composition undisclosed",M025,PETG-GF,Officially listed family,G025-01,iSANMATE,PETG Glass Fiber,no,Not published,Not published,I-PETG-Glass-Fiber-Technical-Data-Sheet,https://www.isanmate.com/wp-content/uploads/2025/08/PETG-Glass-Fiber-Technical-Data-Sheet.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
"4 - printable today, composition undisclosed",M029,ABS-CF,Officially listed family,G029-02,iSANMATE,CF ABS,no,Not published,Not published,I-CF-ABS-TDS,https://www.isanmate.com/wp-content/uploads/2022/09/CF-ABS_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
"4 - printable today, composition undisclosed",M034,ASA-GF,Officially listed family,G034-01,Spectrum,asax x gf10,no,Not published,Not published,S-SPECTRUM-en-tds-spectrum-asax-x-gf10,https://spectrumfilaments.com/wp-content/uploads/2023/11/en_tds_spectrum_asax_x_gf10.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
"4 - printable today, composition undisclosed",M034,ASA-GF,Officially listed family,G034-02,iSANMATE,ASA Glass Fiber,no,Not published,Not published,I-ASA-Glass-Fiber-Technical-Data-Sheet,https://www.isanmate.com/wp-content/uploads/2025/08/ASA-Glass-Fiber-Technical-Data-Sheet.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
"4 - printable today, composition undisclosed",M037,PC-CF,Officially listed family,G037-02,Spectrum,pc cf,no,Not published,Not published,S-SPECTRUM-en-tds-spectrum-pc-cf,https://spectrumfilaments.com/wp-content/uploads/2024/11/en_tds_spectrum_pc_cf.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
"4 - printable today, composition undisclosed",M037,PC-CF,Officially listed family,G037-03,iSANMATE,PC CF,no,Not published,Not published,I-PC-CF-TDS,https://www.isanmate.com/wp-content/uploads/2024/09/PC-CF_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
"4 - printable today, composition undisclosed",M038,PC-GF,Officially listed family,G038-01,SIDDAMENT,V2 PC-GF,no,Not published,Not published,S-PCGF-TDS-1,https://cdn.shopify.com/s/files/1/0685/9168/1815/files/SIDDAMENT_V2_PC-GF_TDS.pdf?v=1779204053,not recorded; start from the product page
"4 - printable today, composition undisclosed",M039,TPU,Officially listed family,G039-02,iSANMATE,TPU,no,Not published,Not published,I-TPU-TDS,https://www.isanmate.com/wp-content/uploads/2022/09/TPU_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
"4 - printable today, composition undisclosed",M039,TPU,Officially listed family,G039-03,Polymaker,PolyFlex TPU90,no,Not published,Not published,S-POLYCN-PolyFlex-TPU90-TDS-V5-1,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyFlex_TPU90_TDS_V5.1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
"4 - printable today, composition undisclosed",M050,PA6-CF,Official Bambu product,G050-02,iSANMATE,PA6 CF,no,Not published,Not published,I-PA6-CF-TDS,https://www.isanmate.com/wp-content/uploads/2024/09/PA6-CF_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
"4 - printable today, composition undisclosed",M051,PA6-GF,Official Bambu product,G051-02,3DXTECH,AMIDEX Nylon GF30,no,Not published,Not published,X-AMIDEX-Nylon-GF30-TDS-v1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/AMIDEX_Nylon_GF30_TDS_v1.pdf?v=1723942764,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
"4 - printable today, composition undisclosed",M051,PA6-GF,Official Bambu product,G051-03,Polymaker,PolyMide PA6 GF,no,Not published,Not published,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyMide_PA6_GF_TDS_V5.1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
"4 - printable today, composition undisclosed",M072,PPS,Officially listed family,G072-02,Spectrum,pps am230,no,Not published,Not published,S-SPECTRUM-en-tds-spectrum-pps-am230,https://spectrumfilaments.com/wp-content/uploads/2022/10/en_tds_spectrum_pps_am230.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
"4 - printable today, composition undisclosed",M074,PPS-GF,Officially listed family,G074-02,Polymaker,Fiberon PPS-GF20,no,Not published,Not published,S-FIBER-PPSGF-TDS-2,https://cdn.shopify.com/s/files/1/0548/7299/7945/files/TDS_FIBERON_PPS-GF20_V1.1.pdf?v=1752777698,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
5 - composition undisclosed,M004,PLA Lite,Theoretical,G004-01,eSUN,PLA-Lite,yes,Not published,Not published,R-ESUN-PLA-LITE-PAGE,https://www.esun3d.com/epla-lite-product,www.esun3d.com/media/esun/catalog/certification/product/<Product>/... - the folder is already called certification
5 - composition undisclosed,M008,PLA Silk,Theoretical,G008-01,Polymaker,Panchroma Silk PLA,yes,Not published,Not published,R-POLYMAKER-PANCHROMA-TDS-V2-1,https://polymaker.com/wp-content/uploads/Panchroma_TDS_V2.1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
5 - composition undisclosed,M026,PETG-ESD,Theoretical,G026-01,3DXTECH,3DXSTAT ESD PETG,yes,Not published,Not published,X-3DXSTAT-ESD-PETG-TDS-v03,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXSTAT_ESD-PETG-TDS-v03.pdf?v=1723942764,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
