MaterialID,Material,Family,H2C status,Headline grade,Manufacturers today,Other formulations today,In the import backlog,Template verdicts still UNKNOWN,Publishers in this register making this family,What a second product must publish
M068,PET-GF,PET Engineering,Officially listed family,G068-02,Flashforge; Polymaker (Fiberon),1,yes,2,Bambu Lab; FormFutura,"a tensile strength (any endpoint) or a flexural strength, any direction"
M040,TPU for AMS,Flexible Elastomers,Official Bambu product,G040-01,Bambu Lab,0,no,6,BASF Forward AM; DSM; Fillamentum; Kimya / Airtech Europe; Polymaker; Spectrum; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M043,TPU 85A,Flexible Elastomers,Official Bambu product,G043-01,Bambu Lab,0,no,4,BASF Forward AM; DSM; Fillamentum; Kimya / Airtech Europe; Polymaker; Spectrum; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M005,PLA Basic Gradient,PLA,Official Bambu product,G005-01,Bambu Lab,0,no,2,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M022,PETG HF,PETG,Official Bambu product,G022-01,Bambu Lab,0,no,2,3DXTECH; Eryone; Polymaker; Polymaker (Fiberon); Spectrum; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M033,ASA-CF,ASA,Official Bambu product,G033-01,Bambu Lab,0,no,2,Flashforge; IPCON; Polymaker; Spectrum; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M041,TPU 95A HF,Flexible Elastomers,Official Bambu product,G041-01,Bambu Lab,0,no,2,BASF Forward AM; DSM; Fillamentum; Kimya / Airtech Europe; Polymaker; Spectrum; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M042,TPU 90A,Flexible Elastomers,Official Bambu product,G042-01,Bambu Lab,0,no,2,BASF Forward AM; DSM; Fillamentum; Kimya / Airtech Europe; Polymaker; Spectrum; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M070,PPA-CF,High-Performance Engineering,Official Bambu product,G070-01,Bambu Lab,0,no,2,3DXTECH; Essentium / Nexa3D; IPCON; Polymaker; Spectrum,"a tensile strength (any endpoint) or a flexural strength, any direction"
M002,PLA Basic,PLA,Official Bambu product,G002-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M003,PLA Matte,PLA,Official Bambu product,G003-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M006,PLA Tough+,PLA,Official Bambu product,G006-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M007,PLA Translucent,PLA,Official Bambu product,G007-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M009,PLA Silk+,PLA,Official Bambu product,G009-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M010,PLA Silk Dual Color,PLA,Official Bambu product,G010-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M011,PLA Metal,PLA,Official Bambu product,G011-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
