table,record,action,field,before,after
coverage,C00029,Edited,Status,Gap,Superseded
coverage,C00029,Edited,Manufacturer count,1,Not applicable
coverage,C00029,Edited,Finding,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations.","Superseded by C01212 (2026-09-17; was ""Gap""): 1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
coverage,C00030,Edited,Status,Gap,Superseded
coverage,C00030,Edited,Manufacturer count,1,Not applicable
coverage,C00030,Edited,Finding,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations.","Superseded by C01213 (2026-09-17; was ""Gap""): 1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
coverage,C01212,Added,,,
coverage,C01213,Added,,,
grades,G033-02,Added,,,
grades,G028-02,Added,,,
grades,G069-02,Added,,,
grades,G070-02,Added,,,
grades,G070-03,Added,,,
grades,G071-02,Added,,,
grades,G070-04,Added,,,
measurements,V002517,Added,,,
measurements,V002518,Added,,,
measurements,V002519,Added,,,
measurements,V002520,Added,,,
measurements,V002521,Added,,,
measurements,V002522,Added,,,
measurements,V002523,Added,,,
measurements,V002524,Added,,,
measurements,V002525,Added,,,
measurements,V002526,Added,,,
measurements,V002527,Added,,,
measurements,V002528,Added,,,
measurements,V002529,Added,,,
measurements,V002530,Added,,,
measurements,V002531,Added,,,
measurements,V002532,Added,,,
measurements,V002533,Added,,,
measurements,V002534,Added,,,
measurements,V002535,Added,,,
measurements,V002536,Added,,,
measurements,V002537,Added,,,
measurements,V002538,Added,,,
measurements,V002539,Added,,,
measurements,V002540,Added,,,
measurements,V002541,Added,,,
measurements,V002542,Added,,,
measurements,V002543,Added,,,
measurements,V002544,Added,,,
measurements,V002545,Added,,,
measurements,V002546,Added,,,
measurements,V002547,Added,,,
measurements,V002548,Added,,,
measurements,V002549,Added,,,
measurements,V002550,Added,,,
measurements,V002551,Added,,,
measurements,V002552,Added,,,
measurements,V002553,Added,,,
measurements,V002554,Added,,,
measurements,V002555,Added,,,
measurements,V002556,Added,,,
measurements,V002557,Added,,,
measurements,V002558,Added,,,
measurements,V002559,Added,,,
measurements,V002560,Added,,,
measurements,V002561,Added,,,
measurements,V002562,Added,,,
measurements,V002563,Added,,,
measurements,V002564,Added,,,
measurements,V002565,Added,,,
measurements,V002566,Added,,,
measurements,V002567,Added,,,
measurements,V002568,Added,,,
measurements,V002569,Added,,,
measurements,V002570,Added,,,
measurements,V002571,Added,,,
measurements,V002572,Added,,,
measurements,V002573,Added,,,
measurements,V002574,Added,,,
measurements,V002575,Added,,,
measurements,V002576,Added,,,
measurements,V002577,Added,,,
measurements,V002578,Added,,,
measurements,V002579,Added,,,
measurements,V002580,Added,,,
measurements,V002581,Added,,,
measurements,V002582,Added,,,
measurements,V002583,Added,,,
measurements,V002584,Added,,,
measurements,V002585,Added,,,
measurements,V002586,Added,,,
measurements,V002587,Added,,,
measurements,V002588,Added,,,
measurements,V002589,Added,,,
measurements,V002590,Added,,,
measurements,V002591,Added,,,
measurements,V002592,Added,,,
measurements,V002593,Added,,,
measurements,V002594,Added,,,
measurements,V002595,Added,,,
measurements,V002596,Added,,,
measurements,V002597,Added,,,
measurements,V002598,Added,,,
measurements,V002599,Added,,,
measurements,V002600,Added,,,
measurements,V002601,Added,,,
measurements,V002602,Added,,,
measurements,V002603,Added,,,
measurements,V002604,Added,,,
measurements,V002605,Added,,,
measurements,V002606,Added,,,
measurements,V002607,Added,,,
measurements,V002608,Added,,,
measurements,V002609,Added,,,
measurements,V002610,Added,,,
measurements,V002611,Added,,,
measurements,V002612,Added,,,
measurements,V002613,Added,,,
measurements,V002614,Added,,,
measurements,V002615,Added,,,
measurements,V002616,Added,,,
measurements,V002617,Added,,,
measurements,V002618,Added,,,
measurements,V002619,Added,,,
measurements,V002620,Added,,,
measurements,V002621,Added,,,
measurements,V002622,Added,,,
measurements,V002623,Added,,,
measurements,V002624,Added,,,
measurements,V002625,Added,,,
measurements,V002626,Added,,,
measurements,V002627,Added,,,
measurements,V002628,Added,,,
measurements,V002629,Added,,,
measurements,V002630,Added,,,
measurements,V002631,Added,,,
measurements,V002632,Added,,,
measurements,V002633,Added,,,
measurements,V002634,Added,,,
measurements,V002635,Added,,,
measurements,V002636,Added,,,
measurements,V002637,Added,,,
measurements,V002638,Added,,,
measurements,V002639,Added,,,
measurements,V002640,Added,,,
measurements,V002641,Added,,,
measurements,V002642,Added,,,
measurements,V002643,Added,,,
measurements,V002644,Added,,,
measurements,V002645,Added,,,
sources,X-CarbonX-CF-ASA-TDS-v1,Added,,,
sources,D-SIRAYA-Fibreheart-ABS-GF-TDS,Added,,,
sources,D-SIRAYA-Fibreheart-PPA-TDS,Added,,,
sources,D-SIRAYA-Fibreheart-PPA-CF-TDS,Added,,,
sources,D-SIRAYA-Fibreheart-PPA-CF-Core-TDS,Added,,,
sources,D-SIRAYA-Fibreheart-PPA-GF-TDS,Added,,,
sources,D-RAISE3D-Industrial-PPA-CF-TDS-V2-0,Added,,,
