table,record,action,field,before,after
coverage,C00036,Edited,Status,Gap,Superseded
coverage,C00036,Edited,Manufacturer count,1,Not applicable
coverage,C00036,Edited,Finding,"1 distinct manufacturer (iSANMATE) documented against target 3. HyperLite PP is filed as PP Lightweight since 2026-09-15. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations.","Superseded by C01215 (2026-09-18; was ""Gap""): 1 distinct manufacturer (iSANMATE) documented against target 3. HyperLite PP is filed as PP Lightweight since 2026-09-15. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
coverage,C01215,Added,,,
grades,G020-04,Added,,,
grades,G033-03,Added,,,
grades,G082-03,Added,,,
grades,G020-05,Added,,,
grades,G001-04,Added,,,
grades,G024-03,Added,,,
grades,G001-05,Added,,,
grades,G020-06,Added,,,
grades,G051-04,Added,,,
grades,G050-03,Added,,,
measurements,V002646,Added,,,
measurements,V002647,Added,,,
measurements,V002648,Added,,,
measurements,V002649,Added,,,
measurements,V002650,Added,,,
measurements,V002651,Added,,,
measurements,V002652,Added,,,
measurements,V002653,Added,,,
measurements,V002654,Added,,,
measurements,V002655,Added,,,
measurements,V002656,Added,,,
measurements,V002657,Added,,,
measurements,V002658,Added,,,
measurements,V002659,Added,,,
measurements,V002660,Added,,,
measurements,V002661,Added,,,
measurements,V002662,Added,,,
measurements,V002663,Added,,,
measurements,V002664,Added,,,
measurements,V002665,Added,,,
measurements,V002666,Added,,,
measurements,V002667,Added,,,
measurements,V002668,Added,,,
measurements,V002669,Added,,,
measurements,V002670,Added,,,
measurements,V002671,Added,,,
measurements,V002672,Added,,,
measurements,V002673,Added,,,
measurements,V002674,Added,,,
measurements,V002675,Added,,,
measurements,V002676,Added,,,
measurements,V002677,Added,,,
measurements,V002678,Added,,,
measurements,V002679,Added,,,
measurements,V002680,Added,,,
measurements,V002681,Added,,,
measurements,V002682,Added,,,
measurements,V002683,Added,,,
measurements,V002684,Added,,,
measurements,V002685,Added,,,
measurements,V002686,Added,,,
measurements,V002687,Added,,,
measurements,V002688,Added,,,
measurements,V002689,Added,,,
measurements,V002690,Added,,,
measurements,V002691,Added,,,
measurements,V002692,Added,,,
measurements,V002693,Added,,,
measurements,V002694,Added,,,
measurements,V002695,Added,,,
measurements,V002696,Added,,,
measurements,V002697,Added,,,
measurements,V002698,Added,,,
measurements,V002699,Added,,,
measurements,V002700,Added,,,
measurements,V002701,Added,,,
measurements,V002702,Added,,,
measurements,V002703,Added,,,
measurements,V002704,Added,,,
measurements,V002705,Added,,,
measurements,V002706,Added,,,
measurements,V002707,Added,,,
measurements,V002708,Added,,,
measurements,V002709,Added,,,
measurements,V002710,Added,,,
measurements,V002711,Added,,,
measurements,V002712,Added,,,
measurements,V002713,Added,,,
measurements,V002714,Added,,,
measurements,V002715,Added,,,
measurements,V002716,Added,,,
measurements,V002717,Added,,,
measurements,V002718,Added,,,
measurements,V002719,Added,,,
measurements,V002720,Added,,,
measurements,V002721,Added,,,
measurements,V002722,Added,,,
measurements,V002723,Added,,,
measurements,V002724,Added,,,
measurements,V002725,Added,,,
measurements,V002726,Added,,,
measurements,V002727,Added,,,
measurements,V002728,Added,,,
measurements,V002729,Added,,,
measurements,V002730,Added,,,
measurements,V002731,Added,,,
measurements,V002732,Added,,,
profile_notes,P0173 | Cooling,Added,,,
profile_notes,P0173 | Layer height,Added,,,
profile_notes,P0173 | Shell / walls,Added,,,
profile_notes,P0173 | Speed,Added,,,
profile_notes,P0174 | Adhesion / release,Added,,,
profile_notes,P0174 | Cooling,Added,,,
profile_notes,P0175 | Cooling,Added,,,
profile_notes,P0175 | Layer height,Added,,,
profile_notes,P0175 | Shell / walls,Added,,,
profile_notes,P0175 | Speed,Added,,,
profile_notes,P0175 | Adhesion / release,Added,,,
profile_notes,P0176 | Cooling,Added,,,
profile_notes,P0176 | Layer height,Added,,,
profile_notes,P0176 | Shell / walls,Added,,,
profile_notes,P0176 | Speed,Added,,,
profile_notes,P0177 | Cooling,Added,,,
profile_notes,P0177 | Layer height,Added,,,
profile_notes,P0177 | Shell / walls,Added,,,
profile_notes,P0177 | Speed,Added,,,
profile_notes,P0178 | Cooling,Added,,,
profile_notes,P0178 | Layer height,Added,,,
profile_notes,P0178 | Shell / walls,Added,,,
profile_notes,P0178 | Speed,Added,,,
profile_notes,P0179 | Cooling,Added,,,
profile_notes,P0179 | Layer height,Added,,,
profile_notes,P0179 | Shell / walls,Added,,,
profile_notes,P0179 | Speed,Added,,,
profile_notes,P0180 | Cooling,Added,,,
profile_notes,P0180 | Layer height,Added,,,
profile_notes,P0180 | Shell / walls,Added,,,
profile_notes,P0180 | Speed,Added,,,
profile_notes,P0181 | Adhesion / release,Added,,,
profile_notes,P0181 | Cooling,Added,,,
profile_notes,P0182 | Cooling,Added,,,
profile_notes,P0182 | Layer height,Added,,,
profile_notes,P0182 | Shell / walls,Added,,,
profile_notes,P0182 | Speed,Added,,,
profile_notes,P0183 | Cooling,Added,,,
profile_notes,P0183 | Layer height,Added,,,
profile_notes,P0183 | Shell / walls,Added,,,
profile_notes,P0183 | Speed,Added,,,
profiles,P0173,Added,,,
profiles,P0174,Added,,,
profiles,P0175,Added,,,
profiles,P0176,Added,,,
profiles,P0177,Added,,,
profiles,P0178,Added,,,
profiles,P0179,Added,,,
profiles,P0180,Added,,,
profiles,P0181,Added,,,
profiles,P0182,Added,,,
profiles,P0183,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-petg-premium,Added,,,
sources,S-SPECTRUM-en-tds-the-filament-asa-cf,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pp,Added,,,
sources,S-SPECTRUM-en-tds-petg-frv0,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-tough,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-petg-carbon,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-high-speed,Added,,,
sources,S-SPECTRUM-en-tds-the-filament-petg-lite,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pa6-low-warp-gf30,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pa6-low-warp-cf15s,Added,,,
