table,record,action,field,before,after
grades,G114-01,Added,,,
grades,G115-01,Added,,,
grades,G116-01,Added,,,
grades,G107-02,Added,,,
grades,G117-01,Added,,,
grades,G024-05,Added,,,
grades,G035-04,Added,,,
grades,G027-06,Added,,,
grades,G118-01,Added,,,
grades,G001-18,Added,,,
grades,G070-05,Added,,,
grades,G099-03,Added,,,
grades,G119-01,Added,,,
grades,G120-01,Added,,,
grades,G121-01,Added,,,
grades,G035-05,Added,,,
grades,G122-01,Added,,,
grades,G028-03,Added,,,
grades,G031-05,Added,,,
grades,G123-01,Added,,,
grades,G018-04,Added,,,
grades,G124-01,Added,,,
grades,G125-01,Added,,,
grades,G126-01,Added,,,
grades,G123-02,Added,,,
grades,G020-12,Added,,,
grades,G125-02,Added,,,
grades,G127-01,Added,,,
grades,G037-04,Added,,,
grades,G118-02,Added,,,
grades,G128-01,Added,,,
headlines,M114 | density | V003134,Added,,,
headlines,M114 | tensileModulusXY | V003136,Added,,,
headlines,M114 | tensileStrengthXY | V003135,Added,,,
headlines,M114 | hdt045 | V003140,Added,,,
headlines,M115 | density | V003141,Added,,,
headlines,M115 | tensileModulusXY | V003143,Added,,,
headlines,M115 | tensileStrengthXY | V003142,Added,,,
headlines,M115 | elongationXY | V003144,Added,,,
headlines,M115 | hdt045 | V003148,Added,,,
headlines,M116 | density | V003149,Added,,,
headlines,M116 | tensileModulusXY | V003151,Added,,,
headlines,M116 | tensileStrengthXY | V003150,Added,,,
headlines,M116 | elongationXY | V003152,Added,,,
headlines,M116 | hdt045 | V003156,Added,,,
headlines,M117 | density | V003165,Added,,,
headlines,M117 | tensileModulusXY | V003167,Added,,,
headlines,M117 | tensileStrengthXY | V003166,Added,,,
headlines,M117 | elongationXY | V003168,Added,,,
headlines,M117 | hdt045 | V003172,Added,,,
headlines,M118 | density | V003197,Added,,,
headlines,M118 | tensileModulusXY | V003199,Added,,,
headlines,M118 | tensileStrengthXY | V003198,Added,,,
headlines,M118 | elongationXY | V003200,Added,,,
headlines,M118 | hdt045 | V003204,Added,,,
headlines,M119 | density | V003238,Added,,,
headlines,M119 | tensileModulusXY | V003240,Added,,,
headlines,M119 | tensileStrengthXY | V003239,Added,,,
headlines,M119 | elongationXY | V003241,Added,,,
headlines,M119 | hdt045 | V003245,Added,,,
headlines,M120 | density | V003246,Added,,,
headlines,M120 | tensileModulusXY | V003248,Added,,,
headlines,M120 | tensileStrengthXY | V003247,Added,,,
headlines,M120 | elongationXY | V003249,Added,,,
headlines,M120 | hdt045 | V003253,Added,,,
headlines,M121 | density | V003254,Added,,,
headlines,M121 | tensileModulusXY | V003256,Added,,,
headlines,M121 | tensileStrengthXY | V003255,Added,,,
headlines,M121 | elongationXY | V003257,Added,,,
headlines,M121 | hdt045 | V003261,Added,,,
headlines,M122 | density | V003270,Added,,,
headlines,M122 | tensileModulusXY | V003272,Added,,,
headlines,M122 | tensileStrengthXY | V003271,Added,,,
headlines,M122 | elongationXY | V003273,Added,,,
headlines,M122 | hdt045 | V003278,Added,,,
headlines,M123 | density | V003295,Added,,,
headlines,M123 | tensileModulusXY | V003297,Added,,,
headlines,M123 | tensileStrengthXY | V003296,Added,,,
headlines,M123 | elongationXY | V003298,Added,,,
headlines,M124 | density | V003310,Added,,,
headlines,M124 | tensileModulusXY | V003312,Added,,,
headlines,M124 | tensileStrengthXY | V003311,Added,,,
headlines,M124 | elongationXY | V003313,Added,,,
headlines,M124 | hdt045 | V003317,Added,,,
headlines,M125 | density | V003318,Added,,,
headlines,M125 | tensileModulusXY | V003320,Added,,,
headlines,M125 | tensileStrengthXY | V003319,Added,,,
headlines,M125 | elongationXY | V003321,Added,,,
headlines,M125 | hdt045 | V003325,Added,,,
headlines,M126 | density | V003326,Added,,,
headlines,M126 | tensileStrengthXY | V003327,Added,,,
headlines,M127 | density | V003353,Added,,,
headlines,M127 | tensileModulusXY | V003355,Added,,,
headlines,M127 | tensileStrengthXY | V003354,Added,,,
headlines,M127 | elongationXY | V003356,Added,,,
headlines,M127 | hdt045 | V003360,Added,,,
headlines,M128 | density | V003377,Added,,,
headlines,M128 | tensileModulusXY | V003379,Added,,,
headlines,M128 | tensileStrengthXY | V003378,Added,,,
headlines,M128 | elongationXY | V003380,Added,,,
headlines,M128 | hdt045 | V003384,Added,,,
materials,M114,Added,,,
materials,M115,Added,,,
materials,M116,Added,,,
materials,M117,Added,,,
materials,M118,Added,,,
materials,M119,Added,,,
materials,M120,Added,,,
materials,M121,Added,,,
materials,M122,Added,,,
materials,M123,Added,,,
materials,M124,Added,,,
materials,M125,Added,,,
materials,M126,Added,,,
materials,M127,Added,,,
materials,M128,Added,,,
measurements,V002766,Edited,SourceID,S-SPECTRUM-en-tds-spectrum-pp,S-SPECTRUM-en-tds-spectrum-pp-42aa71
measurements,V002766,Edited,Notes,"Added 2026-09-18 (m54-batch-b02-spectrum): re-read from the source document, page 1 (SHA-256 recorded in sources.csv).","Added 2026-09-18 (m54-batch-b02-spectrum): re-read from the source document, page 1 (SHA-256 recorded in sources.csv). Re-attributed 2026-09-18 (m55): read from the 2025 edition of the sheet, which is a different document from the 2022 edition it was recorded against."
measurements,V002767,Edited,SourceID,S-SPECTRUM-en-tds-spectrum-pp,S-SPECTRUM-en-tds-spectrum-pp-42aa71
