Verdict,Note,By,MeasurementID,batch,Manufacturer,Product,Property,Direction,Raw value,Normalized value,Standard / load,Locator,SourceID,URL,Document,Page images
agree,,claude-second-read,V003277,b03-3dxtech,3DXTECH,CarbonX Carbon Fiber PEKK-A CF15,Melting temperature,Not applicable,305 °C,305 °C,Tm DSC °C,p. 1: Melt Temperature (Tm) DSC °C,X-ECOMAX-CarbonX-CF15-PEKK-A-TDS-v1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/CarbonX_CF15_PEKK-A__TDS_v1.pdf?v=1723942767,.cache/sources/by-sha/95c7cf8931daf69c32185347f27a7e99d448023c08fc7751568972d137d761fc.pdf,
disagrees: standard,"Value 105 C is right, but Standards and Standard / load both read ""Not published"". The sheet names the method in its Standard column: the label wraps, and the value line itself is ""DSC C 105"" under the heading ""Glass Transition Temperature ... (Tg)"". The repo vocabulary has DSC for exactly this (""Differential scanning calorimetry, where the source names the method but no standard"") and the Melt Temperature rows of the same maker record it (V003277, V003237). The Tg rows dropped it where the label wrapped across three lines.",claude-second-read,V003285,b03-3dxtech,3DXTECH,FibreX ABS+GF10 Glass Fiber ABS,Glass transition temperature,Not applicable,105 °C,105 °C,Not published,p. 1: Glass Transition Temperature DSC °C,X-ECOMAX-FIBREX-GF-ABS-TDS-v1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/FIBREX_GF_ABS__TDS_v1.pdf?v=1723942769,.cache/sources/by-sha/97850d64956747aef50df561c07c9ac2db17b54f3b25f7254ae7081c72e33008.pdf,
agree,,claude-second-read,V003312,b03-3dxtech,3DXTECH,3DXSTAT ESD-PPS,Tensile modulus,XY,2600 MPa,2.6 GPa,527 MPa ISO 527,p. 1: Tensile Modulus ISO 527 MPa,X-ECOMAX-3DXSTAT-ESD-PPS-v3-TDS,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXSTAT_ESD_PPS_v3_TDS.pdf?v=1723942764,.cache/sources/by-sha/a3d92ff529ac45331c3b5a4a30160ef10a34e51136028e1f1836e79d1290e734.pdf,
agree,,claude-second-read,V003354,b03-3dxtech,3DXTECH,ThermaX PEEK GF20,Tensile break strength,XY,105 MPa,105 MPa,527 MPa ISO 527,"p. 1: Tensile Strength, Break ISO 527 MPa",X-ECOMAX-FIBREX-GF20-PEEK-v2,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/FIBREX_GF20_PEEK_v2.pdf?v=1723992647,.cache/sources/by-sha/c34379d4a230f9cff1406d2f5057c39702b76b055cc1131f27fb3ddf21921171.pdf,
agree,,claude-second-read,V003201,b03-3dxtech,3DXTECH,CarbonX Carbon Fiber Ultem PEI,Flexural strength,XY,120 MPa,120 MPa,178 MPa ISO 178,p. 1: Flexural Strength ISO 178 MPa,X-ECOMAX-CarbonX-CF-Ultem-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/CarbonX_CF_Ultem_TDS_v3.pdf?v=1723942765,.cache/sources/by-sha/327cd1dcf0940332a919702a85bdafbdd16d4be3bdbe2ad73e863f5b912f2c48.pdf,
agree,,claude-second-read,V003340,b03-3dxtech,3DXTECH,3DXMAX PETG,Elongation at break,XY,24 %,24 %,ISO 527,"p. 1: Tensile Elongation, Break ISO 527 %",X-ECOMAX-3DXMAX-PETG-TDS,https://irp.cdn-website.com/8ecbc4ef/files/uploaded/3DXMAX%E2%84%A2%20PETG%20TDS.pdf,.cache/sources/by-sha/b26ae8cf6ec7600c8f0889380c704b94639904aa6b6750552cd95cab77b6b4b6.pdf,
agree,,claude-second-read,V003255,b03-3dxtech,3DXTECH,ThermaX TPI,Tensile strength (endpoint unspecified),XY,74 MPa,74 MPa,527 MPa ISO 527,p. 1: Tensile Strength ISO 527 MPa,X-ECOMAX-Thermax-TPI-TDS-TDS-v1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/Thermax_TPI_TDS_TDS_v1.pdf?v=1723942769,.cache/sources/by-sha/81346563c3d6978496b3fada42f0eec8e8a504d75359a377215566a607e53fc3.pdf,
agree,,claude-second-read,V003327,b03-3dxtech,3DXTECH,3DXSTAT ESD-TPU (90A),Tensile yield strength,XY,12 MPa,12 MPa,527 MPa ISO 527,"p. 1: Tensile Strength, Yield ISO 527 MPa",X-ECOMAX-3DXSTAT-ESD-TPU-90A-TDS-v1-1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXSTAT_ESD_TPU_90A_TDS_v1.1.pdf?v=1723942769,.cache/sources/by-sha/b11d73da3a22a3f4abe846fa1b69b27310a04c115edd8513653bc45c6b362c90.pdf,
disagrees: condition,"Value 205 C and ISO 75 are right, but the row records Test temperature ""0.45C"". The sheet prints ""Deflection Temperature at 0.45 MPa (66psi) | ISO 75 | C | 205"": 0.45 MPa is the flexural load, not a temperature, and the sheet publishes no test temperature. Test load MPa=0.45 already carries the load; Standard / load reads ""0.45 C ISO 75"", which is the same confusion.",claude-second-read,V003204,b03-3dxtech,3DXTECH,CarbonX Carbon Fiber Ultem PEI,HDT,Not applicable,205 °C,205 °C,0.45 °C ISO 75,p. 1: Deflection Temperature at 0.45 ISO 75 °C,X-ECOMAX-CarbonX-CF-Ultem-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/CarbonX_CF_Ultem_TDS_v3.pdf?v=1723942765,.cache/sources/by-sha/327cd1dcf0940332a919702a85bdafbdd16d4be3bdbe2ad73e863f5b912f2c48.pdf,
agree,,claude-second-read,V003267,b03-3dxtech,3DXTECH,3DXMAX Polycarbonate,Flexural modulus,XY,2200 MPa,2.2 GPa,178 MPa ISO 178,p. 1: Flexural Modulus ISO 178 MPa,X-ECOMAX-3DXMAX-PC-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXMAX_PC_TDS_v3.pdf?v=1723942764,.cache/sources/by-sha/93f7e546dbcbac6175892f90db4890289888a469d659c47bb83c35e48b286ed0.pdf,
