table,record,action,field,before,after
grades,G001-19,Added,,,
grades,G020-13,Added,,,
grades,G018-05,Added,,,
grades,G039-10,Added,,,
grades,G035-06,Added,,,
grades,G031-06,Added,,,
grades,G001-20,Added,,,
grades,G027-07,Added,,,
grades,G039-11,Added,,,
grades,G027-08,Added,,,
grades,G001-21,Added,,,
grades,G017-03,Added,,,
grades,G001-22,Added,,,
grades,G035-07,Added,,,
grades,G001-23,Added,,,
grades,G017-04,Added,,,
grades,G001-24,Added,,,
grades,G039-12,Added,,,
grades,G020-14,Added,,,
grades,G020-15,Added,,,
grades,G057-03,Added,,,
grades,G001-25,Added,,,
grades,G039-13,Added,,,
grades,G001-26,Added,,,
grades,G001-27,Added,,,
grades,G027-09,Added,,,
grades,G001-28,Added,,,
grades,G035-08,Added,,,
grades,G035-09,Added,,,
grades,G001-29,Added,,,
grades,G001-30,Added,,,
grades,G035-10,Added,,,
grades,G018-06,Added,,,
grades,G027-10,Added,,,
grades,G020-16,Added,,,
measurements,V003385,Added,,,
measurements,V003386,Added,,,
measurements,V003387,Added,,,
measurements,V003388,Added,,,
measurements,V003389,Added,,,
measurements,V003390,Added,,,
measurements,V003391,Added,,,
measurements,V003392,Added,,,
measurements,V003393,Added,,,
measurements,V003394,Added,,,
measurements,V003395,Added,,,
measurements,V003396,Added,,,
measurements,V003397,Added,,,
measurements,V003398,Added,,,
measurements,V003399,Added,,,
measurements,V003400,Added,,,
measurements,V003401,Added,,,
measurements,V003402,Added,,,
measurements,V003403,Added,,,
measurements,V003404,Added,,,
measurements,V003405,Added,,,
measurements,V003406,Added,,,
measurements,V003407,Added,,,
measurements,V003408,Added,,,
measurements,V003409,Added,,,
measurements,V003410,Added,,,
measurements,V003411,Added,,,
measurements,V003412,Added,,,
measurements,V003413,Added,,,
measurements,V003414,Added,,,
measurements,V003415,Added,,,
measurements,V003416,Added,,,
measurements,V003417,Added,,,
measurements,V003418,Added,,,
measurements,V003419,Added,,,
measurements,V003420,Added,,,
measurements,V003421,Added,,,
measurements,V003422,Added,,,
measurements,V003423,Added,,,
measurements,V003424,Added,,,
measurements,V003425,Added,,,
measurements,V003426,Added,,,
measurements,V003427,Added,,,
measurements,V003428,Added,,,
measurements,V003429,Added,,,
measurements,V003430,Added,,,
measurements,V003431,Added,,,
measurements,V003432,Added,,,
measurements,V003433,Added,,,
measurements,V003434,Added,,,
measurements,V003435,Added,,,
measurements,V003436,Added,,,
measurements,V003437,Added,,,
measurements,V003438,Added,,,
measurements,V003439,Added,,,
measurements,V003440,Added,,,
measurements,V003441,Added,,,
measurements,V003442,Added,,,
measurements,V003443,Added,,,
measurements,V003444,Added,,,
measurements,V003445,Added,,,
measurements,V003446,Added,,,
measurements,V003447,Added,,,
measurements,V003448,Added,,,
measurements,V003449,Added,,,
measurements,V003450,Added,,,
measurements,V003451,Added,,,
measurements,V003452,Added,,,
measurements,V003453,Added,,,
measurements,V003454,Added,,,
measurements,V003455,Added,,,
measurements,V003456,Added,,,
measurements,V003457,Added,,,
measurements,V003458,Added,,,
measurements,V003459,Added,,,
measurements,V003460,Added,,,
measurements,V003461,Added,,,
measurements,V003462,Added,,,
measurements,V003463,Added,,,
measurements,V003464,Added,,,
measurements,V003465,Added,,,
measurements,V003466,Added,,,
measurements,V003467,Added,,,
measurements,V003468,Added,,,
measurements,V003469,Added,,,
measurements,V003470,Added,,,
measurements,V003471,Added,,,
measurements,V003472,Added,,,
measurements,V003473,Added,,,
measurements,V003474,Added,,,
measurements,V003475,Added,,,
measurements,V003476,Added,,,
measurements,V003477,Added,,,
measurements,V003478,Added,,,
measurements,V003479,Added,,,
measurements,V003480,Added,,,
measurements,V003481,Added,,,
measurements,V003482,Added,,,
measurements,V003483,Added,,,
measurements,V003484,Added,,,
measurements,V003485,Added,,,
measurements,V003486,Added,,,
measurements,V003487,Added,,,
measurements,V003488,Added,,,
measurements,V003489,Added,,,
measurements,V003490,Added,,,
measurements,V003491,Added,,,
measurements,V003492,Added,,,
measurements,V003493,Added,,,
measurements,V003494,Added,,,
measurements,V003495,Added,,,
measurements,V003496,Added,,,
measurements,V003497,Added,,,
measurements,V003498,Added,,,
measurements,V003499,Added,,,
measurements,V003500,Added,,,
measurements,V003501,Added,,,
measurements,V003502,Added,,,
measurements,V003503,Added,,,
measurements,V003504,Added,,,
measurements,V003505,Added,,,
measurements,V003506,Added,,,
measurements,V003507,Added,,,
measurements,V003508,Added,,,
measurements,V003509,Added,,,
measurements,V003510,Added,,,
measurements,V003511,Added,,,
measurements,V003512,Added,,,
measurements,V003513,Added,,,
measurements,V003514,Added,,,
measurements,V003515,Added,,,
measurements,V003516,Added,,,
measurements,V003517,Added,,,
measurements,V003518,Added,,,
measurements,V003519,Added,,,
measurements,V003520,Added,,,
measurements,V003521,Added,,,
measurements,V003522,Added,,,
measurements,V003523,Added,,,
measurements,V003524,Added,,,
measurements,V003525,Added,,,
measurements,V003526,Added,,,
measurements,V003527,Added,,,
measurements,V003528,Added,,,
measurements,V003529,Added,,,
measurements,V003530,Added,,,
measurements,V003531,Added,,,
measurements,V003532,Added,,,
measurements,V003533,Added,,,
measurements,V003534,Added,,,
measurements,V003535,Added,,,
measurements,V003536,Added,,,
measurements,V003537,Added,,,
measurements,V003538,Added,,,
measurements,V003539,Added,,,
measurements,V003540,Added,,,
measurements,V003541,Added,,,
measurements,V003542,Added,,,
measurements,V003543,Added,,,
measurements,V003544,Added,,,
measurements,V003545,Added,,,
measurements,V003546,Added,,,
measurements,V003547,Added,,,
measurements,V003548,Added,,,
measurements,V003549,Added,,,
measurements,V003550,Added,,,
measurements,V003551,Added,,,
measurements,V003552,Added,,,
measurements,V003553,Added,,,
measurements,V003554,Added,,,
measurements,V003555,Added,,,
measurements,V003556,Added,,,
measurements,V003557,Added,,,
measurements,V003558,Added,,,
measurements,V003559,Added,,,
measurements,V003560,Added,,,
measurements,V003561,Added,,,
measurements,V003562,Added,,,
measurements,V003563,Added,,,
measurements,V003564,Added,,,
measurements,V003565,Added,,,
measurements,V003566,Added,,,
measurements,V003567,Added,,,
measurements,V003568,Added,,,
measurements,V003569,Added,,,
measurements,V003570,Added,,,
measurements,V003571,Added,,,
measurements,V003572,Added,,,
measurements,V003573,Added,,,
measurements,V003574,Added,,,
measurements,V003575,Added,,,
measurements,V003576,Added,,,
measurements,V003577,Added,,,
measurements,V003578,Added,,,
measurements,V003579,Added,,,
measurements,V003580,Added,,,
measurements,V003581,Added,,,
measurements,V003582,Added,,,
measurements,V003583,Added,,,
measurements,V003584,Added,,,
measurements,V003585,Added,,,
measurements,V003586,Added,,,
measurements,V003587,Added,,,
measurements,V003588,Added,,,
measurements,V003589,Added,,,
measurements,V003590,Added,,,
measurements,V003591,Added,,,
measurements,V003592,Added,,,
measurements,V003593,Added,,,
measurements,V003594,Added,,,
measurements,V003595,Added,,,
measurements,V003596,Added,,,
measurements,V003597,Added,,,
measurements,V003598,Added,,,
measurements,V003599,Added,,,
measurements,V003600,Added,,,
measurements,V003601,Added,,,
measurements,V003602,Added,,,
measurements,V003603,Added,,,
measurements,V003604,Added,,,
measurements,V003605,Added,,,
measurements,V003606,Added,,,
measurements,V003607,Added,,,
measurements,V003608,Added,,,
measurements,V003609,Added,,,
measurements,V003610,Added,,,
measurements,V003611,Added,,,
measurements,V003612,Added,,,
measurements,V003613,Added,,,
measurements,V003614,Added,,,
measurements,V003615,Added,,,
measurements,V003616,Added,,,
measurements,V003617,Added,,,
measurements,V003618,Added,,,
measurements,V003619,Added,,,
measurements,V003620,Added,,,
measurements,V003621,Added,,,
measurements,V003622,Added,,,
measurements,V003623,Added,,,
measurements,V003624,Added,,,
measurements,V003625,Added,,,
measurements,V003626,Added,,,
measurements,V003627,Added,,,
measurements,V003628,Added,,,
measurements,V003629,Added,,,
measurements,V003630,Added,,,
measurements,V003631,Added,,,
measurements,V003632,Added,,,
measurements,V003633,Added,,,
measurements,V003634,Added,,,
measurements,V003635,Added,,,
measurements,V003636,Added,,,
measurements,V003637,Added,,,
measurements,V003638,Added,,,
measurements,V003639,Added,,,
measurements,V003640,Added,,,
measurements,V003641,Added,,,
measurements,V003642,Added,,,
measurements,V003643,Added,,,
measurements,V003644,Added,,,
measurements,V003645,Added,,,
measurements,V003646,Added,,,
measurements,V003647,Added,,,
