Verdict,Note,By,MeasurementID,batch,Manufacturer,Product,Property,Direction,Raw value,Normalized value,Standard / load,Locator,SourceID,URL,Document,Page images
,,,V003695,b04-polymaker,Polymaker,PolyLite PC,Melt mass-flow rate,Not applicable,8-11 g/10min,8 g/10 min,260°C 2.16kg,"p. 2: Melt index 260°C, 2.16kg",S-POLYCN-PolyLite-PC-TDS-V5-1,https://3d.nice-cdn.com/upload/file/PolyLite_PC_TDS_V5.1.pdf,.cache/sources/by-sha/819ca676a2a6fd349ea05d0ab92da14e1a817d8c977ad93ea322890b08e9673e.pdf,
,,,V003389,b04-polymaker,Polymaker,PolyLite PLA,Melting temperature,Not applicable,150 °C,150 °C,Not published,"p. 3: Melting temperature DSC, 10°C/min",S-POLYCN-PolyLite-PLA-TDS-V5-1-7,https://3d.nice-cdn.com/upload/file/PolyLite_PLA_TDS_V5.1[7].pdf,.cache/sources/by-sha/0678205d8447934333627472db8a91b236d0eacfa63dd168af73ad1567889b31.pdf,
,,,V003788,b04-polymaker,Polymaker,Polymaker PolyMide CoPA,Density,Not applicable,1.12 g/cm3,1120 kg/m³,1183 ISO1183 GB/T 1033,"p. 1: Density ISO1183, GB/T 1033",S-POLYCN-TDS-Polymaker-PolyMide-CoPA-V5-5-2026-01-06-EN,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_Polymaker_PolyMide-CoPA_V5.5_2026-01-06_EN.pdf,.cache/sources/by-sha/a2c0fe021d78962edf1e4b4e5663327460e4240daaaf56625fda54200c210d50.pdf,
,,,V003623,b04-polymaker,Polymaker,Polymaker PC ABS,Glass transition temperature,Not applicable,109 °C,109 °C,Not published,"p. 1: Glass transition temp. DSC, 10°C/min",S-POLYCN-TDS-Polymaker-PC-ABS-V5-5-2025-12-10-EN,https://polymaker.com/wp-content/uploads/TDS_Polymaker_PC-ABS_V5.5_2025-12-10_EN.pdf,.cache/sources/by-sha/52f3461ce47745d5ee0d90368977fcfc2087afccc3bae6205223f4cde0db24d5.pdf,
,,,V003766,b04-polymaker,Polymaker,PolyMide CoPA,Crystallization temperature,Not applicable,128 °C,128 °C,Not published,"p. 6: Crystallization temperature DSC, 10 °C/min",S-POLYCN-PolyMide-CoPA-PIS-EN,https://3d.nice-cdn.com/upload/file/PolyMide_CoPA_PIS_EN.pdf,.cache/sources/by-sha/a0a8fefbbfb85a25f8651d189a6ca47307328a91368de743956ed93c751c370b.pdf,
,,,V003896,b04-polymaker,Polymaker,Polymaker PC Max,Moisture content,Not applicable,0.1 %,0.1 %,Not published,p. 1: Moisture content (%) Thermogravimetric,S-POLYCN-Polymaker-PC-Max-TDS-v1-0,https://3d.nice-cdn.com/upload/file/Polymaker-PC-Max_TDS-v1.0.pdf,.cache/sources/by-sha/cdc310fbb5fb150d315faa112f82b9794107a748b4c0babf0f5cfccc27e6d6fe.pdf,
,,,V003590,b04-polymaker,Polymaker,Polymaker PolyLite PLA PRO Army Beige,HDT,Not applicable,57.6 °C,57.6 °C,1.8MPa 75 ISO 75,p. 4: Heat deflection temperature ISO 75 1.8MPa,S-POLYCN-Polylite-PLA-Pro-EN-V5-1-3-6,https://3d.nice-cdn.com/upload/file/Polylite_PLA_Pro_EN_V5.1_3_[6].pdf,.cache/sources/by-sha/4cb65426a3f314b09c7d1b787bcd305a6dc071fa6b113450fe16d724a5547ec2.pdf,
,,,V003861,b04-polymaker,Polymaker,PolyTerra PLA,Tensile strength (endpoint unspecified),XY,23.2 ± 0.5 MPa,23.2 MPa,Not published,p. 1: Tensile strength (X-Y),S-POLYCN-TDS-PolyTerra-PLA-V6-0-2026-06-08-EN,https://polymaker.com/wp-content/uploads/TDS_PolyTerra_PLA_V6.0_2026-06-08_EN.pdf,.cache/sources/by-sha/c67a4bd6f41a85b5f633e09facbfe76480fe626fadf3c68616104b99a4b93b97.pdf,
,,,V003784,b04-polymaker,Polymaker,Polymaker PETG,Flexural modulus,Z,1958.74 ± 126.39 MPa,1.95874 GPa,Not published,p. 1: Bending modulus (Z),S-POLYCN-TDS-Polymaker-PETG-V2-0-2025-11-17,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_Polymaker_PETG_V2.0_2025-11-17.pdf,.cache/sources/by-sha/a24c704ec938f385be32ef686afc52ad09ad6d6ef4ca3e784715f9e00bcf95fe.pdf,
,,,V003592,b04-polymaker,Polymaker,Polymaker PolyLite PLA PRO Army Beige,Tensile modulus,XY,2681 ± 215 MPa,2.681 GPa,Not published,p. 5: Young’s modulus (X-Y),S-POLYCN-Polylite-PLA-Pro-EN-V5-1-3-6,https://3d.nice-cdn.com/upload/file/Polylite_PLA_Pro_EN_V5.1_3_[6].pdf,.cache/sources/by-sha/4cb65426a3f314b09c7d1b787bcd305a6dc071fa6b113450fe16d724a5547ec2.pdf,
,,,V003507,b04-polymaker,Polymaker,Polymaker PolyFlex TPU90,Hardness,Not applicable,90,90 Shore A,7619-1 ISO 7619-1 GB/T 531.1,"p. 1: Shore hardness ISO 7619-1, GB/T 531.1",S-POLYCN-TDS-Polymaker-PolyFlex-TPU90-V5-6-2025-12-11-EN,https://polymaker.com/wp-content/uploads/TDS_Polymaker_PolyFlex-TPU90_V5.6_2025-12-11_EN.pdf,.cache/sources/by-sha/4261f18380c4de748640dd2905e428a3dc067e7f6e34d133be0483bfb3f5388e.pdf,
,,,V003511,b04-polymaker,Polymaker,Polymaker ABS Pro,Vicat softening temperature,Not applicable,116.1 °C,116.1 °C,Not published,p. 1: Vicat softening temp.,S-POLYCN-TDS-Polymaker-ABS-Pro-V1-1-2026-06-01-EN,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_Polymaker_ABS-Pro_V1.1_2026_06_01_EN.pdf,.cache/sources/by-sha/440dfdcb31cf6f335e86732c3d8449d8d63a2d6c5092cfdf435bb2ec7853c3b1.pdf,
,,,V003846,b04-polymaker,Polymaker,Polymaker PolyLite PLA Pro,Flexural strength,XY,77.9 ± 0.4 MPa,77.9 MPa,Not published,p. 1: Bending strength (X-Y),S-POLYCN-TDS-Polymaker-PolyLite-PLA-Pro-V5-6-2026-01-05-EN,https://polymaker.com/wp-content/uploads/TDS_Polymaker_PolyLite-PLA-Pro_V5.6_2026-01-05_EN.pdf,.cache/sources/by-sha/bba084a47df69c47d4eccd8a6cdc23d539efbf96b78d51afb36fdc26f3918465.pdf,
,,,V003965,b04-polymaker,Polymaker,PolyLite PLA CF US 5.1,Water absorption,Not applicable,0.38 %,0.38 %,Not published,p. 2: Equilibrium water absorption (%)=,S-POLYCN-PolyLite-PLA-CF-TDS-US-5-1,https://3d.nice-cdn.com/upload/file/PolyLite_PLA-CF_TDS_US_5.1.pdf,.cache/sources/by-sha/e868af12aa841ba706e8a3e8fba7a91f7e9141e66c7d80509d07984d71e29850.pdf,
,,,V003679,b04-polymaker,Polymaker,PolyLite PC,Impact strength,Not applicable,3.4 ± 0.1 kJ/m2,3.4 kJ/m²,256 ASTM D256 ISO 527 GB/T 1040,"p. 6: Charpy impact strength ASTM D256 (ISO 527, GB/T 1040)",S-POLYCN-PolyLite-PC-PIS-EN,https://3d.nice-cdn.com/upload/file/PolyLite_PC_PIS_EN.pdf,.cache/sources/by-sha/7a00c7bc653e9f28d5415ff7883af8469f1b1e3efa2d4486202a3cb564e37673.pdf,
,,,V003431,b04-polymaker,Polymaker,PolyFlex TPU95-HF,Elongation at break,XY,462.3 ± 21.1 %,462.3 %,ASTM D638 ISO 527 GB/T 1040,"p. 1: Elongation at break (X-Y) ASTM D638 (ISO 527, GB/T 1040)",S-POLYCN-PolyFlex-TPU95-HF-TDS-V4-2,https://3d.nice-cdn.com/upload/file/PolyFlex_TPU95_HF_TDS_V4.2.pdf,.cache/sources/by-sha/2a7c8c5b74b5a89f521153f8b3076e6285c09ab6536952013e51467063bc38fa.pdf,
,,,V003633,b04-polymaker,Polymaker,Polymaker PC ABS,Charpy strength,Z,1.5 ± 0.2 kJ/m2,1.5 kJ/m²,Z 1eA:2010 -30°C ISO 179-1,"p. 1: Low temperature impact strength (Z) ISO 179-1, 1eA:2010,-30°C",S-POLYCN-TDS-Polymaker-PC-ABS-V5-5-2025-12-10-EN,https://polymaker.com/wp-content/uploads/TDS_Polymaker_PC-ABS_V5.5_2025-12-10_EN.pdf,.cache/sources/by-sha/52f3461ce47745d5ee0d90368977fcfc2087afccc3bae6205223f4cde0db24d5.pdf,
,,,V003490,b04-polymaker,Polymaker,Polymaker ABS Max,Melt mass-flow rate,Not applicable,6.6 g/10min,6.6 g/10 min,210°C 2.16 kg,"p. 1: Melt index 210°C, 2.16 kg",S-POLYCN-TDS-Polymaker-ABS-Max-V1-1-2026-06-01-EN,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_Polymaker_ABS-Max_V1.1_2026_06_01_EN.pdf,.cache/sources/by-sha/d2274fcde980caeae90d00cfa885ee9442c67e2f7470792e3eb920b436d18c1b.pdf,
,,,V003967,b04-polymaker,Polymaker,PolyLite PLA CF US 5.1,Melting temperature,Not applicable,162.4 °C,162.4 °C,Not published,"p. 3: Melting temperature DSC, 10°C/min",S-POLYCN-PolyLite-PLA-CF-TDS-US-5-1,https://3d.nice-cdn.com/upload/file/PolyLite_PLA-CF_TDS_US_5.1.pdf,.cache/sources/by-sha/e868af12aa841ba706e8a3e8fba7a91f7e9141e66c7d80509d07984d71e29850.pdf,
,,,V003652,b04-polymaker,Polymaker,PolyLite LW PLA US 5.3,Density,Not applicable,0.9 g/cm3,900 kg/m³,1183 ISO1183 GB/T1033,"p. 2: Density ISO1183, GB/T1033",S-POLYCN-PolyLite-LW-PLA-TDS-US-5-3-20240307,https://3d.nice-cdn.com/upload/file/PolyLite_LW-PLA_TDS_US_5.3-20240307.pdf,.cache/sources/by-sha/73c46d4f841952298ecec7a03cafe01273a7f8f2fbcf1960c42f2b31cb230117.pdf,
,,,V003491,b04-polymaker,Polymaker,Polymaker ABS Max,Glass transition temperature,Not applicable,126.3 °C,126.3 °C,Not published,"p. 1: Glass transition temp. DSC, 10°C/min",S-POLYCN-TDS-Polymaker-ABS-Max-V1-1-2026-06-01-EN,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_Polymaker_ABS-Max_V1.1_2026_06_01_EN.pdf,.cache/sources/by-sha/d2274fcde980caeae90d00cfa885ee9442c67e2f7470792e3eb920b436d18c1b.pdf,
,,,V003527,b04-polymaker,Polymaker,Polymaker HT PLA,Crystallization temperature,Not applicable,77.21 °C,77.21 °C,Not published,"p. 3: Crystallization temperature DSC, 10°C/min",S-POLYCN-Polymaker-HT-PLA-TDS-EN-V1-1,https://cdn.shopify.com/s/files/1/0548/7299/7945/files/Polymaker_HT-PLA_TDS_EN_V1.1.pdf?v=1746635222,.cache/sources/by-sha/442547e8f1a407bd82b3b2d14e3e8a674f18928e5ced0dbc4f65f30a46f07fbb.pdf,
,,,V003833,b04-polymaker,Polymaker,TM TM,Moisture content,Not applicable,0.1 %,0.1 %,Not published,p. 1: Moisture content (%) Thermogravimetric,S-POLYCN-PolyMax-PLA-TDS-v1,https://3d.nice-cdn.com/upload/file/PolyMax_PLA_TDS_v1.pdf,.cache/sources/by-sha/ba06f10762164d8279f8ebdd15f7d9824b822013341ce2ffd246c42972513045.pdf,
,,,V003529,b04-polymaker,Polymaker,Polymaker HT PLA,HDT,Not applicable,58.6 °C,58.6 °C,1.8MPa 75 as printed ISO 75,p. 3: Heat deflection temperature ISO 75 1.8MPa,S-POLYCN-Polymaker-HT-PLA-TDS-EN-V1-1,https://cdn.shopify.com/s/files/1/0548/7299/7945/files/Polymaker_HT-PLA_TDS_EN_V1.1.pdf?v=1746635222,.cache/sources/by-sha/442547e8f1a407bd82b3b2d14e3e8a674f18928e5ced0dbc4f65f30a46f07fbb.pdf,
,,,V003904,b04-polymaker,Polymaker,Polymaker HT PLA Pro,Tensile strength (endpoint unspecified),Z,26.8 ± 1.2 MPa,26.8 MPa,Z as printed ISO 527-2: 2025,p. 1: Tensile strength (Z) ISO 527-2: 2025,S-POLYCN-TDS-Polymaker-HT-PLA-Pro-V1-4-2026-7-17-EN,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_Polymaker_HT-PLA-Pro_V1.4_2026-7-17_EN.pdf,.cache/sources/by-sha/d2a55acad40302a6e3324741da182de6a42c10755f135181839cf48aa77edb20.pdf,
,,,V003426,b04-polymaker,Polymaker,Polymaker Polylite PLA CF,Flexural modulus,XY,3380.5 ± 52.1 MPa,3.3805 GPa,Not published,p. 1: Bending modulus (X-Y),S-POLYCN-TDS-Polymaker-Polylite-PLA-CF-V6-0-2026-06-09-EN,https://polymaker.com/wp-content/uploads/TDS_Polymaker_Polylite%E2%84%A2-PLA-CF_V6.0_2026-06-09_EN.pdf,.cache/sources/by-sha/22814f5c1e24ebb31cd5a944b451dd36352e4bc6e0962d5c2e098338ab1f7b0a.pdf,
,,,V003421,b04-polymaker,Polymaker,Polymaker Polylite PLA CF,Tensile modulus,Z,2213.1 ± 42.9 MPa,2.2131 GPa,Not published,p. 1: Young’s modulus (Z),S-POLYCN-TDS-Polymaker-Polylite-PLA-CF-V6-0-2026-06-09-EN,https://polymaker.com/wp-content/uploads/TDS_Polymaker_Polylite%E2%84%A2-PLA-CF_V6.0_2026-06-09_EN.pdf,.cache/sources/by-sha/22814f5c1e24ebb31cd5a944b451dd36352e4bc6e0962d5c2e098338ab1f7b0a.pdf,
,,,V003832,b04-polymaker,Polymaker,Polymaker PolyFlex TPU95,Hardness,Not applicable,95,95 Shore A,7619-1 ISO 7619-1 GB/T 531.1,"p. 1: Shore hardness ISO 7619-1, GB/T 531.1",S-POLYCN-TDS-Polymaker-PolyFlex-TPU95-V5-5-2025-12-29-EN,https://polymaker.com/wp-content/uploads/TDS_Polymaker_PolyFlex-TPU95_V5.5_2025_12_29_EN.pdf,.cache/sources/by-sha/b7c4419e76553beabee0455b577316269a03618d4fea8302d171aaa90efa7e72.pdf,
