Verdict,Note,By,MeasurementID,batch,Manufacturer,Product,Property,Direction,Raw value,Normalized value,Standard / load,Locator,SourceID,URL,Document,Page images
agree,,claude-second-read,V004198,b07-extrudr,Extrudr,FLEX HARD,Vicat softening temperature,Not applicable,140 °C,140 °C,ISO 306,p. 1: VICAT A (VST) ISO 306 °C,R-EXTRUDR-flex-hard-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/flex-hard-TDS-en.pdf,.cache/sources/by-sha/61e6ca2d9fa285888efc4306b2bd75f23c986d1dcb2e1f7936e2927c1720647b.pdf,
agree,,claude-second-read,V004178,b07-extrudr,Extrudr,PETG,Tensile strain at strength,Not applicable,4 %,4 %,ISO 527,p. 1: Elongation at strength ISO 527 %,R-EXTRUDR-petg-bundle-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/petg-bundle-TDS-en.pdf,.cache/sources/by-sha/4869c9318b8f419eaa669fe2222c62d438aae0b76bd6dd6dd4bfd137830c3bfa.pdf,
agree,,claude-second-read,V004188,b07-extrudr,Extrudr,DURAPRO PA12,Tensile modulus,Not applicable,1440 MPa,1.44 GPa,ISO 527-1,p. 1: Tensile Modulus ISO 527-1 MPa,R-EXTRUDR-durapro-pa12-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-pa12-TDS-en.pdf,.cache/sources/by-sha/51da63ecbeeacbc05e8ca0c32df855dd2535380f4d63467dddcc85ca306c30d4.pdf,
agree,,claude-second-read,V004260,b07-extrudr,Extrudr,PLA BASIC,HDT,Not applicable,55 °C,55 °C,E2092,p. 1: HDT ASTM E2092 °C,R-EXTRUDR-pla-basic-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/pla-basic-TDS-en.pdf,.cache/sources/by-sha/7735261c0f52eb0b3f11fdeaa07c6d343e1d4c233e1dae1def1b5fd7e472bfbe.pdf,
agree,,claude-second-read,V004322,b07-extrudr,Extrudr,DURAPRO PA6 CF,Density,Not applicable,1.15 g/cm³,1150 kg/m³,ISO 1183,p. 1: Density ISO 1183 g/cm³,R-EXTRUDR-durapro-pa6-cf-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-pa6-cf-TDS-en.pdf,.cache/sources/by-sha/d405addac27204e889ed7acca0f743ee93a16753ab55a6772171dfc1c8fc8aa6.pdf,
agree,,claude-second-read,V004230,b07-extrudr,Extrudr,DURAPRO PC-PBT,Thermal conductivity,Not applicable,0.2 W/(m·K),0.2 W/(m·K),perpendicular W/ m·K ISO 8302,"p. 1: Thermal Conductivity, perpendicular ISO 8302 W/(m·K)",R-EXTRUDR-durapro-pc-pbt-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-pc-pbt-TDS-en.pdf,.cache/sources/by-sha/65a9cb7454c2fa736d12e6c42dafd01f2f690c4cbcbaf341333a8fe93eb12e52.pdf,
disagrees: number,"The sheet prints a range, the row records its low end as the value. ""Shore hardness ISO 868 Shore 85A - 88A"" (FLEX SEMISOFT, section 3 PROPERTIES, the line the Locator names). Raw value is ""85"", Raw upper bound ""Not applicable"", Normalized ""85 Shore A"" - the 88A end is gone. The repo carries Shore ranges elsewhere (V005843 ""80-85 Shore A"" -> 80/85, V007287 ""92-98 Shore A"" -> 92/98).",claude-second-read,V004139,b07-extrudr,Extrudr,FLEX SEMISOFT,Hardness,Not applicable,85,85 Shore A,ISO 868,p. 1: Shore hardness ISO 868 Shore,R-EXTRUDR-flex-semisoft-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/flex-semisoft-TDS-en.pdf,.cache/sources/by-sha/3296681c4e5852f926e15faf81204f76f5a61bbf7a1bcbd97aadd51644f0fb40.pdf,
agree,,claude-second-read,V004189,b07-extrudr,Extrudr,DURAPRO PA12,Tensile strength (endpoint unspecified),Not applicable,43.0 MPa,43 MPa,ISO 527-2,p. 1: Tensile Strength (Indentation Depth) ISO 527-2 MPa,R-EXTRUDR-durapro-pa12-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-pa12-TDS-en.pdf,.cache/sources/by-sha/51da63ecbeeacbc05e8ca0c32df855dd2535380f4d63467dddcc85ca306c30d4.pdf,
agree,,claude-second-read,V004186,b07-extrudr,Extrudr,DURAPRO PA12,Melt volume-flow rate,Not applicable,8.0 cm³/10min,8 cm³/10 min,MVR 235°C/5.0 kg cm³/10min ISO 1133,p. 1: Melt Volume Rate (MVR) 235°C/5.0 kg ISO 1133 cm³/10min,R-EXTRUDR-durapro-pa12-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-pa12-TDS-en.pdf,.cache/sources/by-sha/51da63ecbeeacbc05e8ca0c32df855dd2535380f4d63467dddcc85ca306c30d4.pdf,
agree,,claude-second-read,V004147,b07-extrudr,Extrudr,DURAPRO ASA,Elongation at break,Not applicable,20 %,20 %,ASTM D638,p. 1: Nominal elongation at break ASTM D638 %,R-EXTRUDR-durapro-asa-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-asa-TDS-en.pdf,.cache/sources/by-sha/421ca2660f6765f7db31a085a3dfbf6867ef7bb36ca000b2175c9eaa199e5a66.pdf,
agree,,claude-second-read,V004284,b07-extrudr,Extrudr,DURAPRO PC FR V0,Izod impact strength,Not applicable,10 kJ/m²,10 kJ/m²,-30 °C kJ/m² ISO 180/A,p. 1: Izod notched impact strength (-30 °C) ISO 180/A kJ/m²,R-EXTRUDR-durapro-pc-fr-v0-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-pc-fr-v0-TDS-en.pdf,.cache/sources/by-sha/a92cfa0deb76ae3b041db7c707c2580e7725bcbccf711324ad89e401a725b925.pdf,
agree,,claude-second-read,V004248,b07-extrudr,Extrudr,PLA NX2 MATT,Tensile break strength,Not applicable,23 MPa,23 MPa,ISO 527,p. 1: Stress at break ISO 527 MPa,R-EXTRUDR-pla-nx2-matt-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/pla-nx2-matt-TDS-en.pdf,.cache/sources/by-sha/6e1041a9ba00eb07344b4b8a42114e9b949bed5571daf78259285cd11363e584.pdf,
agree,,claude-second-read,V004169,b07-extrudr,Extrudr,DURAPRO PC-PBT CF,Water absorption,Not applicable,0.5 %,0.5 %,Saturation Value % ISO 62,p. 2: Water Absorption (Saturation Value) ISO 62 %,R-EXTRUDR-durapro-pc-pbt-cf-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-pc-pbt-cf-TDS-en.pdf,.cache/sources/by-sha/456b354d6fd1828295762e86a95fd8cad34413713d7cc818820e5451266f7b2c.pdf,
agree,,claude-second-read,V004205,b07-extrudr,Extrudr,DURAPRO ABS CF,Flexural strength,Not applicable,65 MPa,65 MPa,ASTM D790,p. 1: Flexural strength ASTM D790 MPa,R-EXTRUDR-durapro-abs-cf-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-abs-cf-TDS-en.pdf,.cache/sources/by-sha/63a7b4a4d35c7847e10696ac90121f3088c9e15cb0c1142362a94fa7d8d03c4b.pdf,
agree,,claude-second-read,V004235,b07-extrudr,Extrudr,PLA TOUGH,Tensile yield strength,Not applicable,"56,9 MPa",56.9 MPa,ISO 527-2,p. 1: Tensile strength at yield ISO 527-2 MPa,R-EXTRUDR-pla-tough-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/pla-tough-TDS-en.pdf,.cache/sources/by-sha/68f89e76172154fb835cd63c035e4a3358a8064d6b7513d557043c3f26b8244c.pdf,
agree,,claude-second-read,V004183,b07-extrudr,Extrudr,PETG,Melt mass-flow rate,Not applicable,6 g/10min,6 g/10 min,10min ISO 1133,p. 1: MFR ISO 1133 g/10min,R-EXTRUDR-petg-bundle-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/petg-bundle-TDS-en.pdf,.cache/sources/by-sha/4869c9318b8f419eaa669fe2222c62d438aae0b76bd6dd6dd4bfd137830c3bfa.pdf,
agree,,claude-second-read,V004161,b07-extrudr,Extrudr,DURAPRO PC-PBT CF,Flexural modulus,Not applicable,3350 MPa,3.35 GPa,ISO 178,p. 1: Flexural Modulus ISO 178 MPa,R-EXTRUDR-durapro-pc-pbt-cf-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-pc-pbt-cf-TDS-en.pdf,.cache/sources/by-sha/456b354d6fd1828295762e86a95fd8cad34413713d7cc818820e5451266f7b2c.pdf,
agree,,claude-second-read,V004202,b07-extrudr,Extrudr,FLEX HARD,Glass transition temperature,Not applicable,-24 °C,-24 °C,Not published,p. 1: Glass transition temperature °C,R-EXTRUDR-flex-hard-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/flex-hard-TDS-en.pdf,.cache/sources/by-sha/61e6ca2d9fa285888efc4306b2bd75f23c986d1dcb2e1f7936e2927c1720647b.pdf,
agree,,claude-second-read,V004339,b07-extrudr,Extrudr,DURAPRO PA12 CF,Charpy strength,Not applicable,9 kJ/m²,9 kJ/m²,+23°C kJ/m² ISO 179/1eA,p. 1: Charpy Notched Impact Strength (+23°C) ISO 179/1eA kJ/m²,R-EXTRUDR-durapro-pa12-cf-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-pa12-cf-TDS-en.pdf,.cache/sources/by-sha/ef23d859937cb684bab979943dad1604fd19e55020c4fb51b011b26c95b01913.pdf,
agree,,claude-second-read,V004129,b07-extrudr,Extrudr,FLEX HARD CF,Melting temperature,Not applicable,200-240 °C,200 °C,ISO 3146-C,p. 1: Melting temperature ISO 3146-C °C,R-EXTRUDR-flex-hard-cf-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/flex-hard-cf-TDS-en.pdf,.cache/sources/by-sha/2ddea5c3184900301c3c776ea1e58f8db5177df00ad503b41bd872a7845cc4b2.pdf,
agree,,claude-second-read,V004268,b07-extrudr,Extrudr,DURAPRO ABS,Elongation at yield,Not applicable,5 %,5 %,ASTM D638,p. 1: Elongation at yield ASTM D638 %,R-EXTRUDR-durapro-abs-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/durapro-abs-TDS-en.pdf,.cache/sources/by-sha/7e8a63da3d9a732b4d8e3e405b0b7cb8488ed7176a31e8f0f83010f3bf54f88e.pdf,
agree,,claude-second-read,V004133,b07-extrudr,Extrudr,FLEX HARD CF,Compression strength,Not applicable,50 MPa,50 MPa,DIN 53453,p. 1: Compressive strength DIN 53453 MPa,R-EXTRUDR-flex-hard-cf-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/flex-hard-cf-TDS-en.pdf,.cache/sources/by-sha/2ddea5c3184900301c3c776ea1e58f8db5177df00ad503b41bd872a7845cc4b2.pdf,
