Verdict,Note,By,MeasurementID,batch,Manufacturer,Product,Property,Direction,Raw value,Normalized value,Standard / load,Locator,SourceID,URL,Document,Page images
,,,V004798,b08-sunlu,SUNLU,PVB,Glass transition temperature,Not applicable,70 ℃,70 °C,ISO 11357-2,p. 1: Glass Transition (Tg) ISO 11357-2 10 ℃/min ℃,R-SUNLU-042608c3-25e5-4515-a83e-f2220185296c,https://media.sunlu.com/prod/20260330/042608c3-25e5-4515-a83e-f2220185296c.pdf?filename=TDS,.cache/sources/by-sha/fab54bfd39fbefe0bca7ddb7e5326b06958da23151c4b01914d1e7ee0bbff589.pdf,
,,,V004656,b08-sunlu,SUNLU,High Speed PLA,Elongation at break,XY,10 ± 3 %,10 %,50 mm/min ISO 527/2,p. 1: (X-Y) Elongation at break ISO 527/2 50 mm/min %,R-SUNLU-1cc08af0-45a6-41af-9b5a-07533ce567f3,https://media.sunlu.com/prod/20260330/1cc08af0-45a6-41af-9b5a-07533ce567f3.pdf?filename=TDS,.cache/sources/by-sha/870d9710fa851063e06633bea393443301a927c1fa34bc9d340941945acc0776.pdf,
,,,V004495,b08-sunlu,SUNLU,High Speed PLA,Melt mass-flow rate,Not applicable,7 ± 2.5 g/10 min,7 g/10 min,190℃/2.16 kg ISO 1133,p. 1: Melt Mass-flow Rate ISO 1133 190℃/2.16 kg g/10 min,R-SUNLU-b129fd4c-7d50-46be-874e-84e0bb6ff1ae,https://media.sunlu.com/prod/20260330/b129fd4c-7d50-46be-874e-84e0bb6ff1ae.pdf?filename=TDS,.cache/sources/by-sha/27059e4a61a2cb5e477d38e5550858d29ffe3c54ac7d6123ef5e1f29c25cc3ce.pdf,
,,,V004552,b08-sunlu,SUNLU,High Speed ABS,Hardness,Not applicable,80,80 Shore D,23℃ HA/HD ISO 868,p. 1: Shore Hardness ISO 868 23℃ HA/HD,R-SUNLU-ef443c43-b15b-4242-8884-dcce385e8f02,https://media.sunlu.com/prod/20260416/ef443c43-b15b-4242-8884-dcce385e8f02.pdf?filename=TDS,.cache/sources/by-sha/471ccb741b6a86c31d6c2f1f86011cb0845b9856a5900b80931559b800bea6a7.pdf,
,,,V004390,b08-sunlu,SUNLU,PETG 2.0,Tensile modulus,ZX,300 ± 50 MPa,0.3 GPa,50 mm/min ISO 527/2,p. 1: 拉伸模量(Z-X) Tensile Modulus ISO 527/2 50 mm/min MPa,R-SUNLU-30522971789539747056,https://media.sunlu.com/prod/20260916/30522971789539747056.pdf?filename=TDS,.cache/sources/by-sha/078860f565ca6586b313bd9ef777b516f298a5c17d29d57a1b9a748733bcf0a7.pdf,
,,,V004555,b08-sunlu,SUNLU,High Speed ABS,Melting temperature,Not applicable,128 ℃,128 °C,ISO 11357-3,p. 1: Melting Temperature ISO 11357-3 10 ℃/min ℃,R-SUNLU-ef443c43-b15b-4242-8884-dcce385e8f02,https://media.sunlu.com/prod/20260416/ef443c43-b15b-4242-8884-dcce385e8f02.pdf?filename=TDS,.cache/sources/by-sha/471ccb741b6a86c31d6c2f1f86011cb0845b9856a5900b80931559b800bea6a7.pdf,
,,,V004462,b08-sunlu,SUNLU,ABS-GF,HDT,XY,100 ± 5 ℃,100 °C,0.45 MPa ISO 75,p. 1: (X-Y) Heat Distortion (HDT) ISO 75 0.45 MPa ℃,R-SUNLU-b74bf860-1989-443e-b917-58f7a97096a0,https://media.sunlu.com/prod/20260414/b74bf860-1989-443e-b917-58f7a97096a0.pdf?filename=TDS,.cache/sources/by-sha/1a67c0c36fede8858a68ec18d3c07b0b56506a8efc26cfcef7259509829fd5b7.pdf,
,,,V004474,b08-sunlu,SUNLU,PC/ABS,Tensile strength (endpoint unspecified),XY,38 ± 3 MPa,38 MPa,50 mm/min ISO 527/2,p. 1: (X-Y) Tensile Strength ISO 527/2 50 mm/min MPa,R-SUNLU-d7bcafe0-f102-4dcb-a87a-59f458f0358d,https://media.sunlu.com/prod/20260330/d7bcafe0-f102-4dcb-a87a-59f458f0358d.pdf?filename=TDS,.cache/sources/by-sha/21631f3193d547ef693726f70be5bb36c3abb385b3978470832bbb89e430593b.pdf,
,,,V004537,b08-sunlu,SUNLU,PEEK,Flexural strength,XY,122 MPa,122 MPa,2 mm/min ISO 178,p. 1: (X-Y) Flexural Strength ISO 178 2 mm/min MPa,R-SUNLU-ddb6b06d-707f-4226-9c00-cc16ef778873,https://media.sunlu.com/prod/20260413/ddb6b06d-707f-4226-9c00-cc16ef778873.pdf?filename=TDS,.cache/sources/by-sha/46e1cfb74e3b80b8db8fecc25c6eeb0d5db034009000ae35ba5c6f47dca1c2dd.pdf,
,,,V004639,b08-sunlu,SUNLU,PLA Carbon Fiber,Vicat softening temperature,Not applicable,54 ℃,54 °C,5kg ISO 306,"p. 1: Vicat Softening Temp. ISO 306 5kg, 50℃/h ℃",R-SUNLU-75a39c51-7d4c-40c4-839d-58f88cbbbf94,https://media.sunlu.com/prod/20260330/75a39c51-7d4c-40c4-839d-58f88cbbbf94.pdf?filename=TDS,.cache/sources/by-sha/78cf4630e756a753bcd7228107cb761c6d3e858e3655e9cb4e02f5c992a2bd7f.pdf,
,,,V004715,b08-sunlu,SUNLU,PLA Rainbow,Izod impact strength,ZX,8 ± 3 KJ/m2,8 kJ/m²,23℃ KJ/m2 Specimen ISO 180,p. 1: (Z-X) Izod Impact Strength of Unnotched ISO 180 23℃ KJ/m2 Specimen,R-SUNLU-bbd3e778-b424-49b7-b203-058327f2f6fc,https://media.sunlu.com/prod/20260330/bbd3e778-b424-49b7-b203-058327f2f6fc.pdf?filename=TDS,.cache/sources/by-sha/a76533e9c21a1264526635beac9d4d3f5c01753a4ed884f796dae7efca3d326d.pdf,
,,,V004477,b08-sunlu,SUNLU,PC/ABS,Flexural modulus,XY,2300 ± 200 MPa,2.3 GPa,2 mm/min ISO 178,p. 1: (X-Y) Flexural Modulus ISO 178 2 mm/min MPa,R-SUNLU-d7bcafe0-f102-4dcb-a87a-59f458f0358d,https://media.sunlu.com/prod/20260330/d7bcafe0-f102-4dcb-a87a-59f458f0358d.pdf?filename=TDS,.cache/sources/by-sha/21631f3193d547ef693726f70be5bb36c3abb385b3978470832bbb89e430593b.pdf,
,,,V004428,b08-sunlu,SUNLU,PP2.0,Density,Not applicable,1.01 g/cm3,1010 kg/m³,23℃ ISO 1183,p. 1: 密度 Density ISO 1183 23℃ g/cm3,R-SUNLU-25182761789529093884,https://media.sunlu.com/prod/20260916/25182761789529093884.pdf?filename=TDS,.cache/sources/by-sha/0dfe19aea957140cb70fed1d7b242c960ab7417125668b6f3e0d674024430879.pdf,
,,,V004580,b08-sunlu,SUNLU,WOOD,Glass transition temperature,Not applicable,60 ℃,60 °C,ISO 11357-2,p. 1: Glass Transition (Tg) ISO 11357-2 10 ℃/min ℃,R-SUNLU-9ecc53a5-f50a-4687-97fc-fab43b1db35b,https://media.sunlu.com/prod/20260326/9ecc53a5-f50a-4687-97fc-fab43b1db35b.pdf?filename=TDS,.cache/sources/by-sha/5035c913031079675e0ab412045ce105daa5ce7cda3a1780df890068770fc20f.pdf,
,,,V004511,b08-sunlu,SUNLU,PLA-LW,Elongation at break,XY,15 %,15 %,50 mm/min ISO 527/2,p. 1: (X-Y) Elongation at break ISO 527/2 50 mm/min %,R-SUNLU-23d648ce-7d03-45e3-a5db-ff13dda26c5d,https://media.sunlu.com/prod/20260413/23d648ce-7d03-45e3-a5db-ff13dda26c5d.pdf?filename=TDS,.cache/sources/by-sha/36cc3d5f082a77cc0d12b3d94e8eca2073f826a3683797410f08e2724cfe1e58.pdf,
,,,V004788,b08-sunlu,SUNLU,PLA Twinkling,Melt mass-flow rate,Not applicable,8.6 ± 2 g/10 min,8.6 g/10 min,190℃/2.16 kg ISO 1133,p. 1: Melt Mass-flow Rate ISO 1133 190℃/2.16 kg g/10 min,R-SUNLU-581a2c53-a377-4a1a-8fa4-f864aa683bd2,https://media.sunlu.com/prod/20260327/581a2c53-a377-4a1a-8fa4-f864aa683bd2.pdf?filename=TDS,.cache/sources/by-sha/e1a590c791fd27eeb4e1a734ef971fb5d3a4b246e61c74e45af5eec68d028da0.pdf,
,,,V004470,b08-sunlu,SUNLU,TPU 90A,Hardness,Not applicable,90,90 Shore A,23℃ HA/HD ISO 868,p. 1: Shore Hardness ISO 868 23℃ HA/HD,R-SUNLU-c7dd1bd8-a2c5-4908-bc1c-479ca23cbd3b,https://media.sunlu.com/prod/20260330/c7dd1bd8-a2c5-4908-bc1c-479ca23cbd3b.pdf?filename=TDS,.cache/sources/by-sha/1ec4d5c2bee6bfc2d7bc7b600cc80447fcdcec70391a4c77be4d8a1b402efda9.pdf,
,,,V004510,b08-sunlu,SUNLU,PLA-LW,Tensile modulus,XY,3100 MPa,3.1 GPa,1 mm/min ISO 527/2,p. 1: (X-Y) Young’s Modulus ISO 527/2 1 mm/min MPa,R-SUNLU-23d648ce-7d03-45e3-a5db-ff13dda26c5d,https://media.sunlu.com/prod/20260413/23d648ce-7d03-45e3-a5db-ff13dda26c5d.pdf?filename=TDS,.cache/sources/by-sha/36cc3d5f082a77cc0d12b3d94e8eca2073f826a3683797410f08e2724cfe1e58.pdf,
,,,V004581,b08-sunlu,SUNLU,WOOD,Melting temperature,Not applicable,164 ℃,164 °C,ISO 11357-3,p. 1: Melting Temperature ISO 11357-3 10 ℃/min ℃,R-SUNLU-9ecc53a5-f50a-4687-97fc-fab43b1db35b,https://media.sunlu.com/prod/20260326/9ecc53a5-f50a-4687-97fc-fab43b1db35b.pdf?filename=TDS,.cache/sources/by-sha/5035c913031079675e0ab412045ce105daa5ce7cda3a1780df890068770fc20f.pdf,
,,,V004425,b08-sunlu,SUNLU,PP2.0,HDT,XY,65 ± 10 ℃,65 °C,0.45 MPa ISO 75,p. 1: 热变形温度(X-Y) Heat Distortion (HDT) ISO 75 0.45 MPa ℃,R-SUNLU-25182761789529093884,https://media.sunlu.com/prod/20260916/25182761789529093884.pdf?filename=TDS,.cache/sources/by-sha/0dfe19aea957140cb70fed1d7b242c960ab7417125668b6f3e0d674024430879.pdf,
