Verdict,Note,By,MeasurementID,batch,Manufacturer,Product,Property,Direction,Raw value,Normalized value,Standard / load,Locator,SourceID,URL,Document,Page images
,,,V009293,b20,SUNLU,Easy PA,Vicat softening temperature,Not applicable,135 ℃,135 °C,5kg ISO 306,"p. 1: Vicat Softening Temp. ISO 306 5kg, 50℃/h ℃",R-SUNLU-a5909dda-0573-4f11-a34a-00d495b1ea09,https://media.sunlu.com/prod/20260330/a5909dda-0573-4f11-a34a-00d495b1ea09.pdf?filename=TDS,.cache/sources/by-sha/dfc4e8b55e12ca56866c37b5b957fc83fd64ceb88fbd926a10f291b82e609988.pdf,
,,,V009167,b20,Siraya Tech,Flex TPU 85A,Tensile break strength,Unstated,24 ± 3.0 MPa,24 MPa,ISO 527,p. 1: Tensile Stress at Break (MPa),D-SIRAYA-siraya-tech-fibreheart-flex-tpu-85a-tds,https://siraya.tech/pages/siraya-tech-fibreheart-flex-tpu-85a-tds,.cache/sources/by-sha/1cc61799062f939461d9df45f64ce965cd96a761e095ee8342e5fdf03f79c0fd.html,
,,,V009296,b20,SUNLU,Easy PA,Density,Not applicable,1.10 g/cm3,1100 kg/m³,23℃ ISO 1183,p. 1: Density ISO 1183 23℃ g/cm3,R-SUNLU-a5909dda-0573-4f11-a34a-00d495b1ea09,https://media.sunlu.com/prod/20260330/a5909dda-0573-4f11-a34a-00d495b1ea09.pdf?filename=TDS,.cache/sources/by-sha/dfc4e8b55e12ca56866c37b5b957fc83fd64ceb88fbd926a10f291b82e609988.pdf,
,,,V009266,b20,Nanovia,PA Rail,Surface resistivity,Not applicable,10^9 Ω,1000000000 Ω,IEC 60093,p. 1: Surface resistance,R-NANOVIA-PA-Rail-ac7021,https://nanovia.tech/en/ref/nanovia-pa-rail/,.cache/sources/by-sha/ac702185c1a0afcfd20c7989fa22ed50119cee01f67d53c612a5ae9eee6efa8c.html,
,,,V009299,b20,Eryone,PLA-Lite,HDT,Not applicable,60 ℃,60 °C,0.45MPa ASTM D648,p. 1: Heat distortion temperature(° C) ASTM D648 0.45MPa ℃,R-ERYONE-eryone-pla-lite-tds,https://file.globalso.com/file_manage/3828/20250903/eryone-pla-lite-tds.pdf,.cache/sources/by-sha/f7e7b53b1f27cfe55b4f6303d9b7d75e359e046b8cbc11607b6e030077151da7.pdf,
,,,V009258,b20,Nanovia,PEKK-A CF,Flexural modulus,Unstated,3.0 GPa,3 GPa,ASTM D790,p. 1: Flexural modulus,R-NANOVIA-PEKK-A-CF,https://nanovia.tech/en/ref/nanovia-pekk-a-cf/,.cache/sources/by-sha/8ec95029b4bd15096e72b8fe563f0107b07acfc67d82970b0a21d0e137799fdc.html,
,,,V009200,b20,Filament2Print,TECAFIL PEEK EV CF30 black - 1.75 mm,Melting temperature,Not applicable,343 °C,343 °C,ISO 11357,p. 1: Melting temperature,R-FILAMENT2PRINT-Other-3b8e77,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3793,.cache/sources/by-sha/3b8e77b2d93cb71d27c0689ec1100e11948a27175599976567f9b5e080125c7e.pdf,
,,,V009162,b20,Siraya Tech,Flex TPU 95A,Hardness,Not applicable,95,95 Shore A,ISO 7619,p. 1: Shore Hardness,D-SIRAYA-siraya-tech-fibreheart-flex-tpu-95a-tds,https://siraya.tech/pages/siraya-tech-fibreheart-flex-tpu-95a-tds,.cache/sources/by-sha/0d062c210b61516f652a7b014ac22214575b6a7332c8eaf0cd840a5705803dcb.html,
,,,V009306,b20,Eryone,PLA-Lite,Tensile modulus,XZ,603.4 MPa,0.6034 GPa,50mm/min GB/T 1040.1-2006,p. 2: Elastic modulus X-Z 50mm/min GB/T 1040.1-2006 MPa,R-ERYONE-eryone-pla-lite-tds,https://file.globalso.com/file_manage/3828/20250903/eryone-pla-lite-tds.pdf,.cache/sources/by-sha/f7e7b53b1f27cfe55b4f6303d9b7d75e359e046b8cbc11607b6e030077151da7.pdf,
,,,V009146,b20,Extrudr,XPETG MATT,Tensile yield strength,Unstated,"53 ± 0,2 MPa",53 MPa,ISO 527,p. 1: Yield stress ISO 527 MPa,R-EXTRUDR-xpetg-matt-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/xpetg-matt-TDS-en.pdf,.cache/sources/by-sha/011b26032f639cce5969262a139ca5cea7e9b03e12daab9b5b905f1ca0d84cb3.pdf,
,,,V009260,b20,Nanovia,PEKK-A CF,Dielectric strength,Not applicable,84 kV/mm,84 kV/mm,ASTM D149,p. 1: Dielectric strength,R-NANOVIA-PEKK-A-CF,https://nanovia.tech/en/ref/nanovia-pekk-a-cf/,.cache/sources/by-sha/8ec95029b4bd15096e72b8fe563f0107b07acfc67d82970b0a21d0e137799fdc.html,
,,,V009310,b20,Eryone,PLA-Lite,Impact strength,Not applicable,3.7 kJ/m2,3.7 kJ/m²,2.75J GB/T 1843,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,R-ERYONE-eryone-pla-lite-tds,https://file.globalso.com/file_manage/3828/20250903/eryone-pla-lite-tds.pdf,.cache/sources/by-sha/f7e7b53b1f27cfe55b4f6303d9b7d75e359e046b8cbc11607b6e030077151da7.pdf,
,,,V009294,b20,SUNLU,Easy PA,Mould shrinkage,Unstated,1.3-1.6 %,1.3 %,23℃ ISO 294,p. 1: Moulding Shrinkage ISO 294 23℃ %,R-SUNLU-a5909dda-0573-4f11-a34a-00d495b1ea09,https://media.sunlu.com/prod/20260330/a5909dda-0573-4f11-a34a-00d495b1ea09.pdf?filename=TDS,.cache/sources/by-sha/dfc4e8b55e12ca56866c37b5b957fc83fd64ceb88fbd926a10f291b82e609988.pdf,
,,,V009202,b20,Filament2Print,TECAFIL PEEK EV CF30 black - 1.75 mm,Water absorption,Not applicable,"0,5 %",0.5 %,ISO 62,p. 1: Moisture absorption,R-FILAMENT2PRINT-Other-3b8e77,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3793,.cache/sources/by-sha/3b8e77b2d93cb71d27c0689ec1100e11948a27175599976567f9b5e080125c7e.pdf,
,,,V009234,b20,colorFabb,BronzeFill,Flexural strength,Unstated,40 MPa,40 MPa,ISO 178,p. 1: Flexural Strength MPa,R-COLORFABB-colorFabb-BronzeFill-TDS,https://ninjatek.com/wp-content/uploads/colorFabb_BronzeFill_TDS.pdf,.cache/sources/by-sha/80ea075e752cb74cacc7ab1ec9534c1bbe0a504690eb85588eff9d28bf4fd668.pdf,
,,,V009170,b20,Siraya Tech,Flex TPU 85A,Tensile strength (endpoint unspecified),Unstated,10.8 MPa,10.8 MPa,300%,p. 1: Tensile stress at 300%,D-SIRAYA-siraya-tech-fibreheart-flex-tpu-85a-tds,https://siraya.tech/pages/siraya-tech-fibreheart-flex-tpu-85a-tds,.cache/sources/by-sha/1cc61799062f939461d9df45f64ce965cd96a761e095ee8342e5fdf03f79c0fd.html,
,,,V009244,b20,colorFabb,steelFill,Izod impact strength,Not applicable,"4,5 kJ/m2",4.5 kJ/m²,ISO 180,"p. 1: Izod Impact Strength Izod Notch, ISO 180",R-COLORFABB-TDS-E-ColorFabb-SteelFill,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/PLA/colorFabb%20PLA%20specialFill/TDS_E%20ColorFabb%20SteelFill.pdf,.cache/sources/by-sha/88b90d1538952092b8297df0f3ca221f3e1cec257b900c4bd1bbed730a5d2a0c.pdf,
,,,V009194,b20,Filament2Print,TECAFIL PEEK EV CF30 black - 1.75 mm,Elongation at yield,Unstated,"2,6 %",2.6 %,Not published,p. 1: Elongation at yield (tensile test),R-FILAMENT2PRINT-Other-3b8e77,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3793,.cache/sources/by-sha/3b8e77b2d93cb71d27c0689ec1100e11948a27175599976567f9b5e080125c7e.pdf,
,,,V009199,b20,Filament2Print,TECAFIL PEEK EV CF30 black - 1.75 mm,Glass transition temperature,Not applicable,143 °C,143 °C,Not published,p. 1: Glass transition temperature,R-FILAMENT2PRINT-Other-3b8e77,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3793,.cache/sources/by-sha/3b8e77b2d93cb71d27c0689ec1100e11948a27175599976567f9b5e080125c7e.pdf,
,,,V009221,b20,Nanovia,PLA XRS,Charpy strength,Not applicable,12 kJ/m2,12 kJ/m²,ISO 179-1eA,p. 1: Charpy full,R-NANOVIA-PLA-XRS,https://nanovia.tech/en/ref/nanovia-pla-xrs/,.cache/sources/by-sha/56275aa8974fbc9cc6b3c3f9d6b9bab5119747e2ed77edc8cde0c208c4b66b86.html,
,,,V009301,b20,Eryone,PLA-Lite,Melt mass-flow rate,Not applicable,13.7 g/10min,13.7 g/10 min,g/10 min 210 ° C 2.16 kg,"p. 1: Melt Index(g/10 min) 210 ° C, 2.16 kg g/10min",R-ERYONE-eryone-pla-lite-tds,https://file.globalso.com/file_manage/3828/20250903/eryone-pla-lite-tds.pdf,.cache/sources/by-sha/f7e7b53b1f27cfe55b4f6303d9b7d75e359e046b8cbc11607b6e030077151da7.pdf,
,,,V009280,b20,colorFabb,steelFill,Elongation at break,Unstated,1-3 %,1 %,ISO 527,p. 1: Tensile Elongation@break %,R-COLORFABB-colorFabb-SteelFill-TDS,https://ninjatek.com/wp-content/uploads/colorFabb_SteelFill_TDS.pdf,.cache/sources/by-sha/d1358ae4e125b109162e624b6f9af2c627158c326a35586ff29df59376812622.pdf,
,,,V009292,b20,SUNLU,Easy PA,Decomposition temperature,Not applicable,300 ℃,300 °C,ISO 11358,p. 1: @5%Decomposition Temp. ISO 11358 20 ℃/min ℃,R-SUNLU-a5909dda-0573-4f11-a34a-00d495b1ea09,https://media.sunlu.com/prod/20260330/a5909dda-0573-4f11-a34a-00d495b1ea09.pdf?filename=TDS,.cache/sources/by-sha/dfc4e8b55e12ca56866c37b5b957fc83fd64ceb88fbd926a10f291b82e609988.pdf,
,,,V009229,b20,Fiberlogy,PP,Vicat softening temperature,Not applicable,110 °C,110 °C,Not published,p. 1: Vicat Softening Temperature °C,R-FIBERLOGY-FIBERLOGY-PP-TDS,https://fiberlogy.com/app/uploads/2026/05/FIBERLOGY_PP_TDS.pdf,.cache/sources/by-sha/78ed9dff8a41bec17280b0f50ab7aa026405cbfcdebe9cb8068fa3aae74e64a9.pdf,
,,,V009269,b20,Spectrum,hdpe,Tensile break strength,Unstated,29 Mpa,29 MPa,ISO 527,p. 1: Tensile stress at break,S-SPECTRUM-EN-TDS-Spectrum-HDPE,https://3d.nice-cdn.com/upload/file/EN_TDS_Spectrum_HDPE.pdf,.cache/sources/by-sha/b2a8c0258f535a5db03a3ee471328b11681db7bcd12aefbf9d5ccce7449324e0.pdf,
,,,V009245,b20,colorFabb,steelFill,Density,Not applicable,3.13 g/cm3,3130 kg/m³,ISO 1183,p. 1: Density ISO 1183,R-COLORFABB-TDS-E-ColorFabb-SteelFill,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/PLA/colorFabb%20PLA%20specialFill/TDS_E%20ColorFabb%20SteelFill.pdf,.cache/sources/by-sha/88b90d1538952092b8297df0f3ca221f3e1cec257b900c4bd1bbed730a5d2a0c.pdf,
,,,V009209,b20,Spectrum,GreenyHT,HDT,Not applicable,87 °C,87 °C,"0,45 MPa ISO 75-1","p. 1: Heat Deflection Temperature 0,45 MPa",S-SPECTRUM-en-tds-spectrum-greenyht,https://spectrumfilaments.com/wp-content/uploads/2022/10/en_tds_spectrum_greenyht.pdf,.cache/sources/by-sha/3ca0f7060c58486704dcc95a688e981bdf58c2cadfad40ee9be6719d45e485d6.pdf,
