table,record,action,field,before,after
grades,G028-11,Added,,,
grades,G035-21,Added,,,
grades,G050-13,Added,,,
grades,G070-07,Added,,,
grades,G051-10,Added,,,
grades,G046-06,Added,,,
grades,G001-141,Added,,,
grades,G053-12,Added,,,
grades,G039-58,Added,,,
grades,G039-59,Added,,,
grades,G001-142,Added,,,
grades,G073-06,Added,,,
grades,G035-22,Added,,,
grades,G001-143,Added,,,
grades,G001-144,Added,,,
grades,G001-145,Added,,,
grades,G001-146,Added,,,
grades,G001-147,Added,,,
grades,G001-148,Added,,,
grades,G001-149,Added,,,
grades,G008-19,Added,,,
grades,G008-20,Added,,,
grades,G039-60,Added,,,
grades,G008-21,Added,,,
grades,G020-57,Added,,,
grades,G039-61,Added,,,
grades,G057-07,Added,,,
grades,G110-02,Added,,,
grades,G136-02,Added,,,
grades,G070-08,Added,,,
grades,G001-150,Added,,,
grades,G039-62,Added,,,
grades,G039-63,Added,,,
grades,G020-58,Added,,,
grades,G008-22,Added,,,
grades,G008-23,Added,,,
grades,G001-151,Added,,,
grades,G020-59,Added,,,
sources,R-FABRU-3491-Material-data-sheet-ABS-GF10-purefil,Added,,,
sources,S-PET-formfutura-tds-kratospc,Added,,,
sources,S-PET-formfutura-tds-styxpacf15,Added,,,
sources,S-PCGF-PPA-CF-TDS-EN,Added,,,
sources,S-PET-formfutura-tds-styxpagf30,Added,,,
sources,S-PET-TDS-FlexiFil-TPC-40D,Added,,,
sources,S-SPECTRUM-pl-tds-spectrum-pla-nature,Added,,,
sources,R-FABRU-3495-Material-data-sheet-PA12-CF15-purefil,Added,,,
sources,S-PEBA-eSUN-TPU-HS-Filament-TDS,Added,,,
sources,R-ESSENTIUM-TDS-Essentium-TPU-95A-Z,Added,,,
sources,S-PEBA-eSUN-PLA-Filament-TDS-V4-0,Added,,,
sources,S-PCGF-PPS-CF-TDS-EN,Added,,,
sources,D-RAISE3D-Raise3d-Premium-PC-Transparent-TDS-V4,Added,,,
sources,R-SUNLU-81b1d361-0bd9-4783-ba0f-283a311c6870,Added,,,
sources,S-PVB-prusament-pla-technical-data-sheet,Added,,,
sources,R-SUNLU-689d1925-acad-4de8-9079-c8eee9c3081e,Added,,,
sources,S-PEBA-eSUN-PLA-Clear-Filament-TDS-V4-0,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-thermoactive,Added,,,
sources,S-POLYCN-TDS-Polymaker-PolyLite-CosPLA-Version-B-V5-5-2025-12-30-EN,Added,,,
sources,R-COLORFABB-TDS-E-colorFabb-PLA-Vertigo,Added,,,
sources,R-SUNLU-91c03fbc-a5c0-4711-b3ae-10d0efd19f27,Added,,,
sources,R-ERYONE-eryone-silk-pla-tri-color-tds,Added,,,
sources,R-COLORFABB-TDS-varioShore-Prosthetic-TPU,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-silk-93646a,Added,,,
sources,R-FABRU-2187-Material-data-sheet-PETG-purefil,Added,,,
sources,R-ERYONE-eryone-standard-tpu-tds,Added,,,
sources,S-PEBA-eSUN-ePA-Filament-TDS-V4-0,Added,,,
sources,S-PET-TDS-AthenaX-GF10,Added,,,
sources,R-FABRU-3542-Material-data-sheet-SAN-purefil,Added,,,
sources,D-RAISE3D-Raise3D-Hyper-Core-PPA-CF25-TDS-V2-0,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-safeguard-pla,Added,,,
sources,S-PET-TDS-ReForm-rTPU-90A,Added,,,
sources,S-PET-formfutura-tds-pythonflex90a,Added,,,
sources,D-RAISE3D-Raise3d-Premium-PETG-TDS-V3,Added,,,
sources,R-ERYONE-eryone-hyper-speed-triple-color-silk-pla-tds,Added,,,
sources,R-ERYONE-eryone-silk-pla-dual-color-tds,Added,,,
sources,R-ERYONE-eryone-burnt-titanium-pla-tds,Added,,,
sources,S-PVB-8-PETG-RECYCLED-Prusament-TDS-2022,Added,,,
