Provider,Sheets,Recorded,Found,Parity,Missed
3DJake / 3DJAKE,228,1808,1800,100,"S-FIBER-PPSGF-TDS-2: Glass transition temperature 95.0 °C (p. 1: Glass transition temp.) | S-FIBER-PPSGF-TDS-2: Crystallization temperature 225.8 °C (p. 1: Crystallization temp.) | S-FIBER-PPSGF-TDS-2: HDT 248.9 °C (p. 1: HDT note, specimens annealed at 230 °C (0.45MPa)) | S-FIBER-PPSGF-TDS-2: HDT 219.6 °C (p. 1: HDT note, specimens annealed at 230 °C (1.8MPa)) | S-FIBER-PPSGF-TDS-2: Water absorption 0.11 % (p. 1: Equilibrium water absorption) | S-POLYCN-TDS-Polymaker-HT-PLA-Pro-V1-4-2026-7-17-EN: Charpy strength 45.7 kJ/m² (p. 1: Notched charpy impact strength (X-Y) Unnotched charpy impact strength (X-Y)) | S-POLYCN-TDS-Polymaker-HT-PLA-Pro-V1-4-2026-7-17-EN: Charpy strength 10.3 kJ/m² (p. 1: Notched charpy impact strength (X-Y) Unnotched charpy impact strength (Z)) | S-POLYCN-TDS-Polymaker-HT-PLA-Pro-V1-4-2026-7-17-EN: Charpy strength 10.1 kJ/m² (p. 1: Notched charpy impact strength (X-Y) Notched Impact Strength (X-Y))"
Spectrum,91,665,665,100,
3DXTECH,58,458,457,100,X-ECOMAX-3DXSTAT-ESD-Ultem1010-TDS-v3-1: Glass transition temperature 205 °C (p. 1: Glass Transition Temperature (Tg) ISO 75 °C)
Polymaker / Fiberon,57,938,899,96,"S-FIBER-PA612: Crystallization temperature 180 °C (p. 1: Crystallization temp.) | S-FIBER-PA612: Water absorption 2.2 % (p. 1: Equilibrium water absorption) | S-FIBER-PA612: Crystallization temperature 180 °C (p. 1: Crystallization temp.) | S-FIBER-PA612: Water absorption 2.2 % (p. 1: Equilibrium water absorption) | S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1: Crystallization temperature 180.3 °C (p. 1: Crystallization temp.) | S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1: Vicat softening temperature 190.0 °C (p. 1: Vicat softening temp.) | S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1: HDT 157.0 °C (p. 1: Heat deflection temp. 0.45MPa) | R-FIBERON-PETCF17-TDS: Water absorption 0.53 % (p. 1: Equilibrium water absorption) | R-FIBERON-PETCF17-TDS: Melting temperature 241.3 °C (p. 1: Melting temperature) | R-FIBERON-PETCF17-TDS: Crystallization temperature 202.9 °C (p. 1: Crystallization temp.) | R-FIBERON-PETCF17-TDS: HDT 147.5 °C (p. 1: Heat deflection temp. ISO 75 0.45MPa) | R-FIBERON-PETGF15-TDS: HDT 71.8 °C (Thermal properties: Heat deflection temp. (as printed)) | R-FIBERON-PETGF15-TDS: HDT 81.6 °C (Thermal properties: Heat deflection temp. (as printed)) | R-FIBERON-PETGF15-TDS: Crystallization temperature 201.4 °C (Thermal properties: Crystallization temp.) | R-FIBERON-PETGF15-TDS: Water absorption 0.32 % (Physical properties: Equilibrium water absorption) | R-FIBERON-PETGRCF08-TDS: Water absorption 0.55 % (p. 1: Equilibrium water absorption) | S-FIBER-PPSGF-TDS-2: Glass transition temperature 95.0 °C (p. 1: Glass transition temp.) | S-FIBER-PPSGF-TDS-2: Crystallization temperature 225.8 °C (p. 1: Crystallization temp.) | S-FIBER-PPSGF-TDS-2: HDT 248.9 °C (p. 1: HDT note, specimens annealed at 230 °C (0.45MPa)) | S-FIBER-PPSGF-TDS-2: HDT 219.6 °C (p. 1: HDT note, specimens annealed at 230 °C (1.8MPa)) | S-FIBER-PPSGF-TDS-2: Water absorption 0.11 % (p. 1: Equilibrium water absorption) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Density 1240 kg/m³ (Data table, Silk: Density) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Vicat softening temperature 64.7 °C (Data table, Silk: Vicat softening temperature) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Tensile modulus 2.403 GPa (Data table, Silk: Young's modulus (X-Y)) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Tensile strength (endpoint unspecified) 41.1 MPa (Data table, Silk: Tensile strength (X-Y)) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Tensile strength (endpoint unspecified) 23.8 MPa (Data table, Silk: Tensile strength (Z)) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Charpy strength 13.8 kJ/m² (Data table, Silk: Notched Charpy impact strength) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Density 1300 kg/m³ (Data table, CoPE: Density) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Vicat softening temperature 66 °C (Data table, CoPE: Vicat softening temperature) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Tensile modulus 2.515 GPa (Data table, CoPE: Young's modulus (X-Y)) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Tensile strength (endpoint unspecified) 51.6 MPa (Data table, CoPE: Tensile strength (X-Y)) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Tensile strength (endpoint unspecified) 36.1 MPa (Data table, CoPE: Tensile strength (Z)) | R-POLYMAKER-PANCHROMA-TDS-V2-1: Charpy strength 2.9 kJ/m² (Data table, CoPE: Notched Charpy impact strength) | S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1: Charpy strength 4.92 kJ/m² (p. 4: Notched Charpy impact) | S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1: Charpy strength 4.37 kJ/m² (p. 4: Notched Charpy impact) | S-POLYCN-TDS-Polymaker-HT-PLA-Pro-V1-4-2026-7-17-EN: Charpy strength 45.7 kJ/m² (p. 1: Notched charpy impact strength (X-Y) Unnotched charpy impact strength (X-Y)) | S-POLYCN-TDS-Polymaker-HT-PLA-Pro-V1-4-2026-7-17-EN: Charpy strength 10.3 kJ/m² (p. 1: Notched charpy impact strength (X-Y) Unnotched charpy impact strength (Z)) | S-POLYCN-TDS-Polymaker-HT-PLA-Pro-V1-4-2026-7-17-EN: Charpy strength 10.1 kJ/m² (p. 1: Notched charpy impact strength (X-Y) Notched Impact Strength (X-Y)) | S-POLYCN-PolySonic-PLA-EN-V5-3-TDS: Water absorption 0.4 % (p. 2: Equilibrium water absorption (%))"
SUNLU,42,471,471,100,
Bambu Lab,41,739,684,93,"B-abs-filament-TDS: Charpy strength 39.3 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-abs-gf-TDS: Elongation at break 1.2 % (p. 2: Breaking Elongation Rate (X-Y)) | B-abs-gf-TDS: Elongation at break 0.8 % (p. 2: Breaking Elongation Rate (Z)) | B-abs-gf-TDS: Charpy strength 14.5 kJ/m² (p. 2: Impact Strength (X-Y)) | B-abs-gf-TDS: Charpy strength 4.2 kJ/m² (p. 2: Impact Strength (X-Y) (notched)) | B-asa-filament-TDS: Charpy strength 41 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-asa-filament-TDS: Melt mass-flow rate 7.0 g/10 min (p. 2: Melt Index) | B-asa-aero-TDS: Elongation at break 1.6 % (p. 2: Breaking Elongation Rate (X-Y)) | B-asa-aero-TDS: Elongation at break 0.9 % (p. 2: Breaking Elongation Rate (Z)) | B-asa-aero-TDS: Charpy strength 32 kJ/m² (p. 2: Impact Strength (X-Y)) | B-asa-aero-TDS: Charpy strength 3.4 kJ/m² (p. 2: Impact Strength (Z)) | B-asa-aero-TDS: Charpy strength 8.2 kJ/m² (p. 2: Impact Strength (X-Y) (notched)) | B-asa-cf-TDS: Charpy strength 14 kJ/m² (p. 2: Impact Strength (X-Y)) | B-asa-cf-TDS: Charpy strength 9.4 kJ/m² (p. 2: Impact Strength (Z)) | B-asa-cf-TDS: Charpy strength 6.2 kJ/m² (p. 2: Impact Strength (X-Y) (notched)) | B-pa6-cf-TDS: Charpy strength 40.3 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pa6-gf-TDS: Charpy strength 27.2 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pa6-gf-TDS: Melt mass-flow rate 9.0 g/10 min (p. 2: Melt Index) | B-paht-cf-TDS: Charpy strength 57.5 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-PC-TDS: Charpy strength 34.8 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pc-fr-TDS: Charpy strength 55 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pet-cf-TDS: Charpy strength 36 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pet-cf-TDS: Charpy strength 4.5 kJ/m² (p. 2: Impact Strength (Z)) | B-petg-cf-TDS: Charpy strength 41.2 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-petg-hf-TDS: Charpy strength 31.5 kJ/m² (p. 2: Impact Strength (X-Y)) | B-petg-hf-TDS: Charpy strength 10.6 kJ/m² (p. 2: Impact Strength (Z)) | B-petg-hf-TDS: Charpy strength 6.2 kJ/m² (p. 2: Impact Strength (X-Y) (notched)) | B-petg-translucent-TDS: Charpy strength 37.4 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-aero-TDS: Charpy strength 28.8 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-basic-filament-TDS: Charpy strength 26.6 kJ/m² (p. 3: Impact Strength (X-Y) — unnotched) | B-pla-basic-gradient-TDS: Charpy strength 61.2 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-cf-TDS: Charpy strength 23.2 kJ/m² (p. 2: Impact Strength (X-Y)) | B-pla-cf-TDS: Charpy strength 7.6 kJ/m² (p. 2: Impact Strength (X-Y) — notched) | B-pla-galaxy-TDS: Charpy strength 55.4 kJ/m² (p. 2: Impact Strength (X-Y)) | B-pla-galaxy-TDS: Charpy strength 17.6 kJ/m² (p. 2: Impact Strength (X-Y) (notched)) | B-pla-galaxy-TDS: Melt mass-flow rate 11.0 g/10 min (p. 2: Melt Index) | B-pla-glow-TDS: Charpy strength 27.3 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-marble-TDS: Charpy strength 24 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-matte-TDS: Charpy strength 19.2 kJ/m² (p. 3: Impact Strength (X-Y)) | B-pla-matte-TDS: Melt mass-flow rate 18.0 g/10 min (p. 2: Melt Index) | B-pla-metal-TDS: Charpy strength 58.9 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-silk-dual-color-TDS: Charpy strength 24.5 kJ/m² (p. 2: Impact Strength (X-Y)) | B-pla-silk-dual-color-TDS: Charpy strength 8.2 kJ/m² (p. 2: Impact Strength (X-Y) (notched)) | B-pla-silk-upgrade-TDS: Charpy strength 18.5 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-sparkle-TDS: Charpy strength 66.5 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-tough-upgrade-TDS: Charpy strength 80.6 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-tough-upgrade-TDS: Charpy strength 25.9 kJ/m² (p. 2: Impact Strength (Z)) | B-pla-tough-upgrade-TDS: Melt mass-flow rate 18.0 g/10 min (p. 2: Melt Index) | B-pla-translucent-TDS: Charpy strength 18.5 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-wood-TDS: Charpy strength 15.7 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-pla-wood-TDS: Charpy strength 5.6 kJ/m² (p. 2: Impact Strength (Z)) | B-ppa-cf-TDS: Charpy strength 6.5 kJ/m² (p. 2: Impact Strength (X-Y) (notched)) | B-pps-cf-TDS: Charpy strength 27.8 kJ/m² (p. 2: Impact Strength (X-Y) — unnotched) | B-TPU-SOFT-TDS-4: Charpy strength 87.3 kJ/m² (p. 2: Impact Strength (Z)) | B-tpu-for-ams-TDS: Hardness 68 Shore D (p. 1: Basic Info, ""Shore hardness of 68D"")"
Extrudr,41,341,341,100,
Fabru / purefil,39,223,223,100,
Eryone,34,353,353,100,
Flashforge,34,355,349,98,R-FLASHFORGE-ASA-GF10-TDS: Flexural strength 72.5 MPa (Mechanical Properties: Bending Modulus (X-Y) [sheet label; the value is the strength]) | R-FLASHFORGE-ASA-GF10-TDS: Flexural modulus 3.359 GPa (Mechanical Properties: Bending Strength (X-Y) [sheet label; the value is the modulus]) | R-FLASHFORGE-ASA-GF10-TDS: Flexural strength 27.2 MPa (Mechanical Properties: Bending Modulus (X-Z) [sheet label; the value is the strength]) | R-FLASHFORGE-ASA-GF10-TDS: Flexural modulus 1.359 GPa (Mechanical Properties: Bending Strength (X-Z) [sheet label; the value is the modulus]) | R-FLASHFORGE-ASA-GF10-TDS: Izod impact strength 6.3 kJ/m² (Mechanical Properties: Izod Impact Strength (X-Y)) | R-FLASHFORGE-ASA-GF10-TDS: Izod impact strength 2.5 kJ/m² (Mechanical Properties: Izod Impact Strength (X-Z))
