doc_key,sha256,provider,provider_kind,brand,manufacturer,product_raw,url,source_page_url,format,access_status,language,mechanical_evidence,variants,discovery,registered_source_id,registered_by,duplicate_of,duplicate_kind,primary,batch,status,status_note,checked,updated
e9c47a5938651c9e,e9c47a5938651c9e0bb77f9f7ee86cc6bf4674d2bc5633a20544900ad4a2dc55,3D-Fuel,manufacturer,3D-Fuel,,3D Fuel Pro PCTG,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/3D-Fuel_Pro_PCTG_TDS_9-2-25.pdf?v=1756827548,https://www.3dfuel.com/pages/technical-library,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,extracted,,2026-09-17,2026-09-18
d95895bbe06a44a5,d95895bbe06a44a562407f0b29bd7636412488d6b7eb78413148c2cf2db09d6d,3D-Fuel,manufacturer,3D-Fuel,,3DFuel ASA,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/TDS-3DFuel-ASA.pdf?v=1600971750,https://www.3dfuel.com/pages/technical-library,PDF,PDF opened,Not stated,No mechanical terms found,0,,,,,,TRUE,,extracted,,2026-09-17,2026-09-18
cec0f228b051ecaf,cec0f228b051ecaf901e2e03510432afd064e6f0e55ff680ad8b9d6788cab70d,3D-Fuel,manufacturer,3D-Fuel,,3DFuel Pro PLA,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/TDS-3DFuel-Pro-PLA.pdf?v=1600971750,https://www.3dfuel.com/pages/technical-library,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,extracted,,2026-09-17,2026-09-18
4583f90159502acd,4583f90159502acd0816dabe3cf212f20c51650af9b7b649dd9a88f5ce146749,3D-Fuel,manufacturer,3D-Fuel,,3DFuel Standard PLA,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/TDS-3DFuel-Standard-PLA.pdf,https://www.3dfuel.com/pages/technical-library,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,needs-ocr,1 page(s) with no readable text: a scan,2026-09-17,2026-09-18
fd685bba19e48696,fd685bba19e48696b4c153a423fc3c83df18334cd8d6d58b0f47913699967a07,3D-Fuel,manufacturer,3D-Fuel,,3DFuel Workday ABS,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/TDS-3DFuel-Workday-ABS.pdf,https://www.3dfuel.com/pages/technical-library,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,extracted,also listed by Essentium / Nexa3D,2026-09-17,2026-09-18
bbe0893ee19bcaed,bbe0893ee19bcaed62f752ada5cc9b23a74d2ce3dc569d2587cd523002408aca,3D-Fuel,manufacturer,3D-Fuel,,Entwined v2Hemp,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/TDS-3DFuel-Entwined-Hemp.pdf?v=1600971750,https://www.3dfuel.com/products/entwined-hemp-filament-1-75mm,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,needs-ocr,1 page(s) with no readable text: a scan,2026-09-17,2026-09-18
84bd0b9a7c88ab68,84bd0b9a7c88ab683eb4752a519b0a8f69265bd2c469cdae634206732fa4c62b,3D-Fuel,manufacturer,3D-Fuel,,Essentium PCTG,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/TDS-Essentium-PCTG.pdf?v=1723400619,https://www.3dfuel.com/products/pro-pctg-gf10-10-glass-fiber-pctg-toolbox-orange-1-75mm,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,extracted,also listed by Essentium / Nexa3D,2026-09-17,2026-09-18
776a683ddb27e6c0,776a683ddb27e6c0c579200d2356e302d491ed42273504c62c4bea50f31bb6d1,3D-Fuel,manufacturer,3D-Fuel,,Pro PETG,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/TDS-3DFuel-PETG.pdf?v=1601481720,https://www.3dfuel.com/products/pro-petg-industrial-gray-1-75mm,PDF,PDF opened,Not stated,Mechanical terms found,1,,,,,,TRUE,,extracted,,2026-09-17,2026-09-18
cdcb9378f37d979c,cdcb9378f37d979cca7369f0e319a9cbe324050923f769bd5e73fbb2fc45c5cd,3D-Fuel,manufacturer,3D-Fuel,,Pro PETG,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/3D_Fuel_Pro_PETG_9-22-25.pdf?v=1758582495,https://www.3dfuel.com/pages/technical-library,PDF,PDF opened,Not stated,Mechanical terms found,,Live website,,,,,FALSE,,extracted,,2026-09-17,2026-09-18
40caac6eabbc5678,,3D4Makers,manufacturer,3D4Makers,,ABS ESD 3D4Makers,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_ABS_ESD_3D4Makers.pdf?v=1592821918,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,No mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
d5ca42dc75ce644e,,3D4Makers,manufacturer,3D4Makers,,ABS Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_ABS_Filament.pdf?11613272326600120846,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
1d03dc9410ac92df,,3D4Makers,manufacturer,3D4Makers,,ABS Kevlar filament 3D4Makers,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_ABS_Kevlar_filament_3D4Makers_V1.pdf?v=1738753952,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,No mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
9fda5bf5cf8ac365,,3D4Makers,manufacturer,3D4Makers,,ASA Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_ASA_Filament.pdf?5263626867234297634,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
7a18626545a62a8a,,3D4Makers,manufacturer,3D4Makers,,Facilan C8 Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_Facilan_C8_Filament_v1.4.pdf?49,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,No mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
51ec17b0fdeb2b87,,3D4Makers,manufacturer,3D4Makers,,Facilan HT Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_Facilan_HT_Filament_V1.4.pdf?87,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,No mechanical terms found,1,,,,,,TRUE,,inventoried,,2026-09-17,
7adef6a94c728434,,3D4Makers,manufacturer,3D4Makers,,Facilan HT Filament,https://cdn.shopify.com/s/files/1/0108/1881/4009/files/TDS_Facilan_HT_ElogioAM_v1.4.pdf?4463025051778730948,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,No mechanical terms found,,Live website,,,,,FALSE,,inventoried,,2026-09-17,
772b8b8aaf14bdfd,,3D4Makers,manufacturer,3D4Makers,,Facilan Ortho filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_Facilan_Ortho_filamentV1.4.pdf?86,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,No mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
5c1ca3649a656ca4,,3D4Makers,manufacturer,3D4Makers,,Facilan PCL100 filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_Facilan_PCL100_filament_V1.4.pdf?46,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,No mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
f992add743eafe1c,,3D4Makers,manufacturer,3D4Makers,,Luvocom 3F PAHT CF 9742 BK Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/LUVOCOM_3F_PAHT_CF_9742_BK_EN-TDS.pdf?v=1735591020,https://www.3d4makers.com/products/luvocom-3f-paht-cf-9742-bk-filament,PDF,PDF opened,EN,Mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
82824ad975f7e292,,3D4Makers,manufacturer,3D4Makers,,LUVOCOM 3F PAHT KK 50056 BK FR Filament 3D4Makers,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_LUVOCOM_3F_PAHT_KK_50056_BK_FR_Filament_3D4Makers.pdf?v=1642530062,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
16e28f791cc27c58,,3D4Makers,manufacturer,3D4Makers,,LUVOCOM 3F PEEK 9581 Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_LUVOCOM_3F_PEEK_9581_Filament.pdf?v=1638285663,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
5dd2f854b9449695,,3D4Makers,manufacturer,3D4Makers,,LUVOCOM 3F PEI 50236 GY Filament 3D printing,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_LUVOCOM_3F_PEI_50236_GY_Filament_3D_printing.pdf?v=1652788890,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
1c822270e8da7586,,3D4Makers,manufacturer,3D4Makers,,LUVOCOM 3F PEKK 50082 Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_LUVOCOM_3F_PEKK_50082_Filament.pdf?v=1645614240,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
f38232700249605a,,3D4Makers,manufacturer,3D4Makers,,PEEK Filament 1,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PEEK_Filament_1.pdf?5159116558357548495,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
51920bd5d79d8780,,3D4Makers,manufacturer,3D4Makers,,PEI ULTEM 1010,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PEI_ULTEM_1010.pdf?5589548939196691641,https://www.3d4makers.com/pages/product-data,PDF,PDF opened,Not stated,Mechanical terms found,0,,,,,,TRUE,,inventoried,,2026-09-17,
