Ruling,Doc key,Provider,Brand,Product,Reading,Filler the name declares,Material it would join,Polymer has a row,Strength,Evidence,Verdict,URL
R075,556fd3e0d2ebf186,3D4Makers,3D4Makers,PI Filament Z2 Zymergen 3D4Makers,Not read,Unfilled / unspecified,Not read,Not read,unread,"density 923-10 g/cm3 — **its density reads 923000 kg/m³, which no filament reaches: the page is misread** — this maker's range: PLA×3, ABS×3, PETG×2, PEI×2, PEEK×2",,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PI_Filament_Z2_Zymergen_3D4Makers_ver.02.pdf?v=1654256926
R075,0e294815a86bf8fc,3DJake / 3DJAKE,colorFabb,AmphoraAM3300,nGen,Unfilled / unspecified,nGen / Unfilled / unspecified,yes,named,"a link it was found under names it, and the link is not the maker's: https://www.3djake.com/colorfabb/ngen-red",,https://3d.nice-cdn.com/upload/file/AmphoraAM3300-TDS.pdf
R075,035bc980a7aee312,3DJake / 3DJAKE,colorFabb,AmphoraHT5300,Not read,Unfilled / unspecified,Not read,Not read,unread,"this maker's range: PLA×15, PET×5, TPU×5, nGen×4, ASA×3",,https://3d.nice-cdn.com/upload/file/AmphoraHT5300-TDS.pdf
R083,f7f7127db2dc6d30,3DJake / 3DJAKE,FormFutura,BioFil Wood 1,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: PLA×1, SAN×1 — its numbers admit PLA, PETG, PCTG, CPE, PC-PBT, PVA, TPU, TPC, PBAT — density 1.26 g/cm3; vicat 50 °C — this maker's range: PLA×21, PETG×7, ABS×7, TPU×5, ASA×4",PCL,https://3d.nice-cdn.com/upload/file/TDS_-_BioFil_-_Wood_1_.pdf
R075,d230eec3cdbe2bbd,3DJake / 3DJAKE,colorFabb,carbon,Not read,Carbon fibre,Not read,Not read,unread,"density 1,35 g/cm3; melting 235-255 °C — this maker's range: PLA×15, PET×5, TPU×5, nGen×4, ASA×3",,https://3d.nice-cdn.com/upload/file/TDS-carbon-en.pdf
R077,5b31728f9205a3ed,3DJake / 3DJAKE,colorFabb,ColorFabb PA neat,TPU,Unfilled / unspecified,TPU / Unfilled / unspecified,yes,narrowed,its own numbers admit 10 polymers and this maker makes one of them: density 1140 within 1050–1300,,https://3d.nice-cdn.com/upload/file/TDS_E_ColorFabb_PA-neat.pdf
R075,af2a1612aba91481,3DJake / 3DJAKE,colorFabb,colorFabb Woodfill Fine,Not read,Unfilled / unspecified,Not read,Not read,unread,"this maker's range: PLA×15, PET×5, TPU×5, nGen×4, ASA×3",,https://3d.nice-cdn.com/upload/file/TD_wood_V_135002_en[0].pdf
R075,1fef87181e40917c,3DJake / 3DJAKE,colorFabb,colorFabb XT Light Blue,Not read,Unfilled / unspecified,Not read,Not read,unread,"this maker's range: PLA×15, PET×5, TPU×5, nGen×4, ASA×3",,https://3d.nice-cdn.com/upload/file/xt_tds.pdf
R077,1c5b6527a66e302d,3DJake / 3DJAKE,colorFabb,colorFabbPABlueMetalDetectable,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit PLA, PETG, PCTG, CPE, PC-PBT, PVA, BVOH, TPU, TPE, TPC, PBAT — density 1,25 g/cm3 — this maker's range: PLA×15, PET×5, TPU×5, nGen×4, ASA×3",,https://3d.nice-cdn.com/upload/file/TDS_E_colorFabbPABlueMetalDetectable.pdf
R075,87644db1781f20be,3DJake / 3DJAKE,Fiberlogy,FiberFlex 30D,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit PA12, PP, PVDF, POM, PA11, PLA-PHB — melting 174 °C — this maker's range: PLA×10, PETG×8, ABS×6, CPE×3, PCTG×3",,https://3d.nice-cdn.com/upload/file/TDS_FiberFlex_30D.pdf
