doc_key,url,polymer,quote,publisher,note
7a18626545a62a8a,https://cdn.shopify.com/s/files/1/0762/2839/files/3D4Makers_Facilan_TM_C8_Filament_MTR_EUGB_BE.pdf?55,PLA (60-70%; remainder undisclosed),Product Name Facilan™ C8 … 3.2 Mixtures … Polylactide resin Not available 9051-89-2 No data available 60-70 Not classified,"3D4Makers (SDS on 3D4Makers' Shopify CDN, linked from 3d4makers.com/pages/product-data)","CONTRADICTION with current_reading PET (narrowed on density 1.4): 3D4Makers' SDS (26-Apr-2018) names polylactide at 60-70%; the other 30-40% is not declared (section 5 lists caprolactone monomer, 2-Oxepanone CAS 502-44-3, among combustion products - suggests a PCL component, not stated). A PLA-based compound, not neat PLA."
556fd3e0d2ebf186,https://www.3d4makers.com/products/pi-filament-z2,PI (polyimide),PI Z2 Filament is printable polyimide.,3D4Makers (3d4makers.com),"The Zymergen SDS linked from the same 3D4Makers page agrees: 'Product name : Polyimide Pellets / Polyimide Filament' and 'Polyimide CAS-No.: 649559-13-7 ~100' (cdn.shopify.com/.../SDS_PI_Filament_Z2_Zymergen_3D4Makers.pdf). Zymergen is the resin maker. Note the page's image file names say 'Zymergen Z2 polyamide' - a file-name slip, not text. The TDS density misread (923000 kg/m3) is a reader problem."
0e294815a86bf8fc,https://colorfabb.us/filaments/materials/co-polyester-filaments/ngen,co-polyester,nGen Filament – All-Purpose Co-Polyester for Reliable 3D Printing … nGen is made with Eastman Amphora AM3300 3D Polymer.,colorFabb (colorfabb.us),"The sheet itself is Eastman's resin TDS for Amphora AM3300, not a colorFabb filament sheet. colorFabb names a class (co-polyester) and the resin, not a specific polymer such as PETG. colorFabb nGen TDS v2.0 also says 'colorFabb_nGen is producted using Eastman Amphora AM3300'."
035bc980a7aee312,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/Co-Polyester/colorFabb_HT/TDS_E_ColorFabb_HT.pdf,co-polyester,colorFabb_HT is producted using Eastman Amphora HT5300 … colorFabb_HT is enabled by Eastman TritanTM co-polyester technology.,colorFabb (downloads.colorfabb.com),"The sheet itself is Eastman's resin TDS for Amphora HT5300, not a colorFabb filament sheet. colorFabb names a class (co-polyester, Eastman Tritan) not a specific polymer. colorFabb_HT product pages now return 404 (product appears discontinued)."
f7f7127db2dc6d30,https://www.formfutura.com/biofil-wood,PCL,BioFil - Wood is a PCL based 3D printer filament that contains an exceptionally high amount of wood particles.,FormFutura (formfutura.com),Same product and TDS (print date 20-07-2023) as the Filament2Print copy (doc 7825424c4ef71a62). The sheet's 'PLA' is the contrast 'Unlike PLA-based filaments'. polymers.csv has no PCL row yet.
d230eec3cdbe2bbd,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/Co-Polyester/colorFabb_XT/TDS_colorFabb_XT-CF20.pdf,co-polyester,"colorFabb XT-CF20 is a high quality Eastman Amphora AM1800 co-polyester based 3D printing filament, infused with 20% carbon fibers.",colorFabb (downloads.colorfabb.com),"The sheet is colorFabb's 2015 'Preliminary Data Sheet, 20% milled carbon fibres', linked from 3DJake's XT-CF20 page; that it is XT-CF20 rests on the shop link. colorFabb's product page title calls it 'XT-CF20 – Carbon Fiber Reinforced PETG Filament' (colorfabb.com/xt-cf20) while its TDS says Amphora AM1800 co-polyester."
5b31728f9205a3ed,https://colorfabb.com/pa-neat,"PA (polyamide, type not named)","PA Neat. A brand new unfilled, heat resistant, low warp PA PA Neat is our new highly functional polyamide (nylon) grade.",colorFabb (colorfabb.com),"CONTRADICTION with current_reading TPU: colorFabb says polyamide. The sheet itself (2018 v1.0) also says 'ColorFabb PA NEAT is a one of a kind low warp polyamide formulation'. Family only: no colorFabb page or SDS names the PA type (6, 12, copolyamide); the PSIS section 3 lists no substances."
ee3c6b175c11d702,https://colorfabb.us/stonefill-moss-green,PLA,stoneFill Moss Green – Matte PLA Filament with Stone Texture | colorFabb,colorFabb (colorfabb.us),PLA named in the page title only; the page body says 'Our fully biobased formulation of stoneFill' and 'Material: colorFabb stoneFill + specific blend to mimic stone look'. colorFabb files its SDS under 'PLA/colorFabb PLA Special Fill/colorFabb PLA stoneFill'. Filler not named ('does not incorporate stone powder').
af2a1612aba91481,https://colorfabb.us/woodfill-the-original,PLA/PHA,"The main component is our signature PLA/PHA, but the wood is what makes the filament truly special. We started with two variations: woodFill Fine and woodFill Coarse.",colorFabb (colorfabb.us),"Blend PLA/PHA + wood fibre. The sheet itself is FKuR's 'Fibrolon V 135002 (trial grade)' TDS (2014), which says 'Polymer blend based on poly lactid acid ... Contains wood fibers'; that it is woodFill Fine rests on 3DJake's link. colorfabb.us/woodfill: 'Material: colorFabb woodFill - PLA/PHA + fine pinewood fibres'."
1fef87181e40917c,https://colorfabb.com/xt-clear,co-polyester,"colorFabb_XT is a functional, engineering grade 3D printing filament based on Eastman Chemical Amphora 3D Polymer … Material: colorFabb_XT CO-POLYESTER",colorFabb (colorfabb.com),"The sheet itself is Eastman's Product Data Sheet for Amphora AM1800 resin, not a colorFabb sheet. colorFabb names a class (co-polyester), not PETG/PET specifically; colorFabb XT TDS: 'co-production with Eastman Amphora AM1800'. Page fetched via colorfabb.com/xt (redirects to XT Clear)."
