Value,Meaning,Abbreviation
Aramid fibre,"An aramid (Kevlar) fibre load: tough and light, and it does not raise stiffness the way carbon or glass does.",AF
Carbon fibre,,CF
Ceramic,A ceramic or mineral particle load.,CE
Commercial variant / undisclosed,,
Electrically conductive,"A conductive load (carbon black, graphite or fibre) that carries current, not only static.",EC
ESD formulation,,ESD
Foaming,,LW
Glass fibre,,GF
Glass spheres,"A hollow glass sphere (bead) load: it stiffens a little and lowers density, and it does not carry load along a fibre the way a reinforcement does.",GS
Graphene,"A graphene or graphene-nanoplatelet load, declared by the maker. It is neither carbon fibre nor unfilled: the platelets raise stiffness and, above a percolation threshold, conductivity, without the fibre length that makes a fibre-filled grade abrasive in the same way (R080).",GR
Natural fibre,"A declared plant fibre milled into the polymer: flax and hemp are the two this database has seen declared as a fibre. It raises stiffness and lowers density, and its published values are its own. A wood, cork or coffee fill is not here: those are a particle fill and the database records them as the variant class particle-filled, which is what M014 already holds (R080).",NF
PTFE,A polytetrafluoroethylene load: a tribological additive that lowers friction and wear.,PTFE
Unfilled / unspecified,,
