Value,Meaning,State
<20% RH during printing/storage,Storage or printing humidity; the moisture state at test is not stated,not-stated
50% RH,Tested at 50% relative humidity,conditioned
Conditioned: 70% RH,Conditioned at 70% relative humidity before testing,conditioned
Conditioned: immerged at ambient temperature for 3 days (medium not stated),Immersed at ambient temperature before testing; the sheet does not name the medium,conditioned
"Conditioned: standard climate (23 °C, 50% RH, 72 h)","Conditioned in a standard climate before testing, as the source specifies",conditioned
Conditioned: water immersion,Immersed in water before testing,conditioned
Dried before testing (see preparation),Dried before testing; the Post-processing column says how,dry
Dry,Tested dry,dry
Dry (source row); table heading 50% RH,The row is dry although its table heading names 50% RH,dry
Dry as moulded,Moulded specimens tested dry as moulded,dry
Keep vacuum sealed; dry at 120 °C for 3-8 h if >200 ppm,Storage and drying guidance; the moisture state at test is not stated,not-stated
Kept dry; TDS recommends drying before printing,Storage guidance; the moisture state at test is not stated,not-stated
Not published,The source does not state the moisture state at test,not-stated
Wet (conditioning specified in source),Conditioned wet as the source specifies,conditioned
Wet (the row is labelled Wet; the sheet states no conditioning),The row is labelled Wet and the source states no conditioning procedure,conditioned
