Value,Meaning
ASTM D1004,Tear resistance of plastic film and sheeting.
ASTM D1238,Melt flow rates by extrusion plastometer.
ASTM D149,Dielectric breakdown voltage and dielectric strength of solid insulating materials at commercial power frequencies.
ASTM D1505,Density by density-gradient technique.
ASTM D1525,Vicat softening temperature.
ASTM D1708,Tensile properties by microtensile specimens.
ASTM D1822,Tensile-impact energy to break by a swinging pendulum.
ASTM D2240,Durometer hardness.
ASTM D256,Izod pendulum impact resistance.
ASTM D257,DC resistance or conductance.
ASTM D2863,Minimum oxygen concentration that supports flaming combustion (limiting oxygen index).
ASTM D3418,Transition temperatures by DSC.
ASTM D3638,Comparative tracking index of electrical insulating materials.
ASTM D412,Tensile properties of vulcanised rubber and thermoplastic elastomers.
ASTM D570,Water absorption of plastics.
ASTM D638,Tensile properties of plastics.
ASTM D648,Deflection temperature under flexural load.
ASTM D738,Test methods for natural rubber; cited by a maker beside its elastomer values.
ASTM D7426,Glass transition temperature by DSC.
ASTM D782,Cited by a source; kept as the source prints it.
ASTM D785,Rockwell hardness.
ASTM D790,Flexural properties of plastics.
ASTM D792,Density and specific gravity by displacement.
ASTM D882,Tensile properties of thin plastic sheeting.
ASTM D955,Moulding shrinkage from mould dimensions.
ASTM E1356,Glass transition temperatures by DSC.
ASTM E2092,Distortion temperature in three-point bending by thermomechanical analysis.
ASTM E2402,Mass loss and residue of a material by thermogravimetry; a sheet cites it for the temperature at which its filament has lost five per cent of its mass.
DSC,"Differential scanning calorimetry, where the source names the method but no standard."
GB/T 1033,Density of plastics.
GB/T 1033.1,Density and relative density of plastics by immersion; the Chinese counterpart of ISO 1183-1.
GB/T 1040,Tensile properties of plastics.
GB/T 1040.2,"Tensile properties of moulding and extrusion plastics; the Chinese standard for what ISO 527-2 tests, and Eryone's sheets print both."
GB/T 1043,Charpy impact properties.
GB/T 1043.1,Charpy impact strength; the Chinese standard for what ISO 179-1 tests.
GB/T 1633,Vicat softening temperature.
GB/T 1634,Temperature of deflection under load.
GB/T 1634.2,Temperature of deflection under load; the Chinese counterpart of ISO 75-2.
GB/T 17037.4,"Injection moulding of test specimens; the Chinese counterpart of ISO 294-4, which covers moulding shrinkage."
GB/T 1843,Izod impact strength.
GB/T 19466.2,Differential scanning calorimetry: glass transition; the Chinese counterpart of ISO 11357-2.
GB/T 31,"As Polymaker's sheets print it beside ISO 7619 for a shore hardness. GB/T 531 is that standard; the sheets print 31, and a source's own words are recorded as printed (D76)."
GB/T 3682,Melt mass-flow and melt volume-flow rate.
GB/T 528,Tensile properties of vulcanised rubber.
GB/T 531,Indentation hardness of rubber by durometer; the Chinese counterpart of ISO 7619.
GB/T 531.1,Indentation hardness of rubber.
GB/T 9341,Flexural properties of plastics.
GB/T 9343,Cited by a source; kept as the source prints it.
IEC 243,"Electric strength of insulating materials; superseded by IEC 60243, which some sheets still cite by its old number."
IEC 60093,Volume and surface resistivity of insulating materials.
IEC 60216,Thermal endurance of electrical insulating materials.
IEC 60243,"Electric strength of insulating materials; the current number of the test IEC 243 named, and the one QIDI's sheets cite."
IEC 60695,"Fire hazard testing of electrotechnical products, including the glow-wire tests."
ISO 1133,Melt mass-flow and melt volume-flow rate.
ISO 11357,Differential scanning calorimetry.
ISO 11358,Thermogravimetry of polymers; the same test under its ISO number.
ISO 11359,Thermomechanical analysis; thermal expansion.
ISO 1182,Reaction to fire: the non-combustibility test.
ISO 1183,Density of non-cellular plastics.
ISO 15075,"Road-vehicle navigation systems, which is not a plastics test. Extrudr prints it on the heat-deflection row of its XPETG sheets, where ISO 75 is meant. It is recorded because the sheet names it (D35) and it backs no comparison."
ISO 178,Flexural properties of plastics.
ISO 179,Charpy impact strength.
ISO 180,Izod impact strength.
ISO 2039,Hardness by ball indentation.
ISO 2577,Shrinkage of thermosetting moulding materials; colorFabb cites it for the mould shrinkage of its copperFill.
ISO 2781,Density by immersion.
ISO 294,"Injection moulding of test specimens, including moulding shrinkage."
ISO 306,Vicat softening temperature.
ISO 3146,Melting behaviour of semi-crystalline polymers.
ISO 3167,Multipurpose test specimens; what a sheet names when it says how its bars were shaped.
ISO 34,Tear strength of rubber and thermoplastic elastomers.
ISO 36,Adhesion of rubber to textile fabrics.
ISO 37,Tensile properties of vulcanised or thermoplastic rubber.
ISO 4589,Determination of burning behaviour by oxygen index.
ISO 4649,Abrasion resistance of rubber by a rotating cylindrical drum.
ISO 52,Not a plastics test method as cited; a maker names it beside a value and the words are kept as printed.
ISO 527,Tensile properties of plastics.
ISO 572,As above: a designation a sheet prints that no plastics standard of that number covers.
ISO 604,Compressive properties of plastics.
ISO 62,Water absorption of plastics.
ISO 6711,Cited by a source; kept as the source prints it.
ISO 727,Fittings of unplasticised PVC: dimensions of pipe fittings.
ISO 75,Temperature of deflection under load.
ISO 7619,Indentation hardness by durometer.
ISO 787,"General methods of test for pigments and extenders; part 2 is matter volatile at 105 C, which Anycubic cites for moisture content."
ISO 815,"Compression set of rubber at ambient, elevated or low temperatures."
ISO 8302,Thermal conductivity by the guarded hot plate.
ISO 845,Apparent density of cellular plastics and rubbers; the test a foaming filament's sheet cites for the density its print reaches.
ISO 868,Indentation hardness by durometer (Shore).
TGA,"Thermogravimetric analysis, where the source names the method but no standard; a decomposition temperature is measured this way and several sheets print ""TGA, 20 °C/min"" where a standard would go, as they print ""DSC"" for a melting point."
