Value,Meaning
%,
°C,
cm³/10 min,
cycles,
Dimensionless,"A ratio with no unit: a Poisson's ratio, a relative permittivity."
g/10 min,
GPa,
J/m,
kg/m³,
kJ/m²,
kN/m,Tear strength.
kV/mm,Dielectric strength.
mm³,Abrasion loss: the volume a standard abrasive removes.
MPa,
Not published,
Qualitative (no fracture),
Rockwell M,
Rockwell R,
Shore (scale not specified by source),
Shore A,
Shore D,
V,Comparative tracking index: the voltage at which a surface tracks.
W/(m·K),Thermal conductivity.
µm/m/K,
Ω,Surface resistivity.
Ω·cm,Volume resistivity.
