Label,Property,Direction,Notch,Note
^specific gravity\b|^density\b,Density,Not applicable,Not applicable,a density's specimen form is rarely stated
^tensile (stress|strength)[^a-z]*(at )?break|^tensile break,Tensile break strength,,Not applicable,
^tensile (stress|strength)[^a-z]*(at )?yield|^tensile yield,Tensile yield strength,,Not applicable,
^tensile (stress|strength)\b,Tensile strength (endpoint unspecified),,Not applicable,
^(tensile |young.?s |elastic )?e?-?modulus (of elasticity|tensile)|^modulus of elasticity|^(tensile|young.?s|elastic) modulus,Tensile modulus,,Not applicable,
"^(tensile )?elongation[^a-z]{0,3}\(?(at )?break|^tensile strain at break|^tensile elongation[^a-z]*(at )?break|^elongation[^a-z]*at break|^tensile strain \(break\)",Elongation at break,,Not applicable,
"^(tensile )?elongation[^a-z]{0,3}\(?(at )?yield|^tensile strain at yield|^tensile strain \(yield\)|^tensile elongation[^a-z]*(at )?yield",Elongation at yield,,Not applicable,
^tensile strain at (strength|max)|^elongation at max,Tensile strain at strength,,Not applicable,
^flexural modulus|^bending modulus,Flexural modulus,,Not applicable,
^flexural (stress|strength)|^bending strength,Flexural strength,,Not applicable,
^charpy[^a-z]*(impact )?(strength )?notched|^notched charpy,Charpy strength,Not applicable,Notched,
^charpy,Charpy strength,Not applicable,Unnotched,an unqualified Charpy row is the unnotched one; the method may say otherwise and wins
^izod[^a-z]*(impact )?(strength )?notched|^notched izod,Izod impact strength,Not applicable,Notched,
^izod,Izod impact strength,Not applicable,Unnotched,
^(temperature of deflection under load|heat (deflection|distortion) temperature|deflection temperature|hdt),HDT,Not applicable,Not applicable,the load is a condition the row or the line above states
^vicat,Vicat softening temperature,Not applicable,Not applicable,
^glass transition,Glass transition temperature,Not applicable,Not applicable,
^melt(ing)? (temperature|point),Melting temperature,Not applicable,Not applicable,
^crystalli[sz]ation temperature,Crystallization temperature,Not applicable,Not applicable,
^mfr\b|^melt (mass[- ]flow|flow) rate|^melt index|^melt flow (index|rate),Melt mass-flow rate,Not applicable,Not applicable,
^mvr\b|^melt volume,Melt volume-flow rate,Not applicable,Not applicable,
^(equilibrium )?water absorption|^(equilibrium )?moisture absorption,Water absorption,Not applicable,Not applicable,
^moisture content,Moisture content,Not applicable,Not applicable,
^(shore|rockwell) hardness|^hardness|^shore [ad]\b,Hardness,Not applicable,Not applicable,"the scale is part of the unit, and the sheet states it"
^thermal conductivity,Thermal conductivity,Not applicable,Not applicable,
^coefficient of (thermal|linear) expansion|^cte\b,Coefficient of thermal expansion,Not applicable,Not applicable,
^contin[uo]*s (service|use|operating) temperature,Continuous service temperature,Not applicable,Not applicable,a sheet spells it Continous; a source's own typo is not a reason to lose the row
^compressi(on|ve) strength,Compression strength,,Not applicable,
^low temperature impact( strength)?,Impact strength,Not applicable,Not published,"a maker's name for an impact test run below room temperature; which test it is comes from the standard it names, and the temperature is the row's own condition"
^impact\b|^notched$|^unnotched$,Impact strength,Not applicable,Not published,"the sheet names no test; ISO 180 or ASTM D256 makes it Izod, ISO 179 or GB/T 1043 Charpy"
^tensile elongation\b|^elongation\b,Elongation at break,,Not applicable,"an unqualified ISO 527 elongation is the value at failure, which is how this database records the sheets that print one figure; a sheet that labels its endpoint matches the row above this one"
