Token,Why
0,"a size or a spool, not a composition"
1,"a size or a spool, not a composition"
1.75,"a size or a spool, not a composition"
175,"a size or a spool, not a composition"
1kg,"a size or a spool, not a composition"
2.85,"a size or a spool, not a composition"
285,"a size or a spool, not a composition"
3d,"a maker or brand line, not a composition"
3djake,"a maker or brand line, not a composition"
3dxmax,"a maker or brand line, not a composition"
3dxtech,"a maker or brand line, not a composition"
500g,"a size or a spool, not a composition"
6,"a size or a spool, not a composition"
750g,"a size or a spool, not a composition"
and,"a maker or brand line, not a composition"
anycubic,"a maker or brand line, not a composition"
arnitel,"a maker or brand line, not a composition"
azurefilm,"a maker or brand line, not a composition"
bambu,"a maker or brand line, not a composition"
bigrep,"a maker or brand line, not a composition"
black,"a maker or brand line, not a composition"
blue,"a maker or brand line, not a composition"
braskem,"a maker or brand line, not a composition"
buddy3d,"a maker or brand line, not a composition"
bundle,"a maker or brand line, not a composition"
carbonx,"a maker or brand line, not a composition"
clear,"a maker or brand line, not a composition"
color,"a maker or brand line, not a composition"
colorfabb,"a maker or brand line, not a composition"
colour,"a maker or brand line, not a composition"
creality,"a maker or brand line, not a composition"
creatbot,"a maker or brand line, not a composition"
dark,"a maker or brand line, not a composition"
de,"a size or a spool, not a composition"
durapro,"a maker or brand line, not a composition"
en,"a size or a spool, not a composition"
eryone,"a maker or brand line, not a composition"
essentium,"a maker or brand line, not a composition"
esun,"a maker or brand line, not a composition"
evolv3d,"a maker or brand line, not a composition"
extrudr,"a maker or brand line, not a composition"
fiberlogy,"a maker or brand line, not a composition"
fiberon,"a maker or brand line, not a composition"
fibreheart,"a maker or brand line, not a composition"
filaflex,"a maker or brand line, not a composition"
filament,"a maker or brand line, not a composition"
filaments,"a maker or brand line, not a composition"
flashforge,"a maker or brand line, not a composition"
for,"a maker or brand line, not a composition"
formfutura,"a maker or brand line, not a composition"
fr,"a size or a spool, not a composition"
g,"a size or a spool, not a composition"
gray,"a maker or brand line, not a composition"
green,"a maker or brand line, not a composition"
greentec,"a maker or brand line, not a composition"
grey,"a maker or brand line, not a composition"
intam,"a maker or brand line, not a composition"
intamsys,"a maker or brand line, not a composition"
ipcon,"a maker or brand line, not a composition"
isanmate,"a maker or brand line, not a composition"
kg,"a size or a spool, not a composition"
kingroon,"a maker or brand line, not a composition"
light,"a maker or brand line, not a composition"
luvocom,"a maker or brand line, not a composition"
makerbot,"a maker or brand line, not a composition"
markforged,"a maker or brand line, not a composition"
matterhackers,"a maker or brand line, not a composition"
mm,"a size or a spool, not a composition"
nanovia,"a maker or brand line, not a composition"
natural,"a maker or brand line, not a composition"
nature3d,"a maker or brand line, not a composition"
nobufil,"a maker or brand line, not a composition"
polyflex,"a maker or brand line, not a composition"
polylite,"a maker or brand line, not a composition"
polymaker,"a maker or brand line, not a composition"
polymax,"a maker or brand line, not a composition"
polymide,"a maker or brand line, not a composition"
polysonic,"a maker or brand line, not a composition"
polyterra,"a maker or brand line, not a composition"
printing,"a maker or brand line, not a composition"
prografen,"a maker or brand line, not a composition"
protopasta,"a maker or brand line, not a composition"
prusament,"a maker or brand line, not a composition"
purefil,"a maker or brand line, not a composition"
qidi,"a maker or brand line, not a composition"
r,"a size or a spool, not a composition"
raise3d,"a maker or brand line, not a composition"
recreus,"a maker or brand line, not a composition"
red,"a maker or brand line, not a composition"
refill,"a maker or brand line, not a composition"
reform,"a maker or brand line, not a composition"
series,"a maker or brand line, not a composition"
siddament,"a maker or brand line, not a composition"
siraya,"a maker or brand line, not a composition"
spectrum,"a maker or brand line, not a composition"
spool,"a maker or brand line, not a composition"
stratasys,"a maker or brand line, not a composition"
styx,"a maker or brand line, not a composition"
sunlu,"a maker or brand line, not a composition"
tarfuse,"a maker or brand line, not a composition"
the,"a maker or brand line, not a composition"
thermax,"a maker or brand line, not a composition"
ultimaker,"a maker or brand line, not a composition"
ultrafuse,"a maker or brand line, not a composition"
white,"a maker or brand line, not a composition"
with,"a maker or brand line, not a composition"
yousu,"a maker or brand line, not a composition"
