Token,Variant class,Finish name,Note
basic,,,
cork,particle-filled,Wood,
esilk,silk,Silk,
fr,,,flame retardant: a certification claim
galaxy,particle-filled,Galaxy,
glitter,particle-filled,Sparkle,
glow,particle-filled,Glow,
gradient,,,
hf,,,
hs,,,"high speed: a printing claim, not a composition"
luminous,particle-filled,Glow,a strontium-aluminate load
marble,particle-filled,Marble,
matt,,,
matte,,,"a finish, not a filler: it belongs in Composition / filler"
metal,particle-filled,Metal,
plus,,,
premium,,,
pro,,,
rainbow,,,
silk,silk,Silk,
silk+,silk,Silk,
silky,silk,Silk,
sparkle,particle-filled,Sparkle,
stone,particle-filled,Marble,
tough,,,
translucent,,,
transparent,,,
twinkling,particle-filled,Sparkle,
ultraglow,particle-filled,Glow,
wood,particle-filled,Wood,
woodfill,particle-filled,Wood,
