MeasurementID,SourceID,Property,Field,Recorded,Fresh,Locator,FreshLocator
V000001,X-ECOMAX-PLA-TDS-v3,Density,Specimen type,Not published (density specimen form not explicitly established),Printed specimen,p. 1: Density,p. 1: Density ISO 1183 g/cc
V000027,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,Charpy strength,Notch,Not published,Unnotched,p. 3: Charpy impact strength (X-Y),p. 3: Charpy impact strength (X-Y)
V000037,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,Charpy strength,Notch,Not published,Unnotched,p. 3: Charpy impact strength (X-Y),p. 3: Charpy impact strength (X-Y)
V000049,B-pla-basic-filament-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000070,B-pla-matte-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000090,B-pla-basic-gradient-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water Absorption Rate,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000110,B-pla-tough-upgrade-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000130,B-pla-translucent-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000150,B-pla-silk-upgrade-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000171,B-pla-silk-dual-color-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000190,B-pla-metal-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water Absorption Rate,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000210,B-pla-marble-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water Absorption Rate,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000250,B-pla-wood-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water Absorption Rate,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000270,B-pla-galaxy-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000289,B-pla-glow-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water Absorption Rate,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000309,B-pla-aero-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000330,B-pla-cf-TDS,Water absorption,Test temperature,Not published,25°C,p. 2: Saturated Water Absorption Rate,"p. 2: Saturated Water Absorption Rate 25 °C, 55% RH"
V000408,S-POLYCN-PolyLite-PETG-TDS-V5-3,Charpy strength,Notch,Not published,Unnotched,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
