MeasurementID,SourceID,Property,Field,Recorded,Fresh,Locator,FreshLocator
V000027,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,Charpy strength,Notch,Unnotched,Not published,p. 3: Charpy impact strength (X-Y),p. 3: Charpy impact strength (X-Y)
V000037,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,Charpy strength,Notch,Unnotched,Not published,p. 3: Charpy impact strength (X-Y),p. 3: Charpy impact strength (X-Y)
V000408,S-POLYCN-PolyLite-PETG-TDS-V5-3,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V001033,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V001043,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X,p. 4: Charpy impact strength (X-Y)
V000921,S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,Charpy strength,Notch,Unnotched,Not published,"p. 1: Impact strength (dry, 80x10x4mm)","p. 1: Impact strength (dry, 80x10x4mm)"
V000990,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V001000,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V001189,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V001199,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V001320,B-ppa-cf-TDS,Charpy strength,Notch,Unnotched,Not published,p. 2: Impact Strength (X-Y),"p. 2: Impact Strength (X-Y) ISO 179, GB/T 1043"
V001521,S-SPECTRUM-en-tds-spectrum-hdpe,Charpy strength,Notch,Unnotched,Not published,p. 1: Charpy Impact Strength,p. 1: Charpy Impact Strength
V001573,S-POLYCN-Polymaker-PC-ABS-TDS-V5-1,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V001601,S-POLYCN-Polymaker-PC-PBT-TDS-V5-1,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V002320,S-ESUN-PLA-Silk-TDS-2025-06-19,Izod impact strength,Notch,Unnotched,Not published,p. 2: IZOD Impact Strength (X-Y),p. 2: IZOD Impact Strength (X-Y) GB/T 1843
V002321,S-ESUN-PLA-Silk-TDS-2025-06-19,Izod impact strength,Notch,Unnotched,Not published,p. 2: IZOD Impact Strength (Z),p. 2: IZOD Impact Strength (Z) GB/T 1843
V002860,S-SPECTRUM-en-tds-spectrum-pa6-gk10,Charpy strength,Notch,Unnotched,Not published,"p. 1: Charpy impact strength (dry, 80x10x4mm)","p. 1: Charpy impact strength (dry, 80x10x4mm)"
V002940,S-SPECTRUM-en-tds-spectrum-pa6-cf15,Charpy strength,Notch,Unnotched,Not published,"p. 1: Charpy impact strength (dry, 80x10x4mm)","p. 1: Charpy impact strength (dry, 80x10x4mm)"
V003039,S-SPECTRUM-en-tds-spectrum-pet-cf15,Charpy strength,Notch,Unnotched,Not published,"p. 1: Charpy impact strength, dry","p. 1: Charpy impact strength, dry"
V003400,S-POLYCN-PolyLite-PLA-TDS-V5-1-7,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V003503,S-POLYCN-TDS-Polymaker-ABS-Max-V1-1-2026-06-01-EN,Charpy strength,Notch,Unnotched,Not published,"p. 1: Charpy impact strength (X-Y) ISO 179, GB/T 1043","p. 1: Charpy impact strength (X-Y) ISO 179, GB/T 1043"
V003522,S-POLYCN-TDS-Polymaker-ABS-Pro-V1-1-2026-06-01-EN,Charpy strength,Notch,Unnotched,Not published,"p. 1: Charpy impact strength (X-Y) ISO 179, GB/T 1043","p. 1: Charpy impact strength (X-Y) ISO 179, GB/T 1043"
V003599,S-POLYCN-Polylite-PLA-Pro-EN-V5-1-3-6,Charpy strength,Notch,Unnotched,Not published,p. 5: Charpy impact strength (X-Y),p. 5: Charpy impact strength (X-Y)
V003669,S-POLYCN-PolyLite-LW-PLA-TDS-US-5-3-20240307,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V003709,S-POLYCN-PolyLite-PC-TDS-V5-1,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V003723,S-POLYCN-PolyTerra-PLA-Plus-EN-V5-1,Charpy strength,Notch,Unnotched,Not published,p. 5: Charpy impact strength (X-Y),p. 5: Charpy impact strength (X-Y)
V003787,S-POLYCN-TDS-Polymaker-PETG-V2-0-2025-11-17,Charpy strength,Notch,Unnotched,Not published,"p. 1: Charpy impact strength (X-Y) ISO 179, GB/T 1043","p. 1: Charpy impact strength (X-Y) ISO 179, GB/T 1043"
V003979,S-POLYCN-PolyLite-PLA-CF-TDS-US-5-1,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V003995,S-POLYCN-PolyLite-PETG-TDS-V5-2,Charpy strength,Notch,Unnotched,Not published,p. 4: Charpy impact strength (X-Y),p. 4: Charpy impact strength (X-Y)
V004815,R-ERYONE-eryone-silk-pla-tds,Charpy strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2
V004826,R-ERYONE-eryone-pla-light-weight-tds,Charpy strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2
V004839,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--1d9fed,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V004849,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--25961c,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V004863,R-ERYONE-eryone-silk-rainbow-pla-tds,Charpy strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2
V004877,R-ERYONE-eryone-hyper-speed-dual-color-silk-pla-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V004889,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--41b571,Charpy strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2
V004902,R-ERYONE-eryone-marble-pla-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V004916,R-ERYONE-eryone-galaxy-pla-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V004930,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--6b5ac4,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V004944,R-ERYONE-eryone-hs-pla-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V004957,R-ERYONE-eryone-matte-pla-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V004970,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--881af5,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V004977,R-ERYONE-eryone-tpu-hs-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V004989,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--92f474,Charpy strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2
V005002,R-ERYONE-eryone-pla-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V005014,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--9a96a3,Charpy strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2
V005028,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--9af0d6,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V005042,R-ERYONE-eryone-petg-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V005055,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--b99816,Charpy strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1043.1-2008 kJ/m2
V005068,R-ERYONE-eryone-hs-matte-pla-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V005082,R-ERYONE-eryone-pla-cf-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V005094,R-ERYONE-eryone-glow-in-the-dark-pla-tds,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V005109,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250909-eryone-,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V005122,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--f2fe15,Impact strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2,p. 2: Charpy Impact strenght 2.75J GB/T 1843 kJ/m2
V005132,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--f94f65,Charpy strength,Notch,Unnotched,Not published,p. 2: Charpy Impact strenght D256 kJ/m2,p. 2: Charpy Impact strenght D256 kJ/m2
V005160,D-FLASH-PETG-HS-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/㎡,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/㎡
V005170,D-FLASH-PA6-CF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2
V005180,D-FLASH-PLA-Multicolor-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2
V005190,D-FLASH-ABS-ESD-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength(X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength(X-Y) ISO 180 KJ/m2
V005200,D-FLASH-ASA-CF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength(X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength(X-Y) ISO 180 KJ/m2
V005230,D-FLASH-PC-ABS-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2
V005244,D-FLASH-PPA-CF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO180 KJ/m2
V005245,D-FLASH-PPA-CF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 2: Izod Impact Strength (Z) ISO180 KJ/m2,p. 2: Izod Impact Strength (Z) ISO180 KJ/m2
V005259,D-FLASH-PET-GF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO180 KJ/m2
V005269,D-FLASH-PBT-GF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/㎡,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/㎡
V005281,D-FLASH-PLA-HS-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/㎡,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/㎡
V005291,D-FLASH-PETG-CF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2
V005304,D-FLASH-PPA-GF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO180 KJ/m2
V005305,D-FLASH-PPA-GF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 2: Izod Impact Strength (Z) ISO180 KJ/m2,p. 2: Izod Impact Strength (Z) ISO180 KJ/m2
V005315,D-FLASH-PET-CF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength ISO 180 KJ/m2,p. 1: Izod Impact Strength ISO 180 KJ/m2
V005324,D-FLASH-PLA-Matte-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength(X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength(X-Y) ISO 180 KJ/m2
V005337,D-FLASH-PPS-CF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO180 KJ/m2
V005338,D-FLASH-PPS-CF-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 2: Izod Impact Strength (Z) ISO180 KJ/m2,p. 2: Izod Impact Strength (Z) ISO180 KJ/m2
V005349,D-FLASH-PLA-Silk-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength(X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength(X-Y) ISO 180 KJ/m2
V005359,D-FLASH-PLA-Pro-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2
V005387,D-FLASH-PC-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength(X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength(X-Y) ISO 180 KJ/m2
V005407,D-FLASH-PETG-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2
